a01	div	dcode	uzcode	uncode	vcode_n	div_name	district	district_name	upazila	upazila_name	union	union_name	hh_type	a02	a10	a11	a12	a13	a14	a15	a16_dd	a16_mm	a16_yy	a17_dd	a17_mm	a17_yy	a18	a19	a20_dd	a20_mm	a20_yy	a21	flagaddl	sample_type	regnm	flag_org	aez_name	flag_smpl
1	"40"	1	108	10817	179.0	"Khulna"	"01"	"Bagerhat"	"0108"	"Bagerhat Sadar"	"010817"	"Barai Para"	2	7	2	1	99	1	1	1	1	12	2011				113	16	4	12	2011			2	"High Ganges River Floodplain"		"Floodplain"	
2	"40"	1	108	10817	179.0	"Khulna"	"01"	"Bagerhat"	"0108"	"Bagerhat Sadar"	"010817"	"Barai Para"	2	15	2	1	98	1	1	1	1	12	2011	6	12	2011	115	16						2	"High Ganges River Floodplain"		"Floodplain"	
3	"40"	1	108	10817	179.0	"Khulna"	"01"	"Bagerhat"	"0108"	"Bagerhat Sadar"	"010817"	"Barai Para"	2	23	2	1	98	1	1	1	29	11	2011	1	12	2011	112	16						2	"High Ganges River Floodplain"		"Floodplain"	
4	"40"	1	108	10817	179.0	"Khulna"	"01"	"Bagerhat"	"0108"	"Bagerhat Sadar"	"010817"	"Barai Para"	2	31	4	1	98	2	1	1	27	11	2011	6	12	2011	112	16						2	"High Ganges River Floodplain"		"Floodplain"	
5	"40"	1	108	10817	179.0	"Khulna"	"01"	"Bagerhat"	"0108"	"Bagerhat Sadar"	"010817"	"Barai Para"	2	39	2	1	98	1	1	1	30	11	2011				113	16	3	12	2011			2	"High Ganges River Floodplain"		"Floodplain"	
6	"40"	1	108	10817	179.0	"Khulna"	"01"	"Bagerhat"	"0108"	"Bagerhat Sadar"	"010817"	"Barai Para"	2	47	2	1	98	1	1	1	29	11	2011				113	16	2	12	2011			2	"High Ganges River Floodplain"		"Floodplain"	
7	"40"	1	108	10817	179.0	"Khulna"	"01"	"Bagerhat"	"0108"	"Bagerhat Sadar"	"010817"	"Barai Para"	2	55	2	1	98	1	1	1	30	11	2011				116	16	3	12	2011			2	"High Ganges River Floodplain"		"Floodplain"	
8	"40"	1	108	10817	179.0	"Khulna"	"01"	"Bagerhat"	"0108"	"Bagerhat Sadar"	"010817"	"Barai Para"	2	63	2	1	98	1	1	1	1	12	2011				116	16	3	12	2011			2	"High Ganges River Floodplain"		"Floodplain"	
9	"40"	1	108	10817	179.0	"Khulna"	"01"	"Bagerhat"	"0108"	"Bagerhat Sadar"	"010817"	"Barai Para"	2	71	2	1	98	1	1	1	28	11	2011				116	16						2	"High Ganges River Floodplain"		"Floodplain"	
10	"40"	1	108	10817	179.0	"Khulna"	"01"	"Bagerhat"	"0108"	"Bagerhat Sadar"	"010817"	"Barai Para"	2	79	2	1	98	1	1	1	27	11	2011				115	16						2	"High Ganges River Floodplain"		"Floodplain"	
11	"40"	1	108	10817	179.0	"Khulna"	"01"	"Bagerhat"	"0108"	"Bagerhat Sadar"	"010817"	"Barai Para"	2	87	2	1	98	1	1	1	29	11	2011				116	16	3	12	2011			2	"High Ganges River Floodplain"		"Floodplain"	
12	"40"	1	108	10817	179.0	"Khulna"	"01"	"Bagerhat"	"0108"	"Bagerhat Sadar"	"010817"	"Barai Para"	2	95	2	1	98	1	1	1	28	11	2011				116	16						2	"High Ganges River Floodplain"		"Floodplain"	
13	"40"	1	108	10817	179.0	"Khulna"	"01"	"Bagerhat"	"0108"	"Bagerhat Sadar"	"010817"	"Barai Para"	2	103	2	1	98	1	1	1	29	11	2011				116	16						2	"High Ganges River Floodplain"		"Floodplain"	
14	"40"	1	108	10817	179.0	"Khulna"	"01"	"Bagerhat"	"0108"	"Bagerhat Sadar"	"010817"	"Barai Para"	2	111	2	1	98	1	1	1	28	11	2011				112	16						2	"High Ganges River Floodplain"		"Floodplain"	
15	"40"	1	108	10817	179.0	"Khulna"	"01"	"Bagerhat"	"0108"	"Bagerhat Sadar"	"010817"	"Barai Para"	2	119	2	1	98	1	1	1	29	11	2011	30	11	2011	112	16						2	"High Ganges River Floodplain"		"Floodplain"	
16	"40"	1	108	10817	179.0	"Khulna"	"01"	"Bagerhat"	"0108"	"Bagerhat Sadar"	"010817"	"Barai Para"	2	127	2	1	98	1	1	1	30	11	2011				112	16						2	"High Ganges River Floodplain"		"Floodplain"	
17	"40"	1	108	10817	179.0	"Khulna"	"01"	"Bagerhat"	"0108"	"Bagerhat Sadar"	"010817"	"Barai Para"	2	135	2	1	98	1	1	1	28	11	2011				113	16	2	12	2011			2	"High Ganges River Floodplain"		"Floodplain"	
18	"40"	1	108	10817	179.0	"Khulna"	"01"	"Bagerhat"	"0108"	"Bagerhat Sadar"	"010817"	"Barai Para"	2	143	2	1	98	1	1	1	29	11	2011	1	12	2011	116	16						2	"High Ganges River Floodplain"		"Floodplain"	
19	"40"	1	108	10817	179.0	"Khulna"	"01"	"Bagerhat"	"0108"	"Bagerhat Sadar"	"010817"	"Barai Para"	2	151	2	1	98	1	1	1	27	11	2011	28	11	2011	113	16						2	"High Ganges River Floodplain"		"Floodplain"	
20	"40"	1	108	10817	179.0	"Khulna"	"01"	"Bagerhat"	"0108"	"Bagerhat Sadar"	"010817"	"Barai Para"	2	159	2	1	98	1	1	1	1	12	2011				113	16						2	"High Ganges River Floodplain"		"Floodplain"	
21	"40"	1	134	13473	181.0	"Khulna"	"01"	"Bagerhat"	"0134"	"Fakirhat"	"013473"	"Piljanga"	2	1	2	1	98	1	1	1	6	12	2011				112	16	9	12	2011			2	"High Ganges River Floodplain"		"Floodplain"	
22	"40"	1	134	13473	181.0	"Khulna"	"01"	"Bagerhat"	"0134"	"Fakirhat"	"013473"	"Piljanga"	2	14	1	1	98	1	1	1	5	12	2011	6	12	2011	113	16	9	12	2011			2	"High Ganges River Floodplain"		"Floodplain"	
23	"40"	1	134	13473	181.0	"Khulna"	"01"	"Bagerhat"	"0134"	"Fakirhat"	"013473"	"Piljanga"	2	27	2	1	98	1	1	1	5	12	2011	7	12	2011	113	16	9	12	2011			2	"High Ganges River Floodplain"		"Floodplain"	
24	"40"	1	134	13473	181.0	"Khulna"	"01"	"Bagerhat"	"0134"	"Fakirhat"	"013473"	"Piljanga"	2	41	1	1	98	1	1	1	5	12	2011	6	12	2011	113	16						2	"High Ganges River Floodplain"		"Floodplain"	
25	"40"	1	134	13473	181.0	"Khulna"	"01"	"Bagerhat"	"0134"	"Fakirhat"	"013473"	"Piljanga"	2	54	2	1	98	1	1	1	4	12	2011				112	16						2	"High Ganges River Floodplain"		"Floodplain"	
26	"40"	1	134	13473	181.0	"Khulna"	"01"	"Bagerhat"	"0134"	"Fakirhat"	"013473"	"Piljanga"	2	67	2	1	98	1	1	1	7	12	2011				112	16						2	"High Ganges River Floodplain"		"Floodplain"	
27	"40"	1	134	13473	181.0	"Khulna"	"01"	"Bagerhat"	"0134"	"Fakirhat"	"013473"	"Piljanga"	2	80	2	1	99	1	1	1	5	12	2011				112	16						2	"High Ganges River Floodplain"		"Floodplain"	
28	"40"	1	134	13473	181.0	"Khulna"	"01"	"Bagerhat"	"0134"	"Fakirhat"	"013473"	"Piljanga"	2	94	2	1	99	1	1	1	3	12	2011				112	16						2	"High Ganges River Floodplain"		"Floodplain"	
29	"40"	1	134	13473	181.0	"Khulna"	"01"	"Bagerhat"	"0134"	"Fakirhat"	"013473"	"Piljanga"	2	107	2	1	98	1	1	1	4	12	2011				113	16						2	"High Ganges River Floodplain"		"Floodplain"	
30	"40"	1	134	13473	181.0	"Khulna"	"01"	"Bagerhat"	"0134"	"Fakirhat"	"013473"	"Piljanga"	2	120	2	1	4	1	1	1	6	12	2011	7	12	2011	112	16						2	"High Ganges River Floodplain"		"Floodplain"	
31	"40"	1	134	13473	181.0	"Khulna"	"01"	"Bagerhat"	"0134"	"Fakirhat"	"013473"	"Piljanga"	2	133	2	1	98	1	1	1	7	12	2011				116	16	9	12	2011			2	"High Ganges River Floodplain"		"Floodplain"	
32	"40"	1	134	13473	181.0	"Khulna"	"01"	"Bagerhat"	"0134"	"Fakirhat"	"013473"	"Piljanga"	2	147	2	1	99	1	1	1	4	12	2011				113	16						2	"High Ganges River Floodplain"		"Floodplain"	
33	"40"	1	134	13473	181.0	"Khulna"	"01"	"Bagerhat"	"0134"	"Fakirhat"	"013473"	"Piljanga"	2	160	2	1	99	1	1	1	3	12	2011	7	12	2011	113	16						2	"High Ganges River Floodplain"		"Floodplain"	
34	"40"	1	134	13473	181.0	"Khulna"	"01"	"Bagerhat"	"0134"	"Fakirhat"	"013473"	"Piljanga"	2	173	2	1	4	1	1	1	3	12	2011				113	16						2	"High Ganges River Floodplain"		"Floodplain"	
