a01	mid	b1_01	b1_02	b1_03	b1_04	b1_05	b1_06	b1_07	b1_08	b1_09	b1_10	b1_11	b1_12	sample_type
1	1	1	54	1	2	2		1	99	2	68	1	1	2
1	2	2	47	2	2	2		2	99	2	70	1	1	2
1	3	1	20	3	1	2		4	10	1	81			2
1	4	1	15	3	1	2		4	7	1	81			2
2	1	1	48	1	2	2		1	99	2	1	1	1	2
2	2	2	42	2	2	2		4	5	2	21	1	1	2
2	3	1	18	3	1	2		4	12	1	81			2
3	1	1	45	1	2	2		4	8	2	52	1	3	2
3	2	2	38	2	2	2		4	3	2	82			2
3	3	1	20	3	2	2		4	4	2	64	1	1	2
3	4	2	18	4	2	2		4	8	2	82			2
4	1	1	30	1	1	2		1	99	2	64	1	1	2
4	2	1	28	7	1	2		1	99	2	64	1	1	2
4	3	1	22	7	1	2		4	12	2	86			2
4	4	2	65	6	3	2		1	99	2	82			2
5	1	1	53	1	2	2		4	14	2	68	1	1	2
5	2	2	45	2	2	2		4	9	2	70	1	1	2
5	3	2	15	3	1	2		4	9	1	81			2
5	4	1	14	3	1	2		4	9	1	81			2
6	1	1	42	1	2	2		2	99	2	68	1	1	2
6	2	2	25	2	2	2		2	2	2	69	1	1	2
6	3	1	10	3	1	2		4	3	1	81			2
6	4	1	7	3	1	2		4	0	1	81			2
6	5	1	0	3	1	2		1	99	2	84			2
7	1	1	33	1	2	2		4	10	2	52	1	2	2
7	2	2	21	2	2	2		4	12	2	82			2
7	3	1	0	3	1	2		1	99	2	84			2
8	1	1	60	1	2	2		4	10	2	83			2
8	2	2	48	2	2	2		4	12	2	69	1	1	2
8	3	2	9	3	1	2		4	2	1	81			2
8	4	2	50	11	1	2		1	99	2	82			2
9	1	1	40	1	2	2		4	8	2	65	1	1	2
9	2	2	30	2	2	2		4	8	2	24	1	1	2
9	3	2	11	3	1	2		4	3	1	81			2
9	4	1	5	3	1	2		1	99	2	84			2
9	5	2	60	6	3	2		2	99	2	70	1	1	2
10	1	1	78	1	2	2		1	99	2	65	1	1	2
10	2	2	60	2	2	2		1	99	2	69	1	1	2
11	1	1	55	1	2	2		2	99	2	64	1	1	2
11	2	2	40	2	2	2		1	99	2	70	1	1	2
11	3	1	25	3	1	2		4	4	2	72	1	2	2
11	4	1	16	3	1	2		4	4	2	86			2
11	5	2	10	3	1	2		4	2	1	81			2
12	1	1	35	1	2	2		4	6	2	64	1	1	2
12	2	2	22	2	2	2		4	9	2	69	1	1	2
12	3	2	3	3	1	2		1	99	2	84			2
12	4	2	55	6	3	2		2	99	2	83			2
13	1	1	35	1	2	2		4	5	2	1	1	2	2
13	2	2	25	2	2	2		4	5	2	70	1	1	2
13	3	2	7	3	1	2		3	0	1	81			2
13	4	2	1	3	1	2		1	99	2	84			2
13	5	2	70	6	3	2		1	99	2	83			2
14	1	1	70	1	2	2		2	0	2	64	1	1	2
14	2	2	60	2	2	2		2	0	2	69	1	1	2
14	3	1	40	3	2	2		4	14	2	14	1	4	2
14	4	2	32	4	2	2		4	10	2	82			2
14	5	2	12	5	1	2		4	5	1	81			2
14	6	1	7	5	1	2		1	99	2	81			2
14	7	1	38	3	2	1	6	4	10	2	68	1	1	2
14	8	2	25	4	2	2		4	14	1	81			2
14	9	2	2	5	1	2		1	99	2	84			2
14	10	1	30	3	1	2		4	4	2	68	1	1	2
15	1	1	47	1	2	2		2	99	2	64	1	1	2
15	2	2	37	2	2	2		4	8	2	69	1	1	2
15	3	1	11	3	1	2		4	5	1	81			2
15	4	1	8	5	1	2		4	1	1	81			2
16	1	1	42	1	2	2		4	14	2	61	1	1	2
16	2	2	30	2	2	2		4	14	2	82			2
16	3	1	10	3	1	2		4	3	1	81			2
16	4	1	30	7	2	2		4	7	2	68	1	1	2
16	5	2	20	11	2	2		4	9	2	82			2
16	6	2	70	6	3	2		1	99	2	82			2
16	7	2	65	6	3	2		1	99	2	82			2
16	8	2	32	7	4	2		2	99	2	82			2
16	9	2	48	15	4	2		2	99	2	70	1	1	2
17	1	1	44	1	2	2		2	1	2	11	1	1	2
17	2	2	37	2	2	2		4	5	2	70	1	1	2
17	3	2	17	3	1	2		4	10	1	81			2
17	4	1	13	3	1	2		4	6	1	81			2
18	1	1	68	1	2	2		2	1	2	68	1	1	2
18	2	2	60	2	2	2		1	99	2	69	1	1	2
18	3	1	27	3	1	2		4	10	2	8	1	1	2
18	4	1	25	3	2	2		4	9	2	6	1	1	2
18	5	2	20	4	2	2		4	9	2	70	1	1	2
18	6	1	1	5	1	2		1	99	2	84			2
19	1	1	40	1	2	2		4	4	2	68	1	1	2
19	2	2	34	2	2	2		4	5	2	24	1	1	2
19	3	2	15	3	1	2		4	9	1	81			2
19	4	1	10	3	1	2		4	4	2	86			2
20	1	1	30	1	2	2		4	9	2	68	1	1	2
20	2	2	25	2	2	2		4	8	2	70	1	1	2
20	3	2	4	3	1	2		1	99	2	84			2
21	1	1	50	1	2	2		1	99	2	85			2
21	2	2	45	2	2	2		1	99	2	1	1	1	2
21	3	1	6	3	1	2		1	99	2	84			2
22	1	2	40	1	3	2		1	99	2	11	1	2	2
22	2	2	8	3	1	2		4	1	1	81			2
22	3	1	6	3	1	2		1	99	2	84			2
22	4	2	60	6	3	2		1	99	2	83			2
23	1	1	53	1	2	2		1	99	2	11	1	2	2
23	2	2	44	2	2	2		4	5	2	11	1	2	2
23	3	1	16	3	3	1	2	4	4	2	21	2	3	2
23	4	1	12	3	1	2		4	2	1	81			2
24	1	2	44	1	3	2		1	99	2	11	1	2	2
24	2	2	21	3	1	2		4	10	1	81			2
24	3	1	19	3	1	2		4	4	2	21	2	3	2
24	4	2	13	3	1	2		4	2	1	81			2
25	1	1	75	1	2	2		1	99	2	64	1	1	2
25	2	2	60	2	2	2		1	99	2	69	1	1	2
25	3	1	24	3	1	2		4	12	1	81			2
26	1	1	58	1	2	2		1	99	2	50	1	1	2
26	2	2	50	2	2	2		1	99	2	69	1	1	2
26	3	1	7	3	1	2		1	0	1	81			2
27	1	1	30	1	2	2		1	99	2	65	1	1	2
27	2	2	25	2	2	2		4	8	2	69	1	1	2
27	3	1	1	3	1	2		1	99	2	84			2
28	1	1	36	1	2	2		1	99	2	64	1	1	2
28	2	2	30	2	2	2		4	5	2	69	1	1	2
28	3	2	12	3	1	2		4	2	1	81			2
28	4	2	8	3	1	2		4	1	1	81			2
28	5	1	5	3	1	2		1	99	2	84			2
29	1	1	35	1	2	2		4	5	2	57	2	3	2
29	2	2	25	2	2	2		4	10	2	69	1	1	2
29	3	2	2	3	1	2		1	99	2	84			2
29	4	1	0	3	1	2		1	99	2	84			2
29	5	2	60	6	3	2		1	99	2	69	1	1	2
30	1	1	35	1	2	2		4	7	2	23	1	1	2
30	2	2	27	2	2	2		4	6	2	69	1	1	2
30	3	1	10	3	1	2		4	2	1	81			2
30	4	1	70	6	2	2		1	99	2	22	1	1	2
30	5	2	55	6	2	2		1	99	2	82			2
31	1	1	60	1	2	2		1	99	2	65	1	1	2
31	2	2	45	2	2	2		2	99	2	70	1	1	2
31	3	1	12	3	1	2		4	5	1	81			2
32	1	1	50	1	2	2		2	2	2	11	2	3	2
32	2	2	44	2	2	2		2	1	2	82			2
32	3	1	22	3	2	2		4	10	2	11	2	3	2
32	4	2	19	4	2	2		4	5	2	82			2
32	5	2	14	3	1	2		4	6	2	86			2
33	1	1	60	1	2	2		1	99	2	44	1	1	2
33	2	2	52	2	2	2		1	99	2	69	1	1	2
33	3	1	10	3	1	2		4	3	1	81			2
34	1	1	24	1	1	2		4	12	1	51	2	3	2
34	2	2	23	11	2	2		4	9	2	69	1	1	2
34	3	2	5	8	1	2		1	99	2	84			2
34	4	1	65	6	2	2		2	99	2	85			2
34	5	2	55	6	2	2		2	99	2	69	1	1	2
35	1	2	50	1	3	2		4	9	2	69	1	1	2
