a01	mid	b2_01	b2_02	b2_03	b2_04	b2_05	b2_06	b2_07	b2_08	b2_09	b2_10	b2_11	b2_12a	b2_12b	b2_13	b2_14	sample_type
1	4	1		2004	1	2	2.0	1	1	1	8	2	5		9999		2
2	3	1		1998	66	9	6.0	1	1	1	13	2	1		9999		2
3	4	1		1999	66	3	0.4	2	2				1		2010	21	2
5	3	1		2001	1	2	2.0	1	1	1	10	2	5		9999		2
5	4	1		2001	1	2	2.0	1	1	1	10	2	1		9999		2
6	3	1		2008	1	1	1.0	1	1	5	4	2	5		9999		2
6	4	1		2010	66	6	1.0	1	1	1	1	2	1		9999		2
8	3	1		2008	66	1	0.25	1	1	1	3	2	1		9999		2
9	3	1		2008	1	1	0.25	1	1	5	4	2	1		9999		2
11	4	1		2004	1	1	0.25	2	2				1		2009	6	2
11	5	1		2009	1	1	0.25	1	1	5	3	2	1		9999		2
13	3	1		2010	66	1	0.25	1	1	1	1	2	1		9999		2
14	5	1		2005	66	3	0.3	1	1	1	6	2	1		9999		2
14	6	1		2011	66	10	0.3	1	1	1	66	2	1		9999		2
15	3	1		2005	66	1	0.5	1	1	1	6	2	1		9999		2
15	4	1		2009	66	1	0.5	1	1	1	2	2	1		9999		2
16	3	1		2007	66	1	0.5	1	1	1	4	2	1		9999		2
17	3	1		2000	1	2	4.0	1	1	1	12	2	7		9999		2
17	4	1		2005	1	2	2.0	1	1	1	7	2	1		9999		2
19	3	1		2001	1	2	1.0	1	1	7	10	2	7		9999		2
19	4	1		2007	1	2	0.5	1	2				1		2011	6	2
21	3	2	2														2
22	2	1		2009	66	1	1.0	1	1	5	2	2	5		9999		2
22	3	2	3														2
23	3	1		2003	1	1	0.5	2	2				1		2007	10	2
23	4	1		2006	66	1	0.5	1	1	1	3	1	5		9999		2
24	4	1		2007	66	1	0.5	1	1	1	3	1	5		9999		2
26	3	1		2011	66	1	0.3	2	1	1	66	2	1		9999		2
28	3	1		2008	66	8	1.0	1	1	1	3	2	5		9999		2
28	4	1		2009	66	8	1.0	1	1	1	2	2	1		9999		2
30	3	1		2008	66	1	0.5	1	1	5	3	2	5		9999		2
31	3	1		2004	66	2	4.0	1	1	1	6	2	5		9999		2
32	5	1		2003	1	7	0.5	2	2				5		2009	15	2
33	3	1		2008	1	2	0.1	1	1	5	4	2	5		9999		2
36	3	1		2001	66	2	1.0	2	2				1		2007	6	2
36	4	1		2004	66	3	3.0	1	1	1	7	2	1		9999		2
36	5	1		2010	66	2	1.0	1	1	5	1	2	5		9999		2
37	3	1		2010	66	1	0.5	1	1	1	6	1	1		9999		2
38	4	1		2008	1	1	0.5	1	1	5	4	2	1		9999		2
40	3	1		2010	66	2	0.25	1	1	5	1	2	1		9999		2
41	4	1		2006	66	2	0.25	1	1	1	5	1	5		9999		2
41	5	1		2007	66	2	0.25	1	1	5	4	1	5	6	9999		2
42	3	1		2009	66	2	0.3	1	1	1	2	2	1		9999		2
43	3	1		2005	66	2	1.0	1	1	1	6	2	1		9999		2
43	4	1		2009	66	2	1.0	1	1	1	2	2	1		9999		2
46	3	1		2001	66	7	0.25	1	1	1	10	2	1		9999		2
46	4	1		2006	66	1	0.25	1	1	5	5	2	2	5	9999		2
47	2	1		2005	66	1	0.35	1	1	1	6	2	5	2	9999		2
47	3	1		2007	66	1	0.35	1	1	2	4	2	2		9999		2
47	4	1		2008	66	1	0.35	1	1	5	3	2	5	2	9999		2
48	5	1		2011	66	1	0.3	2	1	1	66	9					2
50	2	1		2010	66	1	0.25	1	1	5	1	2	1		9999		2
50	4	1		2011	66	1	0.25	2	1	1	66	2	1		9999		2
51	2	1		2005	1	2	0.25	1	1	1	7	2	1		9999		2
