a01	mid	c01	c02	c03	c04	c05	c06	c07	c08	c09	c10	c11	c12	c13	c14	sample_type	flag
1	1	1				11	2	4	6.0	1	180.0	30.0	2		2500	2	
1	1	1				68	2	7	5.0	3					5000	2	
1	2	1				70	3	7	1.0	3					200	2	
1	3	5														2	
1	4	5														2	
2	1	1				1	1	2	8.0	1	300.0	0.0	2		2000	2	
2	2	1				21	2	6	5.0	2					1500	2	
2	3	8														2	
3	1	1				52	1	7	7.0	3					20000	2	
3	2	8														2	
3	3	1				64	2	7	1.0	3					2000	2	
3	3	1				68	3	7	8.0	3					9000	2	
3	4	8														2	
4	1	1				64	1	7	7.0	3					3000	2	
4	1	1				68	2	3	3.0	3					5000	2	
4	2	1				64	3	4	4.0	3					3000	2	
4	2	1				68	4	7	8.0	3					5000	2	
4	3	10														2	
4	4	8														2	
5	1	1				70	2	7	1.0	3					300	2	
5	1	1				68	1	7	5.0	3					8000	2	
5	2	1				70	3	7	1.0	3					200	2	
5	3	5														2	
5	4	5														2	
6	1	1				22	2	3	5.0	3					1200	2	
6	1	1				68	1	7	5.0	3					3000	2	
6	2	1				69	3	7	1.0	3					200	2	
6	3	5														2	
6	4	5														2	
7	1	1				52	2	3	8.0	3					4000	2	
7	1	1				64	1	7	1.0	3					8000	2	
7	2	8														2	
8	1	7														2	
8	2	1				69	1	7	0.15	3					100	2	
8	3	5														2	
8	4	8														2	
9	1	1				1	2	3	8.0	1	200.0	0.0	2		4000	2	
9	1	1				65	1	4	4.0	3					5000	2	
9	2	1				69	4	7	0.15	3					100	2	
9	2	1				24	3	7	8.0	3					1500	2	
9	3	5														2	
9	5	1				70	5	7	0.15	3					50	2	
10	1	1				70	2	7	0.5	3					300	2	
10	1	1				68	1	7	9.0	3					10000	2	
10	2	1				69	3	7	0.15	3					100	2	
11	1	1				70	2	7	2.0	3					500	2	
11	1	1				64	1	7	6.0	3					9000	2	
11	2	1				69	3	7	0.15	3					100	2	
11	3	1				72	4	6	8.0	3					4000	2	
11	4	6														2	
11	5	5														2	
12	1	1				11	1	2	10.0	1	250.0	40.0	2		2000	2	
12	1	1				64	2	5	4.0	3					6000	2	
12	2	1				69	3	7	0.1	3					100	2	
12	4	7														2	
13	1	1				70	2	7	3.0	3					500	2	
13	1	1				1	1	3	7.0	1	200.0	0.0	2		5000	2	
13	2	1				70	3	7	0.1	4						2	
13	2	1				69	4	7	0.15	3					100	2	
13	2	1				56	5	7	0.5	3					400	2	
13	3	5														2	
13	5	7														2	
14	1	1				70	3	7	2.0	3					1000	2	
14	1	1				68	2	7	2.0	3					2000	2	
14	1	1				64	1	7	3.0	3					12000	2	
14	2	2				69	4	7	2.0	3					500	2	
14	3	1				14	5	6	8.0	2					15000	2	
14	4	8														2	
14	5	5														2	
14	6	5														2	
14	7	1				68	6	7	3.0	3					30000	2	
14	8	5														2	
14	10	1				68	7	7	3.0	3					25000	2	
15	1	1				70	3	7	2.0	3					300	2	
15	1	1				1	2	7	8.0	1	200.0	0.0	2		4000	2	
15	1	1				64	1	7	3.0	3					4000	2	
15	2	2				70	5	7	1.0	3					100	2	
15	2	2				69	4	7	2.0	3					200	2	
15	3	5														2	
15	4	5														2	
16	1	1				61	1	7	7.0	3					15000	2	
16	2	8														2	
16	3	5														2	
16	4	1				68	2	7	8.0	3					20000	2	
16	5	8														2	
16	6	8														2	
16	7	8														2	
16	8	8														2	
16	9	1				69	3	7	1.0	3					300	2	
16	9	1				70	4	7	2.0	3					500	2	
17	1	1				11	1	6	7.0	1	200.0	20.0	2		4000	2	
17	2	1				70	2	7	2.0	3					200	2	
17	3	5														2	
17	4	5														2	
18	1	1				68	1	5	2.0	3					9000	2	
18	2	1				69	2	7	1.0	3					100	2	
18	3	1				68	3	7	6.0	3					4000	2	
18	4	1				68	4	7	5.0	3					3500	2	
18	5	1				70	5	6	2.0	3					200	2	
19	1	1				7	2	4	8.0	1	250.0	50.0	2		3000	2	
19	1	1				68	1	7	4.0	3					4000	2	
19	2	1				24	3	7	4.0	3					1200	2	
19	3	5														2	
19	4	10														2	
20	1	1				11	2	4	6.0	1	200.0	30.0	2		2000	2	
20	1	1				68	1	7	5.0	3					3500	2	
20	2	1				69	3	7	1.0	3					100	2	
20	2	1				70	4	7	2.0	3					200	2	
21	1	9														2	
21	2	1				3	2	3	8.0	1	200.0	0.0	2		2000	2	
21	2	1				1	1	3	8.0	1	200.0	0.0	2		4000	2	
21	3	6														2	
22	1	1				69	2	7	0.5	3					200	2	
22	1	1				70	3	7	1.0	3					300	2	
22	1	1				11	1	4	6.0	1	100.0	30.0	2		2400	2	
22	2	5														2	
22	3	6														2	
22	4	7														2	
