a01	plotid	g01	g02	g03	g04	g05	g06	g07	g08a	g08b	g08c	g09a	g09b	g09c	g10	g11	g12	g13a	g13b	g13c	g14	g15a	g15b	g15c	g16a	g16b	g16c	g17a	g17b	g17c	g18a	g18b	g18c	g19a	g19b	g19c	flag	sample_type
1	1	1	10.0	0.0	0.0	4			1			1			100000	3	2000	1			4																	2
1	2	2	5.0	100.0	0.0	4	3	100.0	72			72			50000	6	2009	1			1	1			1			1			1			1				2
1	3	8	52.0	300.0	0.0	4	3	50.0	72			72			350000	6	2009	1			1	1			1			1			1			1				2
2	1	1	10.0	0.0	0.0	4			1			1			80000	3	1982	1			4																	2
3	1	1	3.0	0.0	0.0	4			1			1			45000	3	2008	1			4																	2
3	2	2	78.0	1000.0	0.0	4	2		1			1			250000	3	2008	3			2	3			3			3			3			3				2
3	3	2	82.0	1000.0	0.0	4	3	111.0	72			72			300000	6	2010	3			2	3			3			3			3			3				2
3	4	4	2.0	10.0	0.0	4	1		1			1			20000	3	2008	1			5																	2
3	5	2	5.0	500.0	0.0	4	3	50.0	72			72			35000	6	2010	3			1	3			3			3			3			3				2
4	1	1	7.0	0.0	0.0	4			1	2	3	1	2	3	60000	3	1997	1	2		4																	2
4	2	2	32.0	0.0	0.0	4	2		1	2	3	1	2	3	260000	3	1997	1	2		1	1	2		1	2		1	2		1	2		1	2			2
4	3	4	13.0	0.0	0.0	4	1		1	2	3	1	2	3	120000	3	1997	1	2		5																	2
4	4	2	15.0	450.0	1.0	4	3	216.0	72			72			100000	6	1998	1	2		1	1	2		1	2		1	2		1	2		1	2			2
4	5	2	62.0	1000.0	1.0	4	3	69.0	72			72			210000	6	2009	1	2		1	1	2		1	2		1	2		1	2		1	2			2
4	6	4	10.0	2000.0	0.0	4	1		1	2	3	1	2	3	90000	3	1997	1	2		5																	2
4	7	2	5.0	1000.0	2.0	4	3	100.0	72			72			15000	6	2010	1	2		1	1	2		1	2		1	2		1	2		1	2			2
5	1	1	15.0	0.0	0.0	4			1			1			160000	3	1980	1			4																	2
5	2	2	208.0	200.0	2.0	4	2		1			1			1456000	3	1980	1			1	1			1			1			1			1				2
5	3	2	20.0	200.0	0.0	4	2		1			1			120000	3	1980	1			1	1			1			1			1			1				2
5	4	2	188.0	1200.0	2.0	4	6	194.0	1			1			1128000	3	1980	1			1	72			72			72			72			1				2
5	5	2	75.0	1000.0	0.0	4	6	416.0	1			1			300000	3	1980	1			1	72			72			72			72			1				2
5	6	2	140.0	800.0	1.0	4	6	139.0	1			1			560000	3	1980	1			1	72			72			72			72			1				2
5	7	2	35.0	600.0	2.0	4	6	166.0	1			1			175000	3	1980	1			1	72			72			72			72			1				2
5	8	2	18.0	900.0	2.0	4	6	85.0	1			1			90000	3	1980	1			1	72			72			72			72			1				2
5	9	8	18.0	20.0	2.0	4	2		1			1			108000	3	1980	1			2	1			1			1			1			1				2
6	1	1	13.0	0.0	0.0	4			1			1			130000	3	2000	1			4																	2
6	2	2	52.0	500.0	2.0	4	2		1			1			350000	3	2000	1			1	1			1			1			1			1				2
6	3	2	13.0	700.0	2.0	4	2		1			1			52000	3	2000	1			2	1			1			1			1			1				2
6	4	8	8.0	100.0	3.0	4	12		1	72		1	72		50000	6	2000	1	72		2	1	72		1	72		1	72		1	72		1	72			2
7	1	1	13.0	0.0	0.0	4			1			72			500000	3	2008	98			4																	2
7	2	2	125.0	500.0	0.0	4	2		1			1			1500000	1	2006	1			1	1			1			1			1			1				2
7	3	2	200.0	1500.0	4.0	1	6	250.0	1			72			1200000	3	2008	72			2	72			72			72			72			72				2
7	4	2	63.0	500.0	4.0	1	6	70.0	1			72			400000	3	2008	72			2	72			72			72			72			72				2
7	5	8	25.0	100.0	8.0	1	12		1	72		72			150000	6	2008	1			2	1			1			1			1			1				2
8	1	1	10.0	0.0	0.0	4			1			1			80000	3	1980	1			4																	2
8	2	2	346.0	2000.0	4.0	4	6	350.0	1			1			1000000	1	1991	72			1	72			72			72			72			72				2
8	3	2	52.0	200.0	4.0	5	6	71.0	1			1			150000	1	1988	72			1	72			72			72			72			72				2
8	4	2	52.0	200.0	4.0	5	6	71.0	1			1			150000	1	1991	72			1	72			72			72			72			72				2
8	5	2	50.0	100.0	3.0	5	2		1			1			150000	1	2010	1			1	1			1			1			1			1				2
8	6	4	80.0	500.0	0.0	4	7		1			1			200000	1	1981	1			1	1			1			1			1			1				2
9	1	1	13.0	0.0	0.0	4			1			1			100000	3	2011	1			4																	2
9	2	2	25.0	500.0	3.0	1	3	125.0	72			72			100000	6	1998	1			1	1			1			1			1			1				2
10	1	1	5.0	0.0	0.0	4			1			1			60000	1	1972	1			4																	2
10	2	2	104.0	3000.0	4.0	1	6	111.0	1			2			300000	1	1972	72			1	72			72			72			72			72				2
10	3	2	38.0	2000.0	3.0	1	4		72			72			120000	6	2010	1	72		1	1			1			1			1			1				2
10	4	8	50.0	2000.0	3.0	1	3	220.0	72			72			200000	6	2011	1			2	1			1			1			1			1				2
10	5	8	13.0	400.0	6.0	1	6	209.0	72			72			100000	6	1969	72			2	72			72			72			72			72				2
10	6	9	3.0	100.0	6.0	1	1		1			1			15000	1	1972	98			7																	2
10	7	2	6.0	1000.0	3.0	1	2		1			1			50000	3	1962	1			1	72			72			72			72			72				2
11	1	1	16.0	0.0	0.0	4			1			72			150000	3	1991	1			4																	2
11	2	2	6.0	100.0	1.0	4	2		1			72			90000	3	1991	1			1	1			1			1			1			1				2
11	3	2	5.0	100.0	1.0	4	2		1			72			80000	3	1991	1			1	1			1			1			1			1				2
11	4	8	6.0	60.0	6.0	1	12		1	72		72			100000	6	1991	1			2	1	72		1	72		1	72		1	72		1	72			2
12	1	1	8.0	0.0	0.0	4			1			72			65000	3	1988	1			4																	2
12	2	2	3.0	50.0	0.0	4	2		1			72			25000	3	1988	1			1	1			1			1			1			1				2
12	3	9	4.0	30.0	8.0	1	1		1	72		72			20000	3	1988	98			7																	2
13	1	1	2.0	0.0	0.0	4			1			1			35000	3	2001	1			4																	2
13	2	2	78.0	1500.0	4.0	1	4		72			72			450000	6	2010	1			1	1			1			1			1			1				2
13	3	2	3.0	500.0	3.0	1	3	400.0	72			72			5000	6	2011	1			1	1			1			1			1			1				2
14	1	1	15.0	0.0	0.0	4			1			1			120000	1	2011	1			4																	2
14	2	2	10.0	300.0	0.0	4	2		1			1			90000	1	1981	1			5																	2
14	3	2	5.0	400.0	0.0	4	2		1			1			50000	1	1985	1			5																	2
14	4	4	10.0	0.0	0.0	4	1		1			1			80000	3	1987	1			5																	2
14	5	4	52.0	400.0	0.0	4	1		1			1			400000	3	1987	1			5																	2
14	6	4	12.0	500.0	0.0	4	1		1			1			80000	3	1987	1			5																	2
14	7	8	52.0	500.0	3.0	4	2		1			1			160000	3	1987	1			1	1			1			1			1			1				2
14	8	8	104.0	550.0	3.0	4	2		1			1			300000	1	1995	1			1	1			1			1			1			1				2
14	9	8	55.0	600.0	3.0	4	2		1			1			160000	1	2002	1			1	1			1			1			1			1				2
14	10	8	20.0	700.0	3.0	4	2		1			1			60000	3	2008	1			1	1			1			1			1			1				2
14	11	8	104.0	750.0	3.0	4	3	125.0	72			72			300000	6	2009	1			1	1			1			1			1			1				2
14	12	8	26.0	800.0	3.0	4	3	333.0	72			72			75000	6	2010	1			1	1			1			1			1			1				2
14	13	2	5.0	500.0	3.0	4	3	400.0	72			72			40000	6	2010	1			1	1			1			1			1			1				2
14	14	2	10.0	700.0	3.0	4	3	42.0	72			72			60000	6	2010	1			1	1			1			1			1			1				2
14	15	9	6.0	0.0	0.0	4	1		1			1			20000	3	1987	1			7																	2
14	16	9	7.0	10.0	0.0	5	1		1			1			28000	3	1987	1			7																	2
15	1	1	5.0	0.0	0.0	4			1			1			60000	3	1990	1			4																	2
15	2	4	32.0	0.0	0.0	4	1		1			1			325000	3	1990	1			5																	2
15	3	2	65.0	0.0	0.0	4	2		1			1			156000	3	1990	1			1	1			1			1			1			1				2
16	1	1	25.0	0.0	0.0	4			1			1			400000	3	1999	1			4																	2
16	2	2	52.0	10.0	0.0	4	2		1			1			400000	3	1999	1			1	1			1			1			1			1				2
16	3	2	312.0	1500.0	0.0	4	2		1			1			1200000	3	1999	1			1	1			1			1			1			1				2
16	4	2	156.0	2500.0	0.0	4	6	208.0	1			1			1200000	3	1999	72			1	72			72			72			72			72				2
16	5	2	104.0	1500.0	0.0	4	6	139.0	1			1			800000	3	1999	72			1	72			72			72			72			72				2
16	6	2	52.0	3000.0	0.0	4	6	52.0	1			1			400000	3	1999	72			1	72			72			72			72			72				2
16	7	5	13.0	0.0	0.0	4	1		1			1			110000	3	1999	1			6																	2
16	8	7	3.0	2500.0	0.0	4	6	583.0	1			1			200000	3	1999	1			6																	2
16	9	2	30.0	3000.0	0.0	4	6	416.0	1			1			130000	3	1999	72			1	72			72			72			72			72				2
16	10	2	52.0	300.0	0.0	4	6	63.0	1			1			200000	3	1999	72			1	72			72			72			72			72				2
16	11	2	12.0	2000.0	0.0	4	3	167.0	72			72			90000	6	2010	1			1	1			1			1			1			1				2
17	1	1	15.0	0.0	0.0	4			1			1			150000	1	1995	1			4																	2
18	1	1	30.0	0.0	0.0	4			1			1			300000	1	1980	1			4																	2
18	2	2	104.0	20.0	0.0	4	2		1			1			936000	1	1980	1			1	1			1			1			1			1				2
18	3	4	150.0	10.0	0.0	4	1		1			1			1200000	1	1982	1			5																	2
18	4	2	130.0	400.0	2.0	4	2		1			1			650000	1	1988	1			2	1			1			1			1			1				2
18	5	2	40.0	700.0	2.0	4	2		1			1			200000	1	1990	1			2	1			1			1			1			1				2
18	6	2	13.0	800.0	2.0	4	2		1			1			65000	3	1988	1			2	1			1			1			1			1				2
18	7	2	20.0	600.0	1.0	4	1		1			1			80000	3	1988	1			7																	2
18	8	8	20.0	10.0	2.0	4	2		1			1			120000	1	1980	1			2	1			1			1			1			1				2
19	1	1	5.0	0.0	0.0	4			1			1			50000	1	2004	1			4																	2
19	2	2	52.0	600.0	2.0	4	3	346.0	72			72			400000	6	2009	72			2	1			1			1			1			1				2
20	1	1	2.0	0.0	0.0	4			1			72			20000	3	1998	1			4																	2
20	2	2	52.0	500.0	2.0	4	3	58.0	72			72			364000	6	2010	1			1	1			1			1			1			1				2
21	1	1	5.0	0.0	0.0	5			1			74			600000	7	1996	1			4																	2
22	1	1	10.0	0.0	0.0	4			1			74			110000	7	1985	1			4																	2
23	1	1	6.0	0.0	0.0	4			1			72			66000	3	1985	1			4																	2
24	1	1	6.0	0.0	0.0	4			1			71			66000	3	2001	1	3		4																	2
25	1	1	25.0	0.0	0.0	5			2			2			750000	2	1965	2			4																	2
25	2	2	13.0	10.0	0.0	5	2		2			2			325000	2	1965	1			1	1			1			1			1			1				2
25	3	2	15.0	10.0	0.0	5	2		2			2			375000	2	1965	1			1	1			1			1			1			1				2
25	4	2	30.0	500.0	0.0	5	2		3			3			1200000	3	2010	1			1	1			1			1			1			1				2
25	5	2	20.0	500.0	0.0	5	2		3			3			600000	3	2010	1			1	1			1			1			1			1				2
25	6	2	45.0	500.0	0.0	5	2		3			3			1800000	3	2010	1			1	1			1			1			1			1				2
25	7	2	52.0	1000.0	0.0	5	7		1			1			1300000	1	1970	1			1	72			72			72			72			72				2
25	8	2	42.0	1000.0	0.0	5	7		1			1			1050000	1	1973	1			1	72			72			72			72			72				2
25	9	3	91.0	1000.0	0.0	5	7		1			1			3640000	1	1978	1			1	72			72			72			72			72				2
25	10	2	13.0	500.0	0.0	5	7		1			1			325000	1	1960	1			1	72			72			72			72			72				2
25	11	2	25.0	500.0	0.0	5	7		1			1			1000000	1	1965	1			1	72			72			72			72			72				2
25	12	2	8.0	500.0	0.0	5	7		1			1			240000	1	1963	1			1	72			72			72			72			72				2
25	13	2	3.0	500.0	0.0	5	7		1			1			75000	1	1955	1			1	72			72			72			72			72				2
25	14	2	38.0	4000.0	0.0	5	6	56.0	1			1			1140000	1	1972	1			1	72			72			72			72			72				2
25	15	2	20.0	4000.0	0.0	5	7		1			1			600000	1	1978	1			1	72			72			72			72			72				2
25	16	4	13.0	100.0	0.0	5	7		1			1			120000	1	1986	72			1	72			72			72			72			72				2
25	17	4	10.0	50.0	0.0	5	1		1			1			70000	1	1978	1			5																	2
25	18	2	18.0	600.0	0.0	5	3	104.0	72			72			190000	6	2009	1			1	1			1			1			1			1				2
25	19	2	4.0	450.0	0.0	5	7		1			1			40000	1	1979	72			1	72			72			72			72			72				2
25	20	2	5.0	300.0	0.0	5	7		1			1			45000	1	1983	72			1	72			72			72			72			72				2
25	21	4	3.0	60.0	0.0	5	1		1			1			30000	1	1984	72			7																	2
25	22	8	10.0	10.0	0.0	5	2		1			1			50000	1	1980	1			2	1			1			1			1			1				2
25	23	9	8.0	10.0	0.0	5	1		1			1			30000	1	1977	1			7																	2
26	1	1	6.0	0.0	0.0	5			1			1			600000	1	1989	1		4	4																	2
27	1	1	12.0	0.0	5.0	1			1			72			500000	3	2007	72			4																	2
27	2	2	84.0	1000.0	1.0	5	4		72			72			1500000	6	2009	1			1	1			1			1			1			1				2
27	3	2	52.0	1000.0	1.0	5	4		72			72			1000000	6	2009	1			1	1			1			1			1			1				2
27	4	2	52.0	400.0	0.0	5	4		72			72			1500000	6	2009	1			1	1			1			1			1			1				2
27	5	2	47.0	400.0	3.0	5	4		72			72			1500000	6	2011	1			1	1			1			1			1			1				2
27	6	2	20.0	500.0	3.0	5	4		72			72			1500000	6	2011	1			1	1			1			1			1			1				2
27	7	2	10.0	450.0	3.0	5	4		72			72			400000	6	2011	1			1	1			1			1			1			1				2
27	8	8	12.0	0.0	0.0	5	12		72			72			100000	6	2008	1			1	1			1			1			1			1				2
27	9	2	4.0	20.0	0.0	5	12		72			72			50000	6	2011	1			1	1			1			1			1			1				2
27	10	2	4.0	20.0	0.0	5	12		72			72			100000	6	2011	1			1	1			1			1			1			1				2
28	1	1	15.0	0.0	0.0	5			1			1			180000	3	1998	1			4																	2
28	2	4	15.0	0.0	0.0	5	1		1			1			180000	3	1998	1			5																	2
28	3	2	37.0	250.0	0.0	5	2		1			1			400000	1	2000	1			1	1			1			1			1			1				2
