a01	j1_01	j1_02a	j1_02b	j1_02c	j1_03a	j1_03b	j1_03c	j1_03d	j1_03e	j1_03f	j1_03g	j1_03h	j1_03i	j1_03j	j1_03k	j1_03l	j1_03m	j1_03n	j1_03o	j1_03p	j1_04	j1_5a	j1_5b	j1_5c	j1_06a	j1_06b	j1_06c	j1_06d	j1_06e	j1_06f	j1_06g	j1_06h	j1_06i	j1_06j	j1_06k	j1_06l	j1_06m	j1_06n	j1_06o	j1_06p	j1_07	sample_type
1	2																				2																				1	2
2	2																				2																				1	2
3	2																				1	4	0	0	2		2		2		1	3	1	3	2		2		2			2
4	2																				2																				1	2
5	2																				2																				1	2
6	2																				2																				1	2
7	2																				2																				1	2
8	1	10	0	0	1	2	1	2	2		1	2	1	2	1	2	2		2		1	10	0	0	1	2	1	2	2		1	2	1	2	1	2	2		2			2
9	2																				2																				1	2
10	2																				2																				3	2
11	2																				2																				1	2
12	2																				2																				1	2
13	2																				2																				1	2
14	2																				1	2	0	0	1	3	1	3	2		1	3	2		1	3	2		2			2
15	2																				2																				5	2
16	2																				1	4	0	0	1	3	2		2		2		2		2		2		2			2
17	2																				2																				1	2
18	2																				2																				1	2
19	2																				2																				1	2
20	2																				2																				1	2
21	2																				2																				2	2
22	2																				2																				1	2
23	2																				2																				1	2
24	2																				2																				1	2
25	2																				2																				2	2
26	2																				2																				6	2
27	2																				2																				2	2
28	2																				2																				2	2
29	2																				2																				1	2
30	2																				2																				1	2
31	2																				2																				1	2
32	2																				2																				1	2
33	2																				2																				1	2
34	2																				2																				1	2
35	2																				2																				1	2
36	2																				2																				1	2
37	2																				2																				1	2
38	2																				2																				1	2
39	2																				2																				1	2
40	2																				2																				1	2
41	2																				2																				1	2
42	2																				2																				1	2
43	2																				2																				1	2
44	2																				2																				2	2
45	2																				2																				1	2
46	2																				2																				2	2
47	2																				2																				1	2
48	2																				2																				2	2
49	2																				2																				1	2
50	2																				2																				1	2
51	2																				2																				6	2
52	2																				2																				6	2
53	2																				2																				1	2
54	2																				2																				6	2
55	2																				2																				6	2
56	2																				2																				1	2
57	2																				2																				6	2
58	2																				2																				1	2
59	2																				2																				1	2
60	2																				2																				6	2
61	2																				2																				1	3
62	2																				2																				1	3
63	2																				2																				1	3
64	2																				2																				1	3
65	2																				2																				1	3
66	2																				2																				1	3
67	2																				2																				1	3
68	2																				2																				6	3
69	2																				2																				1	3
70	2																				2																				6	3
71	2																				2																				1	3
72	2																				2																				1	3
73	2																				2																				1	3
74	1	2	0	0	2		1	2	2		1	2	2		2		2		2		1	4	0	0	1	2	1	2	1	1	2		2		2		2		2			3
75	2																				2																				1	3
76	2																				2																				1	3
77	2																				2																				1	3
78	2																				2																				1	3
79	2																				2																				1	3
80	1	4	0	0	1	2	1	2	2		1	2	1	2	2		2		2		1	6	0	0	1	2	1	2	1	2	1	1	2		2		2		2			3
81	2																				2																				6	3
82	2																				2																				6	3
83	2																				2																				6	3
84	2																				2																				6	3
85	2																				2																				6	3
86	2																				2																				6	3
87	2																				2																				6	3
88	2																				2																				6	3
89	2																				2																				6	3
90	2																				2																				6	3
91	2																				2																				6	3
92	2																				2																				6	3
93	2																				2																				6	3
94	2																				2																				1	3
95	1	5	0	0	1	1	1	1	1	2	1	2	1	1	2		2		2		1	5	0	0	1	1	1	1	1	1	1	1	1	1	2		2		2			3
96	2																				2																				1	3
97	2																				2																				1	3
98	2																				2																				6	3
99	2																				2																				1	3
100	2																				2																				6	3
101	2																				2																				1	2
102	2																				2																				4	2
103	2																				2																				1	2
104	2																				2																				1	2
105	2																				2																				2	2
106	2																				2																				1	2
107	2																				2																				1	2
108	2																				2																				1	2
109	2																				2																				1	2
110	2																				2																				1	2
111	1	1	1	0	1	2	1	2	1	2	1	2	1	2	1	2	1	2	2		2																					2
112	2																				2																				1	2
113	2																				2																				1	2
114	2																				2																				1	2
115	2																				2																				1	2
116	2																				2																				5	2
117	2																				2																				3	2
118	2																				2																				1	2
119	2																				2																				1	2
120	2																				2																				1	2
121	2																				2																				1	2
122	1	3	0	0	1	2	1	2	2		1	2	1	1	1	2	2		2		1	2	0	0	2		1	2	2		2		1	2	2		2		2			2
123	2																				2																				1	2
124	2																				2																				1	2
125	2																				2																				5	2
126	2																				2																				1	2
127	2																				2																				1	2
128	2																				2																				1	2
129	1	1	0	0	2		1	3	2		2		1	2	2		2		2		2																					2
130	2																				2																				1	2
131	2																				2																				1	2
132	2																				2																				1	2
133	2																				2																				1	2
134	2																				2																				1	2
135	2																				2																				1	2
136	2																				2																				1	2
137	2																				2																				1	2
138	2																				2																				1	2
139	2																				2																				1	2
140	2																				2																				1	2
141	2																				2																				4	3
142	2																				2																				1	3
143	2																				2																				1	3
144	2																				2																				5	3
145	2																				2																				1	3
146	2																				2																				1	3
147	2																				2																				1	3
148	2																				2																				1	3
149	2																				2																				1	3
150	2																				2																				1	3
151	2																				2																				4	3
152	2																				2																				1	3
153	2																				2																				4	3
154	2																				2																				1	3
155	2																				2																				1	3
156	2																				2																				1	3
157	2																				2																				1	3
158	2																				2																				2	3
159	2																				2																				1	3
160	2																				2																				1	3
161	2																				2																				1	2
162	2																				2																				2	2
163	2																				2																				1	2
164	2																				2																				1	2
165	2																				2																				1	2
166	2																				2																				1	2
167	2																				2																				1	2
168	2																				2																				2	2
169	2																				2																				2	2
170	2																				2																				1	2
171	1	2	0	0	1	1	2		2		2		1	2	2		2		2		2																					2
172	2																				2																				1	2
173	2																				2																				1	2
174	2																				2																				1	2
