a01	livestock	k1_01	k1_02a	k1_02b	k1_03a	k1_03b	k1_04	k1_05a	k1_05b	k1_05c	k1_06a	k1_06b	k1_06c	k1_07	k1_08	k1_09	k1_10a	k1_10b	k1_10c	k1_11	k1_12	k1_13	k1_14a	k1_14b	k1_15	k1_16	k1_17	k1_18	k1_19a	k1_19b	k1_19c	k1_20a	k1_20b	k1_20c	k1_21	sample_type
1	2	2	1	15000	2	22000	2	1			2			1	0					0	0	0	0		0	0										2
1	6	2	5	1000	6	900	6	1			2			0	4	1	2.0			0	0	0	3	600	0	0									2	2
2	6	2	10	1500	1	300	1	2			2			1	0					0	0	0	0		6	4	1	420	2			2			2	2
3	6	1	3	600	0		0	2			2	4		0	0					0	0	0	0		2	1	1	150	2			2			2	2
3	8	1	6	1300	3	900	3	2			2	4		0	6	1	2.0			0	0	0	0		3	6	1	1200	2			2			2	2
5	2	2	1	20000	2	30000	2	1			1	2		1	0					0	0	0	0		0	0										2
6	8	2	7	1400	6	1200	6	1			2			0	0					0	0	0	0		1	0									2	2
8	6	1	6	1200	5	1500	5	2			2			0	0					0	0	0	1	200	0	0									2	2
8	8	1	6	1000	5	1000	5	2			2			0	0					0	0	0	1	200	0	0									2	2
9	4	2	4	5000	1	1500	1	5			5			4	0					0	0	0	3	3000	0	4	1	5500	5			5				2
9	6	2	4	600	2	500	2	2			2			0	0					0	0	0	2	300	0	0									2	2
10	4	3	0		5	3500	5	1			1			7	1	3	1.0			0	0	0	2	500	0	1	1	1200	1			1				2
10	6	2	2	200	2	400	2	2			2			0	0					0	0	0	0		0	0									2	2
11	1	2	2	15000	3	30000	3	1			1	2		1	0					0	0	0	0		0	0										2
11	2	2	1	20000	1	20000	1	1			1	2		0	0					0	0	0	0		0	0										2
11	8	2	0		2	300	2	1			2			0	2	2	1.0	2		0	0	0	0		0	0									2	2
12	6	2	9	1500	4	380	4	2			2			0	1	1	4.0			0	3	0	0		1	2	1	450	2			1	2		2	2
12	8	2	2	300	1	150	1	2			2			0	0					0	0	0	1	150	0	0									2	2
13	1	2	1	17300	1	23000	1	1			1	2		0	0					0	0	0	0		0	0										2
13	2	2	0		1	8000	1	1			2			0	1	3	1.0	2		0	0	0	0		0	0										2
13	6	2	9	1800	1	150	1	2			2			0	0					0	0	0	0		5	3	1	550	2			2			2	2
13	8	2	6	1200	0		0	2			2			0	0					0	0	0	0		3	3	1	630	2			2			2	2
14	1	2	1	4000	1	5000	1	1			1	7		0	0					0	0	0	0		0	0										2
14	2	2	1	20000	3	40000	3	1			1			1	1	3	1.0			0	0	0	0		0	0										2
14	6	2	9	1800	8	1600	8	2			2	4		20	0					0	0	0	0		10	11	3	2500	2			2			2	2
14	8	2	10	2000	19	4400	19	2	4		2	4		20	0					0	0	0	0		5	6	3	1500	2	4		2	4		2	2
15	1	2	1	24000	0		0	1			1			0	0					0	0	0	0		0	1	3	29000	1			1				2
15	2	2	2	40000	3	50000	3	1			1	2		1	0					0	0	0	0		0	0										2
15	6	2	2	350	2	400	2	2			2			0	0					0	0	0	0		0	0									2	2
15	8	2	13	2600	5	1000	5	2			2			0	6	1	2.0			0	0	0	2	400	3	9	1	1800	2			2			2	2
16	1	2	2	28000	1	14000	1	1	4		1			0	0					0	0	0	0		0	1	1	23000	1			1				2
16	2	3	2	30000	2	40000	2	1	4		1			0	0					0	0	0	0		0	0										2
16	6	3	3	600	16	2400	16	2			2			18	0					0	0	0	0		5	0									2	2
16	8	3	4	900	14	3000	14	2			2			20	0					0	0	0	2	300	8	0									2	2
17	2	2	1	18000	1	25000	1	1			2			0	0					0	0	0	0		0	0										2
17	6	2	2	400	2	400	2	2			2			0	0					0	0	0	0		0	0									2	2
18	2	2	1	14000	2	20000	2	1			5			1	0					0	0	0	0		0	0										2
18	6	2	7	1400	11	2000	11	1			2			7	0					0	0	0	3	150	0	0									2	2
20	2	2	1	8000	2	12000	2	1			2			1	0					0	0	0	0		0	0										2
20	6	2	14	2000	8	1200	8	1			2			0	0					0	0	0	5	750	1	0									2	2
22	5	2	3	6000	2	3200	2	1			1			1	0					0	0	0	2	2000	0	0										2
22	6	2	6	900	4	600	4	1			1			0	0					0	0	0	2	300	0	0									2	2
23	4	2	1	3000	2	1000	2	1			2			2	0					0	0	0	1	3000	0	0										2
23	6	2	3	600	7	350	7	1			2			6	0					0	0	0	2	400	0	0									2	2
