a01	rid	n01	bid	n02	n03a	n03b	n03c	n04a	n04b	n04c	n05	n06a	n06b	n07	n08a	n08b	n08c	n09a	n09b	n09c	n10a	n10b	n10c	n11a	n11b	n11c	n12a	n12b	n12c	n13	n14	n15	n16	n17a	n17b	n18	n19	n20a	n20b	n21	n22a	n22b	sample_type
1	1	2																																									2
2	2	2																																									2
3	1	1	1	30	1			1			240000	33	6	1							1			1			1			2	12.0	100.0	100.0	1		3	2	8		0	1		2
4	1	2																																									2
5	1	2																																									2
6	1	1	1	31	1			1			12000	8	5	1							1			1			1			3	10.0	100.0	100.0	1		3	2	2		0	1		2
7	1	1	1	28	1			1			480000	2	6	1							1			1			1			3	12.0	100.0	100.0	1		4	1	2		0	1		2
8	1	2																																									2
9	2	1	1	30	1	2		2			18000	1	0	1							2			2			1	2		1	12.0	100.0	10.0	1		1	3	2		0	1		2
10	1	2																																									2
11	1	2																																									2
12	1	2																																									2
13	1	1	1	28	1			1			30000	12	3	1							1			1			1			3	3.0	100.0	100.0	1		3	3	11		0	1		2
14	1	2																																									2
15	1	2																																									2
16	1	1	1	16	1			1			120000	0	11	1							1	4		1	4		1			1	8.0	100.0	100.0	3	1	1	2	5		1	2		2
16	1	1	2	16	1			1			96000	35	8	1							1	4		1	4		1			1	12.0	100.0	100.0	3	1	1	2	1	5	2	2		2
17	1	2																																									2
18	1	2																																									2
19	1	1	1	39	1	2		2			14400	3	4	1							2			2			2	1		1	12.0	100.0	100.0	1		1	2	2		0	15		2
20	1	2																																									2
21	1	2																																									2
22	1	2																																									2
23	1	2																																									2
24	1	2																																									2
25	1	1	1	30	1			1			12000	1	0	1							1	3		1	3		1			1	12.0	100.0	100.0	1		1	2	2		0	1		2
25	1	1	2	30	1			1			5000	1	0	1							1	3		1	3		1			1	12.0	100.0	100.0	1		1	2	2		0	1		2
26	1	1	1	29	1			1			15000	1	4	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		1	1		2
27	1	1	1	30	1			1			9000	10	11	2	1			1			1			1			1			2	12.0	100.0	100.0	1		2	2	1		0	1		2
28	1	1	1	31	1			1			12000	1	10	2	1			1			1			1			1			3	12.0	100.0	100.0	1		2	2	2		0	1		2
29	1	1	1	28	1			1			102000	12	3	1							1			1			1			2	12.0	100.0	100.0	1		3	2	3		0	1		2
30	1	1	1	31	1	4		1			84000	7	1	1							1			1	4		1			3	12.0	100.0	100.0	1		2	1	2	3	0	1		2
30	1	1	2	31	1	4		1	4		48000	10	3	1							4			1	4		4			3	12.0	100.0	100.0	1	2	2	2	2	3	0	1		2
31	1	2																																									2
32	1	2																																									2
33	1	2																																									2
34	1	1	1	30	1	4		1	4		84000	3	2	1							1			1			1	71		2	12.0	100.0	100.0	1		3	2	2	3	1	1		2
35	1	2																																									2
36	1	1	1	22	1			1			48000	10	2	1							1	3		1	3		1			2	12.0	100.0	100.0	1		3	1	2		1	5		2
36	1	1	2	39	2			1			10000	1	2	1							2			2			1			1	6.0	100.0	10.0	3		2	3	2		0	5		2
37	1	2																																									2
38	3	1	1	29	3			3			40000	5	2	1							3			3			1	3		3	12.0	100.0	100.0	1		4	3	11	11	0	1		2
39	1	1	1	6	1			1			200000	3	2	1							1			1			1			3	12.0	70.0	70.0	1		3	1	3		0	1		2
40	1	1	1	31	1			1			72000	1	2	2	1			1			1			1			1			3	12.0	100.0	100.0	1		3	1	1	8	0	1		2
40	1	1	2	31	1			1			3000	0	1	1							1			72			1			3	1.0	100.0	100.0	1		3	1	1	8	0	1		2
41	1	1	1	29	1			1			30000	2	4	1							1			1			1			1	12.0	100.0	100.0	1		1	2	2	4	0	1		2
42	1	1	1	39	1			1			120000	15	10	2	1			1			1			1			1			3	12.0	100.0	100.0	1		4	2	2	6	4	15		2
43	1	2																																									2
44	1	2																																									2
45	1	2																																									2
46	1	2																																									2
47	1	2																																									2
48	1	2																																									2
49	1	2																																									2
50	1	2																																									2
51	1	2																																									2
52	2	1	1	31	1			1			72000	6	2	2	1			1			1			1			1			3	12.0	100.0	100.0	1		3	1	1		0	11		2
53	1	2																																									2
54	1	2																																									2
55	1	1	1	29	1			1			96000	12	9	1							1	2		1	2		1			3	11.0	100.0	100.0	1		2	3	2		0	1		2
56	1	2																																									2
57	1	2																																									2
58	1	2																																									2
59	1	2																																									2
60	3	1	1	31	71			1			72000	4	3	1							3			3			1			3	12.0	100.0	100.0	1		3	2	10		0	12		2
60	3	1	2	28	1			1			70000	10	3	1							1			1			1			2	12.0	100.0	100.0	1		4	2	8	10	0	12		2
60	3	1	3	31	1			1			36000	2	6	1							1			1			1			3	12.0	100.0	100.0	1		3	2	8		0	6	12	2
61	1	1	1	28	1			1			60000	10	2	1							1			1	2		1			3	12.0	100.0	100.0	1		4	3	2		0	2		3
62	1	2																																									3
63	1	1	1	31	1			1			72000	26	2	1							1			1			1			2	12.0	100.0	85.0	1		3	2	6		0	1		3
64	1	2																																									3
65	1	1	1	31	1			1			70000	2	6	1							1			1			1			2	10.0	100.0	100.0	1		2	2	7		0	1		3
65	1	1	2	31	1	4		1	4		30000	1	3	1							4			1	4		1	4		2	9.0	100.0	100.0	1		2	2	2	7	0	1		3
66	1	2																																									3
67	1	2																																									3
68	1	1	1	2	1			1			120000	3	9	1							1	3		1	3		1			3	9.0	100.0	100.0	1		4	1	4	9	1	2	14	3
69	1	2																																									3
70	1	1	1	29	1			1			120000	11	8	1							1			1			1			2	12.0	100.0	100.0	1		2	3	2		0	1		3
71	1	2																																									3
72	1	1	1	29	1			3			72000	3	11	1							3			1	3		1	3		2	12.0	100.0	100.0	1		2	1	2	3	1	1		3
72	1	1	2	30	1			1			200000	20	8	1							1			1	3		1			2	6.0	100.0	100.0	1		4	1	4		1	14		3
73	1	1	1	29	1	2		1			108000	1	0	1							1			1			1			2	12.0	100.0	100.0	1		3	2	2		0	1		3
74	1	2																																									3
75	1	2																																									3
76	1	1	1	31	1			1			84000	7	2	1							1			1			1			3	12.0	100.0	100.0	1		3	2	11	10	0	1		3
77	1	2																																									3
78	1	1	1	29	1			1			48000	4	3	1							1			1			1			1	12.0	100.0	100.0	1		1	2	2	9	0	1		3
78	1	1	2	30	1			1			20000	3	2	1							1			1	2		1			1	7.0	100.0	100.0	1		1	2	2	10	0	10		3
79	1	2																																									3
80	1	2																																									3
81	1	1	1	29	1			1			60000	25	4	1							1			1			1			2	12.0	100.0	100.0	1		4	1	5	7	0	2	5	3
81	1	1	2	29	4			4			4000	30	0	1							4			4			4			2	12.0	100.0	100.0	1		4	2	2		0	1		3
82	1	1	1	30	1			1			48000	6	2	1							1			1			1			2	12.0	100.0	100.0	1		3	2	7		0	1		3
83	1	1	1	31	1			1			30000	4	6	1							1			1			1	2		3	8.0	100.0	100.0	1		3	1	11	7	0	1		3
83	1	1	2	30	1			1			9000	1	4	1							1			1			1	2		3	10.0	100.0	100.0	1		2	1	11	7	0	1		3
83	1	1	3	30	1			1			9200	2	3	1							1			1			1	2		3	10.0	100.0	100.0	1		2	1	11	7	0	1		3
84	1	2																																									3
85	1	1	1	29	71			71			6000	0	8	2	71			71			71			71			71			1	8.0	100.0	100.0	1		1	3	2		0	12		3
86	1	2																																									3
87	1	1	1	30	1			1			60000	15	3	2	1			1			1			1			1			2	12.0	100.0	100.0	1		4	3	2	6	0	1		3
88	1	2																																									3
89	1	1	1	31	1			1			24000	3	4	1							1			1			1			3	12.0	100.0	100.0	1		4	1	2		0	1		3
90	1	1	1	29	1			1			36000	6	5	1							1			1	4		1			2	12.0	100.0	100.0	1		2	2	2		0	2		3
91	1	2																																									3
92	1	1	1	30	1			1			20000	9	6	1							1			1			1			3	4.0	100.0	100.0	1		4	2	9		0	9		3
93	1	2																																									3
94	1	2																																									3
95	1	1	1	29	1			1			30000	9	12	1							1			1			1			2	12.0	100.0	100.0	1		4	1	6	5	0	1		3
96	1	2																																									3
97	1	2																																									3
98	1	2																																									3
99	1	1	1	28	1			1			25000	1	0	2	1			1			1			1			1			3	8.0	100.0	100.0	3		4	2	2		0	10		3
100	1	1	1	8	1			1			120000	18	3	1							1	3	6	1	3	6	1			2	12.0	100.0	100.0	1		4	3	2		2	1		3
101	1	1	1	39	1			1			90000	1	3	1							1			1			1			3	12.0	100.0	100.0	1		4	2	8	2	0	2		2
101	1	1	2	4	1			1			30000	0	9	2	1			1			1			1			1			1	9.0	100.0	100.0	1		1	2	8	2	0	2	7	2
102	1	1	1	31	1			1			36000	10	0	1							1			1			1			3	10.0	100.0	100.0	1		5	2	3		0	1		2
103	1	2																																									2
104	1	1	1	38	1			1			60000	1	0	1							1			1			1			3	12.0	100.0	100.0	1		4	3	1		0	1		2
105	1	2																																									2
106	1	2																																									2
107	1	2																																									2
108	1	1	1	38	1			1			96000	1	0	1							1			1			1			3	12.0	100.0	100.0	1		4	2	2		0	1		2
109	1	2																																									2
