a01	q_01	q_02	q_03	q_04	q_05	q_06	q_07	q_08	q_09	q_10	q_11	q_12	q_13	q_14	q_15	q_16	q_17	q_18	q_19	q_20	q_21	sample_type	flag
1	1	600		10	0	3	2	2	4	1	2	351.0	1	3	98	5	0	1		1	50	2	
2	1	200		25	1	3	5	2	4	1	1	375.0	2			5	0	4	100.0	1	50	2	
3	1	300		1	6	2	3	2	4	1	2	450.0	1	3	98	1		1		0		2	
4	1	300		10	0	2	3	2	4	1	2	630.0	1	4	98	9	0	1		1	300	2	
5	1	3000		12	0	2	1	1	1	1	3	486.0	1	3	150	5	0	1		1	450	2	
6	1	500		20	0	3	1	2	4	1	1	293.0	1	3	98	5	0	1		1	60	2	
7	1	2000		2	3	1	1	1	1	1	1	1025.0	1	2	100	5	0	1		2	600	2	
8	1	200		12	5	2	2	2	1	1	1	450.0	1	3	492	5	0	1		2	200	2	
9	1	300		5	0	3	5	2	4	2	2	600.0	1	3	168	5	500	1		1	50	2	
10	1	100		10	1	3	5	9	4	1	1	113.0	2			5	150	4	180.0	0		2	
11	1	300		15	3	2	5	2	4	2	2	340.0	2			5	0	4	180.0	2	400	2	
12	1	300		50	0	3	4	2	4	2	2	320.0	1	2	184	5	0	1		1	40	2	
13	1	500		6	3	2	3	2	4	1	1	180.0	1	2	153	5	0	1		1	50	2	
14	1	1000		25	1	2	3	2	1	5	5	2250.0	1	2	450	5	0	1		5	5000	2	
15	1	300		23	2	3	3	2	4	1	2	340.0	1	2	107	6	0	1		1	500	2	
16	1	700		42	0	3	4	2	4	2	4	1791.0	1	2	800	5	0	1		4	600	2	
17	1	1000		15	0	2	2	2	4	1	2	441.0	2			5	0	4	100.0	1	90	2	
18	1	1500		50	0	3	3	2	4	1	3	540.0	1	2	700	5	0	1		3	1000	2	
19	1	500		6	0	2	3	2	1	1	2	189.0	2			5	0	4	100.0	1	70	2	
20	1	500		8	0	3	2	2	4	1	1	180.0	1	3	140	5	0	1		1	120	2	
21	2	200		12	1	4	4	9	4	1	1	140.0	2			9	0	4	120.0	0		2	
22	2	300		5	0	3	2	2	4	1	1	216.0	2			5	120	4	85.0	0		2	
23	1	600		6	0	3	2	2	4	2	2	378.0	1	2	120	4	0	1		1	120	2	
24	1	300		10	0	3	1	2	4	1	1	270.0	2			5	0	4	50.0	1	85	2	
25	1	1000		15	1	1	1	2	1	2	2	380.0	1	4	245	5	0	1		2	200	2	
