a01	t1_02	t1_03	t1_04	t1_05	t1_06	t1_07	t1_08a	t1_08b	t1_08c	t1_09	t1_10	sample_type
2	4	1	2	2009	3	40000	9	24		160	1	2
2	15	1	11	2007	3	26000	9	24		130	2	2
3	15	1	11	2007	3	20000	1			30	2	2
3	21	1	11	2007	3	50000	1			30	1	2
4	15	1	11	2007	3	35000	9			130	1	2
8	15	2	11	2008	3	200000	1			365	1	2
9	9	2	9	2010	3	20000	21			30	2	2
9	15	1	11	2011	3	45000	9			999	1	2
11	4	1	6	2010	3	20000	4			20	1	2
12	10	1	7	2008	3	40000	9			999	1	2
14	10	5	11	2010	1	300000	1			999	2	2
14	15	1	11	2007	1	500000	25			999	1	2
15	15	1	11	2007	3	10000	4			100	1	2
16	15	1	11	2007	1	70000	8			999	1	2
21	4	1	12	2007	2	120000	24			999	1	2
21	15	1	11	2007	2	2000	24			999	2	2
22	4	1	10	2011	2	5000	24			999	1	2
23	19	1	6	2011	1	20000	8	24		999	1	2
25	15	1	11	2007	3	200000	1			130	1	2
26	4	1	10	2009	3	150000	9	24		999	1	2
26	15	1	11	2007	3	10000	1			60	2	2
27	15	1	11	2007	3	15000	8	9		30	1	2
28	15	1	11	2007	3	25000	8	9		140	1	2
30	3	1	9	2011	3	7000	1			10	2	2
30	15	1	11	2007	3	20000	8			160	1	2
31	21	1	12	2008	3	30000	1			365	1	2
34	4	2	5	2011	1	500000	24	25	20	999	1	2
35	27	1	3	2009	3	50000	24			60	1	2
37	24	1	11	2010	3	44000	25			31	1	2
38	15	1	11	2007	3	20000	1			365	1	2
39	4	1	5	2008	3	300000	24			60	1	2
41	15	1	11	2007	2	50000	9	24		390	1	2
42	4	2	10	2010	3	16000	1			999	3	2
42	15	1	11	2007	3	30000	1			150	2	2
42	34	1	11	2007	3	60000	9	8		999	1	2
43	15	1	11	2007	2	30000	9			330	1	2
44	4	1	10	2008	3	30000	1			30	2	2
44	15	1	11	2007	3	40000	1			120	1	2
45	4	1	5	2009	3	7000	1			60	2	2
45	15	1	11	2007	3	40000	1			700	1	2
46	15	1	11	2007	3	50000	1			120	1	2
47	4	1	10	2010	3	3000	9			90	2	2
47	15	1	11	2007	3	20000	9			120	1	2
49	15	1	11	2007	3	150000	1			180	1	2
50	15	1	11	2007	1	30000	9	24		390	1	2
52	4	1	8	2007	3	7000	9			365	1	2
53	3	1	12	2008	3	50000	9	24	10	750	1	2
53	4	1	9	2010	3	11000	9			30	3	2
53	15	1	11	2007	1	200000	9			999	2	2
54	4	1	10	2010	3	45000	9			20	1	2
55	4	1	6	2008	3	10000	9			999	1	2
56	15	1	11	2007	3	20000	1			365	1	2
57	15	1	11	2007	1	100000	8	24		390	1	2
57	26	1	3	2011	1	30000	9			999	1	2
58	15	1	11	2007	1	50000	8	24		720	1	2
59	12	1	11	2007	1	50000	8			720	1	2
59	15	1	11	2007	1	150000	8			365	1	2
60	15	1	11	2007	3	50000	8			390	1	2
62	15	1	11	2007	2	200000	25			999	1	3
63	3	1	8	2008	3	10000	9			999	2	3
63	15	1	11	2007	3	40000	25			365	1	3
64	15	1	11	2007	3	80000	24			365	1	3
65	3	1	8	2011	3	9000	8			999	2	3
65	15	1	11	2007	3	30000	25			130	1	3
66	15	1	11	2007	3	200000	25	8	9	240	1	3
67	14	1	11	2007	3	20000	25			30	1	3
68	15	1	11	2011	3	2000000	9	2	4	999	1	3
69	9	1	11	2011	3	25000	1			240	1	3
70	10	1	11	2007	3	100000	9			700	1	3
72	15	1	11	2007	3	350000	9			999	1	3
73	15	1	11	2007	3	20000	25			365	1	3
75	15	1	11	2007	1	60000	8	24		999	1	3
76	15	1	11	2007	1	30000	8	24		999	1	3
77	15	1	11	2007	1	70000	8	24		130	1	3
78	15	1	11	2007	1	30000	8	9		999	1	3
85	4	1	4	2010	1	48000	24	25		180	1	3
94	3	1	6	2009	2	6500	9			360	1	3
95	3	1	11	2009	2	40000	1			60	1	3
98	3	1	8	2008	2	120000	8	11	13	999	1	3
98	4	1	6	2009	2	20000	8	11	13	999	2	3
99	4	1	8	2010	1	80000	6			90	1	3
99	15	1	3	2009	1	100000	1			30	2	3
100	15	1	10	2007	2	300000	25			30	1	3
103	4	1	7	2009	1	3000	24			30	1	2
104	3	1	5	2009	1	8000	7			30	2	2
104	4	1	5	2009	1	5000	7			30	1	2
106	4	1	5	2011	1	2000	1			30	1	2
109	4	1	5	2011	1	20000	4			999	1	2
113	4	3	3	2007	1	15000	24	9		999	1	2
114	4	1	11	2006	1	40000	2			60	1	2
115	4	1	7	2011	1	2500	1			25	1	2
116	4	3	4	2011	1	12000	24			999	1	2
117	4	1	8	2007	2	8000	1			60	1	2
118	3	1	5	2009	1	130000	3			999	2	2
118	4	1	5	2009	1	35000	3			999	1	2
119	8	1	7	2007	1		2			160	1	2
121	1	1	12	2008	1		4	12		999	1	2
121	15	1	11	2007	1	100000	4			999	2	2
122	4	2	7	2011	2	6000	1			70	2	2
122	9	1	11	2007	2	12000	1			120	3	2
122	15	1	11	2007	1	100000	1			300	1	2
123	15	1	11	2007	1	50000	8			999	1	2
124	15	1	11	2007	1	50000	24			180	1	2
125	15	1	11	2007	1	7000	1			200	1	2
126	15	1	11	2007	1	25000	1			200	1	2
128	3	1	8	2009	2	200000	8	9		999	1	2
128	4	1	8	2009	2	150000	8	9		999	2	2
128	15	1	11	2007	3	100000	8	9		365	3	2
128	26	1	10	2009	2	40000	9	8		999		2
128	27	1	10	2009	2	50000	9	8		999		2
129	4	1	6	2007	2	24000	9			120	1	2
129	15	1	11	2007	2	50000	1			200	2	2
130	3	1	5	2008	1	13000	8			60	2	2
130	15	1	11	2007	1	15000	8			999	1	2
131	15	1	11	2007	1	50000	8			999	1	2
132	4	1	10	2011	1	40000	24			999	1	2
132	12	1	11	2007	1	20000	24			999	3	2
132	15	1	11	2007	1	30000	24	10		999	2	2
133	4	1	1	2010	1	8800	24			120	2	2
133	15	1	11	2007	1	60000	1			999	1	2
134	15	1	11	2007	1	75000	8			999	2	2
134	26	1	8	2011	1	80000	2			999	1	2
134	27	1	8	2011	1	80000	2			999	1	2
136	3	1	6	2009	1	8000	24			60	3	2
136	4	1	6	2009	1	30000	24			60	2	2
136	15	1	11	2007	1	150000	6	21	24	360	1	2
137	4	1	6	2010	1	35000	9			280	1	2
137	15	1	11	2007	1	50000	1			120	2	2
138	15	2	11	2007	1	45000	8			180	1	2
139	4	5	5	2011	1	1000	1			999	2	2
139	15	1	11	2007	1	15000	1			999	1	2
140	4	2	10	2011	1	5200	24			999	2	2
140	15	1	11	2007	1	40000	1			120	1	2
142	4	4	6	2011	1	12000	9			999	1	3
142	15	1	11	2007	1	35000	1			120	2	3
143	15	1	11	2007	1	100000	3			180	1	3
145	4	1	12	2008	1	35000	8			999	2	3
145	15	1	11	2007	2	50000	8			999	1	3
147	15	1	11	2006	1	40000	1			30	1	3
148	15	1	11	2007	1	25000	9			120	1	3
149	15	1	11	2007	1	20000	9			365	1	3
150	15	1	11	2007	1	10000	1			999	1	3
151	4	2	11	2010	1	12000	9			60	2	3
151	27	4	10	2010	1	30000	8	9		999	1	3
152	4	1	10	2011	1	12000	1			40	2	3
152	15	1	11	2007	1	100000	1			120	1	3
155	15	1	11	2007	2	70000	8			999	1	3
156	15	1	11	2007	2	50000	1			30	1	3
157	15	1	11	2007	3	10000	8			999	2	3
157	27	1	10	2008	1	60000	2			60	1	3
158	15	1	11	2007	1	20000	9			180	1	3
159	21	1	6	2010	1	200000	24			999	1	3
160	4	1	6	2010	1	18000	24			30	1	3
162	12	1	5	2011	1	48000	1			999	1	2
162	32	1	7	2011	1		10			999	2	2
164	1	1	10	2007	1		1			120	1	2
164	3	1	6	2007	1	40000	24			150	3	2
164	4	1	6	2007	1	100000	24			999	2	2
165	3	4	5	2009	1	35000	3			180	2	2
165	4	4	6	2011	1	18000	24			999	1	2
166	4	1	7	2010	1	30000	9			999	1	2
167	4	1	9	2011	1	34000	24			999	1	2
167	32	5	10	2010	1		10	11		999	2	2
168	32	1	4	2009	1		10	11		999	1	2
170	27	2	7	2009	1	150000	2			365	1	2
171	12	1	5	2008	2	20000	1			40	2	2
171	15	1	8	2007	2	50000	1			60	1	2
172	32	1	9	2009	1		10	11		999	1	2
173	4	3	3	2007	1	10000	11			200	1	2
174	4	1	6	2007	1	50000	9			200	1	2
177	32	1	9	2009	1		10			999	1	2
178	12	1	8	2008	1	15000	24			120	1	2
179	3	2	3	2009	1	50000	1			300	2	2
179	4	1	3	2009	1	20000	8			999	1	2
180	4	1	7	2009	1	30000	2	24		90	1	2
181	4	1	3	2009	2	200000	1			120	1	2
182	15	1	11	2007	1	120000	3			250	1	2
183	4	1	12	2009	1	30000	24			60	1	2
184	4	1	7	2011	1	2000	8			25	2	2
184	15	1	11	2007	1	20000	8			999	1	2
185	15	1	11	2007	1	500000	1			300	1	2
187	10	1	9	2009	2	50000	24			365	2	2
187	15	1	11	2007	1	70000	1			200	1	2
189	15	1	11	2007	3	20000	1			30	1	2
191	3	2	4	2008	1	40000	1			100	3	2
191	4	2	4	2011	1	10000	9			999	2	2
191	15	1	11	2007	1	500000	1			360	1	2
191	27	1	10	2011	1	4500	9			999		2
193	4	1	5	2008	1	7000	1			60	3	2
193	15	1	11	2007	1	100000	9			180	1	2
193	21	1	1	2010	1	70000	9			999	2	2
196	4	1	8	2011	1	30000	24			999	1	2
196	15	1	11	2007	1	20000	1			30	2	2
198	4	1	12	2011	1	13000	24			20	1	2
199	4	1	4	2008	1	6000	24			999	1	2
200	15	1	11	2007	1	50000	8			730	1	2
201	15	1	3	2009	1	50000	8	9		999	1	3
202	4	3	7	2008	2	50000	24			120	1	3
204	4	1	7	2009	3	36000	8			90	1	3
206	15	1	4	2010	2	200000	1			120	1	3
207	15	1	3	2011	1	100000	1			999	1	3
208	15	1	7	2011	1	25000	1			999	1	3
209	27	1	5	2011	1	20000	24			999	1	3
211	4	1	5	2011	1	20000	24			999	1	3
212	12	1	6	2011	2	2000	1			60	1	3
213	4	1	8	2009	2	20000	1			30	1	3
214	4	1	6	2009	1	30000	24			120	1	3
216	6	1	6	2008	1	100000	14	24		300	1	3
218	3	1	1	2010	2	44000	4			120	2	3
218	15	1	2	2011	1	150000	1			999	1	3
219	12	1	7	2010	1	20000	1			30	1	3
220	4	1	4	2010	1	15000	9			120	1	3
222	32	5	10	2009	1		10	11		999	1	2
223	4	1	4	2008	1	200000	1			999	1	2
227	3	1	4	2011	1	50000	1			999	2	2
227	4	1	4	2011	1	40000	1			999	1	2
228	12	1	10	2011	2	14000	1			999	1	2
228	26	1	12	2010	2	2000	1			30	2	2
228	32	5	7	2009	1		10	11		999	3	2
230	15	1	11	2007	1	25000	9			150	1	2
230	32	1	4	2010	1		10	11		999	2	2
232	32	5	7	2009	1		10	11		999	1	2
238	27	1	8	2008	1	12000	8	24		365	1	2
239	15	5	1	2007	2	20000	1			120	1	2
239	32	1	4	2009	1		10			999	2	2
240	3	1	8	2007	1	120000	9			180	1	2
241	32	1	7	2011	1		11			999	1	2
242	32	3	6	2011	1		11			999	1	2
244	32	1	7	2011	1		11			999	1	2
251	4	1	4	2009	1	20000	24			200	1	2
251	32	1	7	2011	1		10	11		999	2	2
255	32	1	8	2011	1		11			999	1	2
257	32	1	7	2011	1		1			999	1	2
260	4	1	7	2009	2	25000	9	24		120	1	2
263	4	3	10	2010	1	40000	9			999	1	2
264	15	1	11	2007	1	20000	9			120	1	2
265	30	1	9	2011	1		24			999	1	2
267	2	1	10	2011	2		1			999	1	2
270	4	1	6	2008	1	50000	1			120	1	2
272	4	1	11	2008	1	20000	9			300	1	2
276	15	1	11	2007	1	200000	9			120	1	2
278	3	1	4	2008	2	35000	24			999	1	2
278	15	1	11	2007	3	20000	1			150	2	2
280	27	1	7	2008	2	50000	1			120	1	2
282	15	1	11	2007	1	50000	24			90	1	2
283	4	1	11	2010	2	8000	24			120	1	2
284	15	1	11	2007	3	3000	1			120	1	2
285	4	3	6	2011	1	1900	24			60	1	2
286	9	1	9	2010	3	15000	8			999	2	2
286	16	1	9	2010	3	25000	8			999	1	2
287	15	1	5	2009	1	25000	8			999	1	2
288	15	1	7	2008	2	8000	8			90	1	2
289	34	1	8	2010	1	20000	1			999	1	2
290	14	1	6	2009	1	15000	8			999	1	2
291	15	1	11	2007	2	100000	1			100	1	2
292	4	3	7	2010	1	5000	24			999	2	2
292	15	1	11	2007	1	30000	1			190	1	2
293	15	1	9	2009	2	4000	1			60	2	2
293	21	1	6	2011	1	100000	8			999	1	2
294	15	1	8	2008	1	20000	9	24		60	1	2
295	15	1	11	2007	1	30000	8			90	1	2
296	4	1	7	2010	1	21000	8	24		180	1	2
297	4	1	6	2011	1	6000	9			999	1	2
298	18	1	11	2010	1	50000	9			90	2	2
298	34	1	3	2011	1	250000	1			999	1	2
302	4	2	8	2011	1	4000	24			100	1	2
303	12	1	6	2011	2	3000	1			3	1	2
305	4	1	7	2011	1	10000	24			60	1	2
309	4	1	6	2011	1	30000	24			60	1	2
312	4	2	8	2011	1	8000	9	24		999	1	2
313	4	1	6	2008	1	10000	9			150	1	2
314	4	1	9	2011	1	9000	9			999	1	2
317	3	3	8	2011	1	120000	9			999	2	2
317	4	3	3	2011	1	70000	9			999	1	2
318	4	1	9	2008	1	8000	9			80	1	2
318	12	1	7	2009	2	15000	1			30	2	2
319	4	1	6	2011	1	60000	9			999	1	2
320	4	1	1	2011	1	10000	4	24		90	1	2
322	15	1	11	2007	1	150000	1			60	1	2
323	4	3	8	2011	1	6000	24			999	1	2
324	4	2	8	2011	2	5000	1			40	1	2
328	22	1	4	2010	2	50000	1			120	1	2
329	34	1	6	2011	1	100000	1			999	1	2
330	26	1	10	2011	1	30000	8			999	1	2
333	27	1	5	2007	1	100000	24	9		999	1	2
334	21	1	1	2008	1	3000000	2	8	4	999	1	2
338	26	1	9	2011	1	1200	24			999	2	2
338	34	1	10	2010	1	81000	1			200	1	2
343	4	1	4	2010	1	20000	24			120	1	3
348	3	1	4	2009	1	40000	9			999	1	3
354	3	1	10	2011	1	60000	1			999	2	3
354	4	1	9	2011	1	20000	25			999	1	3
355	1	1	3	2009	1		1			999	1	3
355	3	1	11	2011	1	7000	1			999	2	3
362	21	1	9	2008	2	60000	8			60	1	3
363	3	1	11	2010	3	12000	9	8	11	999	1	3
363	4	1	10	2010	3	8000	9	24		999	2	3
364	18	1	7	2010	1	70000	9			999	2	3
364	19	1	7	2010	1	95000	8	24		999	1	3
364	34	1	2	2008	3	45000	24			30	3	3
366	21	1	11	2011	1	42000	1			20	1	3
368	21	1	6	2011	2	600000	8			90	1	3
369	4	1	4	2011	2	10000	8			999	1	3
369	12	1	7	2009	1	17000	10	11		180	2	3
