a01	v1_01	pid	v1_02	v1_03	v1_04	v1_05	v1_06	v1_07	v1_08	v1_09	v1_10	v1_11	v1_12	v1_13	v1_14	sample_type
1	2															2
2	2															2
3	2															2
4	2															2
5	2															2
6	2															2
7	2															2
8	1	81	3	1	11	17	1	33	81	1	29		2	8	2	2
9	2															2
10	2															2
11	2															2
12	2															2
13	2															2
14	2															2
15	2															2
16	2															2
17	2															2
18	2															2
19	2															2
20	2															2
21	2															2
22	2															2
23	2															2
24	2															2
25	2															2
26	2															2
27	2															2
28	2															2
29	2															2
30	2															2
31	1	81	3	0	2	23	1	2	1	1	34		1	1	2	2
31	1	82	3	2	10	20	2	6	82	1	34		3	3	2	2
31	1	83	3	1	10	17	2	2	82	1	29		3	4	2	2
32	2															2
33	2															2
34	1	81	7	3	0	28	1	10	21	2		38	1	3	1	2
35	2															2
36	2															2
37	2															2
38	2															2
39	2															2
40	2															2
41	2															2
42	2															2
43	2															2
44	2															2
45	2															2
46	2															2
47	1	81	2	10	2	25	1	99	11	1	26		1	1	1	2
48	2															2
49	2															2
50	1	81	3	4	2	35	1	5	22	1	18		8	1	1	2
51	2															2
52	2															2
53	1	81	3	1	11	9	1	3	81	1	24		2	1	2	2
54	2															2
55	2															2
56	1	81	3	1	2	18	2	8	13	1	1		1	1	1	2
57	2															2
58	1	81	3	5	4	30	1	5	13	1	1		1	1	1	2
59	1	81	3	2	4	28	1	3	21	1	1		1	1	1	2
59	1	82	3	2	3	25	1	5	13	1	1		1	1	1	2
60	2															2
61	2															3
62	2															3
63	2															3
64	2															3
65	2															3
66	1	81	3	1	1	21	1	5	13	1	1		1	3	1	3
67	2															3
68	2															3
69	2															3
70	2															3
71	2															3
72	2															3
73	2															3
74	2															3
75	2															3
76	2															3
77	1	81	3	4	2	30	1	15	13	1	1		1	1	1	3
78	2															3
79	2															3
80	1	81	3	3	8	24	1	10	13	1	1		1	1	1	3
81	2															3
82	2															3
83	2															3
84	2															3
85	2															3
86	2															3
87	2															3
88	1	81	2	0	6	25	1	5	11	1	18		1	1	1	3
89	2															3
90	1	81	3	0	9	19	1	9	24	2		38	1	3	2	3
91	2															3
92	2															3
93	2															3
94	2															3
95	2															3
96	2															3
97	2															3
98	2															3
99	2															3
100	2															3
101	2															2
102	2															2
103	2															2
104	2															2
105	2															2
