a01	mid	mem_stat	b1_01	b1_02	b1_03	b1_04	b1_04a	b1_04b	b1_05	b1_06	b1_07	b1_08	b1_08a	b1_09	b1_10	b1_11	b1_12	b1_13a	b1_13b	date	order	flag_m_a	FTF_vill
1.0	1	0	1	57	1	2	20	25	2		1	99			65	1	1	4			11057		
1.0	2	0	2	50	2	2	13	18	2		2	99			70	1	1	7			11058		
1.0	3	11																			11059		
1.0	4	0	1	18	3	1			2		4	10	1	1	81			18			11060		
2.0	1	0	1	51	1	2	20	24	2		1	99			1	1	1	1			11062		
2.0	2	0	2	45	2	2	14	18	2		4	5	1	2	21	1	2	3			11063		
2.0	3	0	1	21	3	1			2		4	12	5	1	81			3			11064		
3.0	1	0	1	48	1	2	21	23	2		4	8	1	2	52	2	5	12			11066		
3.0	2	0	2	41	2	2	14	16	2		4	3	1	2	69	1	1	7			11067		
3.0	3	0	1	23	3	2	20	22	2		4	4	1	2	64	1	1	4			11068		
3.0	4	0	2	21	4	2	18	20	2		4	8	1	2	82			18			11069		
4.0	1	0	1	33	1	1			2		1	99			64	1	1	4	7		11071		
4.0	2	0	1	31	7	2	30	99	2		1	99			64	1	1	4	7		11072		
4.0	3	11																			11073		
4.0	4	0	2	68	6	3	15	25	2		1	99			83			18			11074		
4.0	5	2	2	20	11	2	19	99	2		4	7	8	2	82			7			11075		
5.0	1	0	1	56	1	2	24	28	2		4	14	1	2	68	1	1	5			11077		
5.0	2	0	2	48	2	2	16	20	2		4	9	1	2	70	1	1	7			11078		
5.0	3	0	2	20	3	1			2		4	12	8	1	81			18			11079		
5.0	4	0	1	19	3	1			2		4	12	1	1	81			18			11080		
6.0	1	0	1	45	1	2	30	32	2		2	99			22	1	3	8			11082		
6.0	2	0	2	28	2	2	13	15	2		4	4	1	2	69	1	1	7			11083		
6.0	3	0	1	13	3	1			2		4	6	8	1	81			18			11084		
6.0	4	0	1	10	3	1			2		4	3	1	1	81			18			11085		
6.0	5	0	1	3	3	1			2		1	99			84			18			11086		
6.0	6	5	1	10	3	1			2		4	3	1	1	81			18			11087		
7.0	1	0	1	36	1	2	31	32	2		4	10	1	2	68	1	1	5	4		13031		
7.0	2	0	2	24	2	2	19	20	2		4	12	8	2	82			7			13032		
7.0	3	0	1	3	3	1			2		1	99			84			18			13033		
7.0	4	5	1	26	15	2	19	20	2		1	99			15	1	1	18			13034		
8.0	1	0	1	63	1	2	30	33	2		4	10	1	2	68	1	1	5			13036		
8.0	2	0	2	51	2	2	18	21	2		4	12	1	2	82			7			13037		
8.0	3	0	2	12	3	1			2		4	6	1	1	81			18			13038		
8.0	4	0	2	53	11	1			2		1	99			82			18			13039		
9.0	1	0	1	43	1	2	27	29	2		4	8	1	2	65	1	1	1			13041		
9.0	2	0	2	33	2	2	17	19	2		4	8	1	2	24	1	1	7			13042		
9.0	3	0	2	14	3	1			2		4	7	5	1	81			18			13043		
9.0	4	0	1	8	3	1			2		4	2	5	1	81			18			13044		
9.0	5	12																			13045		
10.1	1	0	1	81	6	2	31	33	2		1	99			83			18			13047		
10.1	2	10																			13048		
10.1	3	4	1	42	1	2	21	22	2		4	10	1	2	1	1	1	1	4		13049		
10.1	4	4	2	35	2	2	14	15	2		4	6	8	2	69	1	1	7			13050		
10.1	5	4	2	17	3	1			2		4	10	9	1	81			18			13051		
10.1	6	4	1	14	3	1			2		4	6	8	1	81			18			13052		
10.1	7	4	1	6	3	1			2		1	99			84			18			13053		
10.2	1	10																			13055		
10.2	2	0	2	63	6	2	13	15	2		1	99			85			18			13056		
10.2	3	4	1	47	1	2	20	22	2		4	7	1	2	64	1	1	4	5		13057		
10.2	4	4	2	42	2	2	15	17	2		2	3	1	2	69	1	1	7			13058		
11.0	1	0	1	58	1	2	28	30	2		2	99			64	1	1	4			10608		
11.0	2	0	2	43	2	2	13	15	2		1	99			82			7			10609		
11.0	3	0	1	28	3	2	27	99	2		4	4	1	2	22	1	1	8			10610		
11.0	4	0	1	19	3	1			2		4	4	1	2	22	1	1	8			10611		
11.0	5	0	2	13	3	1			2		4	6	8	1	81			18			10612		
