a01	hh_type	mid	b2_01	b2_02	b2_03	b2_04	b2_05	b2_06a	b2_06b	b2_07	b2_08	b2_08a	b2_08b	b2_08c	b2_08d	b2_09	b2_10	b2_11	b2_12a	b2_12b	b2_13	b2_14	flag_b2
1	3	4	1		2003	66	9	2	20	1	1	2	0	1	600	1	11	2	1		9999		
2	3	3	1		2000	66	9	12	50	1	1	2	100	1	500	1	14	2	5		9999		
3	3	4	1		2000	66	2	0.5	10	2	2								1		2009	21	
3	3	3	1		1998	66	1	0.5	10	2	2								1		2003	9	
4	3	5	1		2001	66	2	1	20	2	2								8		2009	9	
5	3	3	1		2001	66	9	6	45	1	1	2	20	1	300	8	13	2	8		9999		
5	3	4	1		2002	66	9	6	45	1	1	2	20	1	300	1	13	2	1		9999		
6	3	6	1		2011	1	1	0.5	15	1	1	1	0	1	250	1	4	1	1		9999		
6	3	3	1		2008	1	2	0.5	15	1	1	2	0	2		8	7	1	8		9999		
6	3	4	1		2011	1	1	0.5	15	1	1	1	0	1	250	1	4	1	1		9999		
7	3	2	1		1997	1	9	3	30	2	2								8		2009	21	
8	3	3	1		2009	1	2	0.3	10	1	1	2	0	1	2000	1	7	2	1		9999		
9	3	4	1		2012	66	1	0.5	10	1	1	1	0	1	200	5	3	2	5		9999		
9	3	3	1		2007	66	2	0.5	10	1	1	2	40	1	900	1	8	2	5		9999		
10.1	3	7	2	1																			
10.1	3	6	1		2008	66	7	2	20	1	1	2	0	1	600	8	7	2	8		9999		
10.1	3	5	1		2004	1	9	3	60	1	1	2	0	1	600	9	11	2	8	9	9999		
10.2	3	99																					
11	3	6	1		2006	66	2	1	20	1	2								8	5	2014	21	
11	3	4	1		2002	66	1	0.25	5	2	2								1		2007	6	
11	3	5	1		2008	66	2	0.25	5	1	1	2	0	1	500	8	7	2	5	8	9999		
12	3	3	1		2015	66	1	0.5	10	2	1	1	0	1	100	1	66	9					
12	3	2	1		1996	66	2	0.5	10	2	2								5	8	2006	21	
13	3	3	1		2010	66	1	1	15	1	1	1	0	1	200	1	5	2	1		9999		
14	3	11	1		1999	1	9	6	45	1	1	2	800	2		1	74	2	8	9	9999		
14	3	5	1		2005	66	2	0.5	10	1	1	2	0	1	600	1	10	2	1		9999		
14	3	9	1		2015	66	12	2	30	2	1	2	200	2		1	66	9					
14	3	6	1		2012	1	1	0.5	10	1	1	1	0	1	200	5	4	2	5		9999		
15	3	3	1		2006	1	2	0.5	10	1	1	2	22	1	900	1	10	2	1		9999		
16.1	3	3	1		2007	66	2	0.5	10	1	1	2	50	1	600	1	8	2	1		9999		
16.2	3	5	1		1998	66	2	1	15	2	2								8		2008	9	
17	3	4	1		2005	66	2	1	15	1	1	2	0	1	600	8	10	2	8		9999		
18.1	3	7	1		2008	1	1	0.5	15	2	2								1		2010	12	
18.1	3	5	1		2000	2	2	2	30	2	2								8		2008	21	
18.2	3	7	1		1999	1	9	3	45	2	2								8		2011	6	
19	3	99																					
20	3	2	1		1998	66	2	2	30	2	2								1		2007	6	
20	3	3	1		2012	66	1	1	20	1	1	1	0	1	550	5	3	2	5		9999		
22	2	2	1		2010	66	1	1	20	1	1	1	0	1	300	5	5	2	5	6	9999		
22	2	3	1		2013	66	1	1	20	1	1	1	0	2		5	2	2	5	6	9999		
23	2	3	1		2002	66	1	0.5	10	2	2								5		2007	12	
23	2	4	1		2006	66	1	0.5	10	2	2								5		2011	9	
24	2	3	1		1999	66	1	0.5	10	2	2								1		2004	9	
24	2	4	1		2005	66	1	0.5	10	2	2								5		2010	6	
25	2	99																					
26	2	3	1		2011	66	1	0.5	10	1	1	1	0	1	200	5	3	2	5	6	9999		
27	2	99																					
28	2	5	1		2013	1	2	1	15	1	1	2	0	2		1	2	1	1		9999		
28	2	4	1		2010	1	2	1	15	1	1	2	0	1	300	1	6	2	1		9999		
29	2	6	1		2013	66	1	1	20	1	1	1	0	2		6	2	2	6		9999		
29	2	3	1		2015	66	1	1	20	2	1	1	0	2		6	66	9					
30.1	2	3	1		2008	66	2	0.25	5	1	1	2	32	1	500	1	7	2	5		9999		
30.2	2	99																					
31	2	3	1		2006	66	2	1.5	25	2	2								5		2013	9	
32	2	4	1		1999	66	1	1	15	2	2								1		2005	9	
32	2	3	1		1996	66	2	2	30	2	2								1		2007	12	
33	2	3	1		2007	66	2	2	20	1	1	2	35	1	500	1	8	2	5		9999		
34	2	3	1		2011	66	12	0.5	10	1	1	2	175	1	1000	1	3	2	1		9999		
35	2	99																					
36	2	4	1		2004	66	2	2	20	1	1	2	60	1	400	1	22	2	5		9999		
