a01	hh_type	mid	c01	c02	c03	c04	c05	c06	c07	c08	c09	c10	c11	c12	c13	c14
1	3	2	1				69	3	7	1	3					100
1	3	1	1				70	2	7	1	3					200
1	3	1	1				1	1	6	7	1	250	0	2		7000
1	3	4	1				64	4	3	5	3					1000
2	3	3	1				21	3	7	10	2					6000
2	3	2	1				21	2	7	6	2					2000
2	3	1	1				1	1	4	7	1	300	0	2		5000
3	3	4	8													
3	3	2	1				69	2	7	1	3					100
3	3	3	1				64	3	5	3	3					10000
3	3	1	1				52	1	6	3	3					12000
4	3	5	2				69	8	7	1	4					
4	3	2	1				67	7	2	1	3					200
4	3	2	1				70	6	7	1	3					2000
4	3	4	7													
4	3	2	1				69	5	7	1	3					2000
4	3	1	2				69	2	7	1	4					
4	3	1	2				70	3	7	1	4					
4	3	1	1				64	1	7	4	3					6000
4	3	2	2				64	4	7	2	4					
5	3	2	2				70	3	7	1	4					
5	3	1	1				70	1	7	1	3					800
5	3	4	5													
5	3	3	5													
5	3	1	1				68	2	4	3	3					10420
6	3	4	1				67	4	3	2	3					100
6	3	1	1				1	1	5	8	1	300	0	2		2000
6	3	3	5													
6	3	6	2				67	5	3	2	4					
6	3	2	1				69	3	7	1	3					30
6	3	1	1				72	2	7	5	3					15000
7	3	1	1				68	1	7	3	3					50000
7	3	1	1				70	2	7	1	3					2000
7	3	4	8													
7	3	2	1				69	3	7	1	3					100
8	3	2	1				69	3	7	1	3					300
8	3	3	5													
8	3	4	8													
8	3	1	1				66	2	7	1	3					500
8	3	1	1				68	1	7	2	3					1500
9	3	3	5													
9	3	4	5													
9	3	2	1				69	4	7	1	3					20
9	3	2	1				24	3	7	4	3					700
9	3	1	1				65	1	4	8	3					200
9	3	1	1				1	2	3	7	1	250	0	2		3120
10.1	3	3	1				1	1	7	7	1	300	0	2		9000
10.1	3	6	5													
10.1	3	1	7													
10.1	3	4	1				69	3	7	1	3					20
10.1	3	4	1				72	2	6	3	3					100
10.1	3	5	5													
10.1	3	7	5													
10.2	3	3	1				64	1	7	3	3					6000
10.2	3	3	1				68	2	7	4	3					3000
10.2	3	2	7													
10.2	3	4	1				69	3	7	1	3					100
11	3	2	1				69	4	7	1	3					0
11	3	4	1				22	7	6	8	3					6500
11	3	1	1				70	3	7	1	3					1000
11	3	3	1				22	6	6	8	3					7800
11	3	6	8													
11	3	1	1				1	2	2	8	1	300	0	2		2400
11	3	1	1				64	1	7	6	3					6000
11	3	2	2				70	5	7	1	4					
11	3	5	5													
12	3	2	1				69	3	7	1	3					200
12	3	3	5													
12	3	2	1				70	4	7	1	3					2000
12	3	1	1				64	2	4	1	3					3000
12	3	4	2				69	5	4	1	4					
12	3	1	1				1	1	4	7	1	300	10	2		5000
13	3	5	2				69	6	7	1	4					
13	3	1	1				1	1	5	7	1	300	0	2		7000
13	3	1	1				70	2	7	1	3					2000
13	3	2	1				69	3	7	1	3					50
13	3	2	2				70	4	7	1	4					
13	3	3	5													
13	3	2	1				24	5	7	3	3					600
14	3	6	5													
14	3	7	1				68	4	5	4	3					10000
14	3	2	1				69	2	7	1	3					100
14	3	4	1				70	3	7	1	3					500
14	3	10	2				68	6	6	3	4					
14	3	1	1				64	1	1	3	3					6000
14	3	11	5													
14	3	8	2				70	5	7	1	4					
14	3	5	5													
15	3	1	1				64	1	7	8	3					3458
15	3	2	1				69	3	7	1	3					400
15	3	3	5													
15	3	2	2				70	4	7	1	4					
15	3	1	1				70	2	7	2	3					1200
16.1	3	3	5													
16.1	3	6	7													
16.1	3	1	1				68	1	3	3	3					8000
16.1	3	8	2				69	4	7	1	4					
16.1	3	1	1				64	2	4	3	3					4000
16.1	3	2	1				69	3	7	1	3					2000
16.2	3	7	7													
16.2	3	5	2				70	4	7	1	4					
16.2	3	4	1				70	3	7	1	3					300
16.2	3	5	1				69	5	7	1	3					50
16.2	3	4	1				68	2	7	5	3					8333
16.2	3	4	1				64	1	7	3	3					5000
17	3	2	1				69	3	7	1	3					50
17	3	1	1				1	1	2	8	1	300	0	2		2400
17	3	1	1				67	2	1	3	3					300
