a01	hh_type	e01	e02	e03	mid	e04	e08	e05	e06	e07
1	3	1	1	1	1	2	15	15	1200	3
2	3	1	1	1	2	2	2	13	875	2
3	3	1	1	1	2	2	1	9	8580	2
4	3	1	1	1	2	8		11	35000	6
5	3	1	2							
6	3	1	1	1	1	9		15	5000	7
7	3	1	1	1	1	4		11	400000	7
8	3	1	1	2	1	3		15	150000	3
8	3	1	1	3	2	3		15	1000	3
8	3	1	1	5	2	8		11	27180	3
8	3	1	1	1	1	4		15	600000	7
8	3	1	1	4	3	3		15	1000	3
9	3	1	2							
10.1	3	1	1	1	4	2	46	9	972	2
10.2	3	1	2							
11	3	1	2							
12	3	1	1	1	4	3		9	6834	2
13	3	2	2							
14	3	1	2							
15	3	1	1	1	2	2	46	10	35000	2
16.1	3	1	1	1	1	4		8	20000	7
16.2	3	1	1	1	4	4		15	30000	7
17	3	1	1	2	2	2	20	9	250	2
17	3	1	1	3	4	8		11	6000	3
17	3	1	1	1	2	2	2	9	1600	2
18.1	3	1	1	2	4	9		16	50000	7
18.1	3	1	1	1	4	2	1	16	13000	3
18.2	3	1	2							
19	3	1	1	1	1	9		15	200	7
20	3	1	1	1	2	2	1	2	1150	3
22	2	1	2							
23	2	1	1	1	2	3		9	2000	2
24	2	1	1	1	1	3		9	1500	2
25	2	1	1	1	3	8		15	21000	3
26	2	1	1	1	2	2	46	9	22000	2
26	2	1	1	2	2	2	2	4	18000	2
26	2	1	1	3	2	3		4	2000	2
27	2	1	1	1	2	3		9	12000	2
28	2	1	2							
29	2	1	1	1	2	3		15	75000	3
30.1	2	1	1	1	1	3		9	180	1
30.2	2	1	1	1	5	3		15	18410	2
31	2	1	1	1	3	2	2	5	15000	3
32	2	1	1	2	2	2	14	11	400	2
32	2	1	1	3	4	2	14	11	7000	2
32	2	1	1	1	3	10		11	7000	2
32	2	1	1	4	4	2	36	11	5000	2
33	2	1	2							
34	2	1	1	1	1	4		15	50000	7
34	2	1	1	2	1	3		15	8000	2
35	2	1	1	1	3	2	18	9	4000	2
36	2	1	2							
37	2	1	1	1	2	2	18	9	300	3
38	2	1	2							
39	2	1	1	2	1	4		11	100000	7
39	2	1	1	1	1	11		11	30000	7
41	2	1	2							
42	2	1	1	1	2	2	1	9	11000	2
43	2	1	2							
44	2	1	2							
45	2	1	2							
46	2	1	1	2	2	3		9	8000	2
46	2	1	1	1	2	2	46	9	4000	2
47	2	1	1	1	1	2	1	9	750	2
48	2	2	2							
49	2	1	1	2	4	2	48	9	150	2
49	2	1	1	1	2	2	48	9	150	2
50	2	1	2							
51	2	1	1	1	1	4		15	15000	7
52	2	1	2							
53	2	1	2							
54	2	1	1	1	1	4		15	200000	3
56	2	1	1	1	1	11		15	40000	7
56	2	1	1	2	3	1		15	20000	7
58	2	1	1	1	2	2	2	9	2000	2
59	2	1	2							
60	2	1	1	1	2	3		9	14000	2
61	3	2	2							
62	3	1	1	1	1	9		11	5000	7
63	3	1	1	1	1	3		7	4000	2
66	3	2	2							
67	3	1	1	1	2	2	46	7	5000	2
68	3	2	2							
69	3	2	2							
70	3	1	1	1	1	2	48	4	30000	2
71	3	1	1	1	4	2	37	9	5000	2
72	3	1	1	1	1	8		13	24775	6
74	3	1	1	1	1	4		13	50000	7
75	3	1	1	1	2	4		11	1500	3
76	3	2	2							
77	3	1	1	1	1	4		11	20000	7
77	3	1	1	2	1	2	46	13	10000	2
78	3	1	1	1	2	2	1	11	5500	2
78	3	1	1	2	2	2	20	11	700	2
79	3	1	1	1	2	4		11	60000	3
80	3	2	2							
