a01	hh_type	plotid	g01	g02_1	g02	g20	g03	g04	g05	g06	g07	g08a	g08b	g08c	g09a	g09b	g09c	g10	g11	g12	g13a	g13b	g13c	g14	g15a	g15b	g15c	g16a	g16b	g16c	g17a	g17b	g17c	g18a	g18b	g18c	g19a	g19b	g19c	flag_g
1	3	1	1	10	10	0	0	0	4	1		1			72			200000	3	2000	1			4																4
1	3	2	2	5	0	3																																		3
1	3	3	2	52	52	0	300	1	4	3	833	72			72			550000	6	2009	1			1	1			1			1			1			1			0
1	3	4	12	0	7	7	500	0	4	3	200	72			72			40000	6	2014	72			1	1			1			1			1			1			1
2	3	1	1	10	10	0	0	0	4	1		1			1			100000	3	1982	1			4																4
3	3	1	1	3	3	0	0	0	4	1		1			1			50000	3	2008	1			4																4
3	3	2	2	78	78	0	1000	0	4	2		1			1			450000	3	2008	3			1	3			3			3			3			3			0
3	3	3	2	82	0	3																																		3
3	3	4	4	2	2	0	10	0	4	1		1			1			25000	3	2008	1			5																4
3	3	5	12	5	5	0	500	0	4	6	600	1			1			45000	3	2008	72			9																4
4	3	1	1	7	7	0	0	0	4	1		1	2		1	2		100000	3	1997	1	2		4																4
4	3	2	2	32	32	0	0	0	4	2		1	2		1	2		400000	3	1997	1	2		1	1			1			1			1			1			0
4	3	3	4	13	13	0	0	0	4	1		1	2		1	2		200000	3	1997	1	2		5																4
4	3	4	2	15	0	3																																		3
4	3	5	2	62	0	3																																		3
4	3	6	4	10	10	0	200	0	4	1		1	2		1	2		150000	3	1997	1	2		5																4
4	3	7	2	5	0	3																																		3
5	3	1	1	15	15	0	0	0	4	1		1			1			180000	3	1980	1			4																4
5	3	2	2	208	208	0	200	2	4	2		1			1			200000	3	1980	1			1	1			1			1			1			1			0
5	3	3	2	20	20	0	200	0	4	2		1			1			160000	3	1980	1			1	1			1			1			1			1			0
5	3	4	2	188	188	0	1200	2	4	6	383	1			1			1520000	3	1980	72			9																4
5	3	5	2	75	75	0	1000	0	4	6	666	1			1			500000	3	1980	72			9																4
5	3	6	2	140	140	0	800	1	4	6	2499	1			1			800000	3	1980	72			9																4
5	3	7	2	35	35	0	600	2	4	6	250	1			1			190000	3	1980	72			9																4
5	3	8	2	18	18	0	900	2	4	6	166	1			1			110000	3	1980	72			9																4
5	3	9	8	18	18	0	20	2	4	2		1			1			128000	3	1980	1			2	1			1			1			1			1			1
6	3	1	1	13	13	0	0	0	4	1		1			1			150000	3	2000	1			4																4
6	3	2	2	52	52	0	500	2	4	6	1250	1			1			500000	3	2000	72			9																4
6	3	3	2	13	13	0	700	2	4	6	165	1			1			100000	3	2000	72			9																4
6	3	4	8	8	8	0	100	3	4	12		1	72		1	72		80000	3	2000	1	72		2	1	72		1	72		1	72		1	72		1	72		1
7	3	1	1	13	13	0	0	0	4	1		1			72			700000	3	2008	1			4																4
7	3	2	2	125	25	10	500	0	4	2		1			1			6000000	1	2006	1			1	1			1			1			1			1			0
7	3	3	8	200	418	10	1500	4	1	3	5000	1			72			2000000	3	2008	1			2	1			1			1			1			1			1
7	3	4	2	63	63	0	500	4	1	6	1667	1			72			1000000	3	2008	72			9																4
7	3	5	8	25	25	0	100	8	1	12		1	72		72			300000	3	2008	1	72		2	1			1			1			1			1			1
8	3	1	1	10	10	0	0	0	4	1		1			1			120000	3	1980	1			4																4
8	3	2	2	346	346	0	2000	4	4	6	11667	1			1			3000000	1	1991	72			9																4
8	3	3	2	52	52	0	200	4	5	6	2500	1			1			500000	1	1988	72			9																4
8	3	4	2	52	52	0	200	4	5	6	1667	1			1			450000	1	1991	72			9																4
8	3	5	8	50	88	5	100	3	5	2		1			1			300000	1	2010	1			2	1			1			1			1			1			1
8	3	6	4	80	80	0	500	0	4	1		1			1			600000	1	1981	1			5																4
9	3	1	1	13	13	0	0	0	4	1		1			1	72		160000	3	2011	1			4																4
9	3	2	2	25	0	3																																		3
9	3	3	2	0	24	7	1000	0	4	3	833	1			72			200000	6	2013	1			1	1			1			1			1			1			0
10.1	3	1	1	5	22	8	0	0	4	1		3			1			450000	3	2014	1	3		4																4
10.1	3	2	2	104	104	0	3000	4	4	6	3330	1			1			1000000	3	2014	72			9																4
10.1	3	3	2	38	0	3																																		3
10.1	3	4	8	50	0	3																																		3
10.1	3	5	8	13	0	2																																		3
10.1	3	6	8	3	3	0	100	3	4	2		1			1			50000	3	2014	1			2	1			1			1			1			1			1
10.1	3	7	2	6	0	2																																		3
10.1	3	8	2	0	32	8	1000	0	4	2		3			1			480000	3	2007	3			1	3			3			3			3			3			0
10.1	3	9	2	0	32	8	1000	0	4	3	165	72			1			480000	3	2007	3			1	3			3			3			3			3			0
10.2	3	1	1	5	0	2																																		3
10.2	3	2	2	104	0	2																																		3
10.2	3	3	2	38	0	2																																		3
10.2	3	4	8	50	0	2																																		3
10.2	3	5	8	13	0	2																																		3
10.2	3	6	9	3	0	2																																		3
10.2	3	7	2	6	57	8	1000	3	4	2		3			72			600000	3	2012	3			1	3			3			3			3			3			0
10.2	3	8	1	0	20	8	0	0	4	1		3			72			270000	3	2000	3			4																4
10.2	3	9	2	0	26	8	1000	0	4	2		3			72			250000	3	2001	3			1	3			3			3			3			3			0
10.2	3	10	2	0	45	8	500	2	4	3	1166	72			72			250000	6	2007	3			1	3			3			3			3			3			0
11	3	1	1	16	16	0	0	0	4	1		1			72			200000	3	1991	1			4																4
11	3	2	2	6	6	0	100	1	4	2		1			72			130000	3	1991	1			1	1			1			1			1			1			0
11	3	3	2	5	5	0	100	1	4	2		1			72			130000	3	1991	1			1	1			1			1			1			1			0
11	3	4	8	6	6	0	60	4	4	12		1	72		72			120000	3	1991	1			2	1			1			1			1			1			1
12	3	1	1	8	8	0	0	0	4	1		1			72			90000	3	1988	1			4																4
12	3	2	2	3	3	0	50	0	4	2		1			72			35000	3	1988	1			1	1			1			1			1			1			0
12	3	3	9	4	4	0	30	3	4	1		1	72		72			45000	3	1988	1	72		7																4
12	3	4	2	0	12.5	7	700	3	4	4		72			72			120000	6	2014	1			1	1			1			1			1			1			0
13	3	1	1	2	2	0	0	0	4	1		1			1			45000	3	2001	1			4																4
13	3	2	2	78	0	3																																		3
13	3	3	2	3	0	3																																		3
13	3	4	1	0	10	5	0	0	2	1		1			1			240000	1	2012	1			4																4
14	3	1	1	15	15	0	0	0	4	1		1			1			150000	1	2011	1			4																4
14	3	2	2	10	10	0	300	0	4	2		1			1			100000	1	1981	1			1	1			1			1			1			1			0
