a01	hh_type	j1	j1_01	j1_02a	j1_02b	j1_02c	j1_03a	j1_03b	j1_03c	j1_03d	j1_03e	j1_03f	j1_03g	j1_03h	j1_03i	j1_03j	j1_03k	j1_03l	j1_03m	j1_03n	j1_03o	j1_03p	j1_04	j1_4a_1	j1_4a_2	j1_4a_3	j1_5a	j1_5b	j1_5c	j1_06a	j1_06b	j1_06c	j1_06d	j1_06e	j1_06f	j1_06g	j1_06h	j1_06i	j1_06j	j1_06k	j1_06l	j1_06m	j1_06n	j1_06o	j1_06p	j1_07
1	3	1	1	2	0	0	1	1	2		2		1	1	1	1	2		1	1	2		2																							
2	3	2																																												
3	3	1	1	2	0	0	1	1	2		2		1	1	1	1	2		2		2		2																							
4	3	1	2																				2																							1
5	3	1	1	2	0	0	1	1	2		2		1	1	1	1	2		2		2		2																							
6	3	2																																												
7	3	1	2																				2																							1
8	3	2																																												
9	3	1	2																				1	1			3	0	0	2		2		2		1	2	1	2	2		2		2		
10.1	3	1	1	1	0	0	1	2	2		2		2		1	2	2		2		2		2																							
10.2	3	1	2																				2																							1
11	3	1	2																				2																							2
12	3	1	2																				2																							1
13	3	2																																												
14	3	1	1	2	0	0	1	2	2		2		1	2	2		2		2		2		1	7			1	0	0	1	1	2		2		1	1	1	1	1	1	2		2		
15	3	1	2																				2																							1
16.1	3	1	1	2	0	0	1	1	1	2	2		2		2		2		2		2		2																							
16.2	3	1	2																				2																							1
17	3	2																																												
18.1	3	1	1	2	0	0	1	1	2		2		1	1	1	1	2		2		2		2																							
18.2	3	1	2																				1	3			1	0	0	2		2		2		2		1	2	1	2	2		2		
19	3	2																																												
20	3	1	2																				2																							1
22	2	2																																												
23	2	2																																												
24	2	2																																												
25	2	1	2																				2																							1
26	2	2																																												
27	2	1	2																				2																							1
28	2	1	2																				2																							2
29	2	2																																												
30.1	2	2																																												
30.2	2	2																																												
31	2	2																																												
32	2	2																																												
33	2	1	2																				2																							1
34	2	2																																												
35	2	2																																												
36	2	1	2																				2																							5
37	2	1	2																				2																							1
38	2	1	2																				2																							1
39	2	1	2																				2																							1
41	2	1	2																				2																							1
42	2	1	2																				2																							2
43	2	1	2																				2																							1
44	2	2																																												
45	2	1	2																				2																							4
46	2	1	2																				2																							4
47	2	2																																												
48	2	2																																												
49	2	1	2																				2																							1
50	2	2																																												
51	2	2																																												
52	2	2																																												
53	2	1	2																				2																							1
54	2	2																																												
56	2	1	2																				2																							4
58	2	1	2																				2																							1
59	2	2																																												
60	2	2																																												
61	3	2																																												
62	3	2																																												
63	3	2																																												
66	3	1	2																				2																							1
67	3	2																																												
68	3	2																																												
69	3	1	2																				2																							1
70	3	2																																												
71	3	2																																												
72	3	1	1	3	0	0	2		2		2		1	2	2		1	1	2		2		2																							
74	3	1	2																				2																							2
75	3	1	2																				2																							1
76	3	2																																												
77	3	2																																												
78	3	1	2																				2																							5
79	3	2																																												
80	3	1	2																				1	1			5	0	0	1	1	1	1	2		2		2		2		2		2		
81	3	2																																												
82	3	2																																												
83	3	2																																												
84	3	2																																												
85	3	2																																												
86	3	2																																												
87	3	2																																												
89	3	2																																												
90	3	2																																												
91	3	2																																												
92	3	2																																												
93	3	2																																												
94	3	1	2																				2																							1
95	3	2																																												
96	3	2																																												
97	3	2																																												
98	3	2																																												
99	3	1	1	1	0	0	2		2		2		1	1	1	1	1	2	2		2		1	1			5	0	0	1	2	2		2		1	1	1	1	2		2		2		
100.1	3	2																																												
100.2	3	2																																												
101	3	2																																												
102	3	1	2																				2																							1
103	3	2																																												
104	3	2																																												
105	3	1	1	3	0	0	2		2		2		2		1	1	2		2		2		2																							
106	3	1	2																				2																							1
107	3	2																																												
108	3	1	2																				2																							1
109	3	2																																												
110	3	2																																												
111	3	1	2																				1	1			1	0	0	1	1	1	1	2		1	1	1	1	2		2		2		
112	3	2																																												
113	3	1	2																				2																							1
114	3	2																																												
116	3	2																																												
117	3	2																																												
118	3	1	2																				2																							1
119	3	2																																												
120	3	2																																												
121	2	1	2																				2																							1
122	2	1	1	0	4	4	1	1	1	1	2		1	1	1	1	2		2		2		2																							
123	2	1	1	0	2	0	1	2	1	2	2		2		2		2		2		2		2																							
124	2	1	2																				2																							6
126	2	1	2																				2																							1
127	2	1	2																				2																							1
128	2	1	2																				2																							1
129	2	1	2																				2																							1
130	2	1	2																				2																							1
131	2	1	2																				2																							1
132	2	1	2																				2																							2
134	2	1	2																				1	1			4	0	0	1	1	1	1	2		1	1	1	1	2		2		2		
135	2	2																																												
136	2	1	2																				2																							1
137	2	1	2																				2																							1
139	2	2																																												
140	2	1	2																				2																							1
141	3	2																																												
142	3	1	2																				2																							1
143	3	1	2																				2																							1
144	3	2																																												
145	3	2																																												
146	3	1	2																				2																							1
147	3	1	2																				2																							1
148.1	3	2																																												
148.2	3	1	2																				2																							1
148.3	3	1	2																				2																							1
149	3	1	2																				2																							1
150	3	2																																												
151	3	1	1	0	3	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		2																							
152	3	1	2																				2																							1
153	3	1	1	0	3	0	1	1	1	1	1	1	1	1	2		2		2		2		2																							
154	3	1	2																				2																							1
155	3	1	2																				2																							1
156	3	1	2																				2																							1
157	3	1	2																				2																							1
158	3	2																																												
160	3	2																																												
161	2	1	2																				2																							1
162	2	1	2																				2																							1
163	2	1	1	0	0	0	2		2		2		2		2		2		2		2		2																							
164	2	2																																												
165	2	1	1	1	0	0	1	1	1	1	2		1	2	1	1	1	1	2		2		2																							
166	2	1	1	3	0	0	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2		2																							
167	2	2																																												
168	2	1	2																				2																							1
169	2	1	2																				2																							1
170	2	1	2																				2																							1
171	2	1	2																				2																							2
172	2	1	2																				2																							1
173	2	2																																												
174	2	1	2																				2																							6
175	2	2																																												
176	2	1	2																				2																							1
177	2	2																																												
178	2	1	2																				1	1	3		0	0	0	1	1	1	1	1	2	1	2	1	2	1	1	1	2	1	1	
179	2	1	2																				2																							1
180	2	1	1	0	1	0	1	2	2		2		1	2	1	2	2		2		2		2																							
181	2	1	2																				2																							1
182	2	1	1	1	0	0	1	2	2		2		1	2	2		2		1	2	2		2																							
183	2	2																																												
184	2	2																																												
185	2	2																																												
186	2	2																																												
187	2	1	2																				2																							1
188	2	2																																												
189	2	2																																												
190	2	2																																												
191	2	2																																												
192	2	2																																												
193	2	1	2																				2																							1
194	2	2																																												
195	2	2																																												
196	2	2																																												
197	2	2																																												
198	2	2																																												
199	2	2																																												
200	2	2																																												
201	3	2																																												
202	3	1	2																				2																							1
203	3	2																																												
204	3	1	1	2	0	0	1	2	1	2	2		2		2		1	1	2		2		2																							
205	3	2																																												
206	3	2																																												
207	3	2																																												
208	3	2																																												
209	3	1	2																				2																							1
210	3	2																																												
211	3	2																																												
212	3	2																																												
213	3	2																																												
214	3	2																																												
215.1	3	2																																												
215.2	3	2																																												
216	3	2																																												
218	3	1	2																				2																							1
219	3	1	1	1	0	0	1	2	1	2	2		1	3	1	1	2		1	2	2		2																							
220	3	2																																												
221	2	2																																												
222	2	2																																												
224	2	2																																												
225	2	1	2																				2																							1
226	2	2																																												
227	2	2																																												
228	2	1	2																				2																							4
230	2	2																																												
231	2	2																																												
232	2	1	2																				2																							1
233	2	1	2																				2																							1
234	2	1	2																				2																							1
235	2	2																																												
237	2	2																																												
238	2	2																																												
