a01	hh_type	livestock	k1_01	k1_02a	k1_02b	k1_03a	k1_03b	k1_04	k1_04a	k1_05a	k1_05b	k1_05c	k1_06a	k1_06b	k1_06c	k1_07	k1_08	k1_09	k1_10a	k1_10b	k1_10c	k1_11	k1_12	k1_13	k1_14a	k1_14b	k1_15	k1_16	k1_17	k1_18	k1_19a	k1_19b	k1_19c	k1_20a	k1_20b	k1_20c	k1_21
1	3	61	2	4	410	2	260	2	260	2			2			0	0					0	0	0	2	230	0	0									2
1	3	62	4	0		0		0																													
1	3	63	4	0		0		0																													
1	3	1	3	1	10000	1	15000	1	15000	1			1	2		0	0					0	0	0	0		0	0									
1	3	10	4	0		0		0																													
1	3	51	4	0		0		0																													
1	3	4	4	0		0		0																													
1	3	3	4	0		0		0																													
1	3	8	4	0		0		0																													
1	3	9	4	0		0		0																													
1	3	2	2	1	25000	1	40000	1	40000	1			1	2		0	0					0	0	0	0		0	0									
1	3	5	4	0		0		0																													
2	3	51	4	0		0		0																													
2	3	2	4	0		0		0																													
2	3	4	4	0		0		0																													
2	3	9	4	0		0		0																													
2	3	5	4	0		0		0																													
2	3	61	2	2	210	4	300	0		2			2			2	0					0	0	0	0		0	0									2
2	3	1	4	0		0		0																													
2	3	63	4	0		0		0																													
2	3	10	4	0		0		0																													
2	3	3	4	0		0		0																													
2	3	8	4	0		0		0																													
2	3	62	4	0		0		0																													
3	3	10	4	0		0		0																													
3	3	4	4	0		0		0																													
3	3	5	4	0		0		0																													
3	3	63	4	0		0		0																													
3	3	61	2	1	80	4	550	4	600	2			2			6	0					0	0	0	1	130	2	0									2
3	3	51	4	0		0		0																													
3	3	9	4	0		0		0																													
3	3	3	4	0		0		0																													
3	3	1	4	0		0		0																													
3	3	62	4	0		0		0																													
3	3	8	2	2	140	8	1400	19	2500	2			2			8	0					0	2	0	0		0	0									2
3	3	2	4	0		0		0																													
4	3	10	4	0		0		0																													
4	3	51	4	0		0		0																													
4	3	3	4	0		0		0																													
4	3	63	4	0		0		0																													
4	3	62	2	300	11400	0		550	20900	1	2		1	2		0	2400	4	1	2		0	0	0	200	8000	50	2450	4	245000	1	2	1	1			2
4	3	61	4	0		0		0																													
4	3	5	4	0		0		0																													
4	3	9	4	0		0		0																													
4	3	8	4	0		0		0																													
4	3	2	2	1	25000	2	30000	2	35000	1	2		1	2		1	0					0	0	0	0		0	0									
4	3	1	4	0		0		0																													
4	3	4	4	0		0		0																													
5	3	63	4	0		0		0																													
5	3	3	4	0		0		0																													
5	3	1	2	3	40000	2	16000	2	45000	1			1	2		0	0					0	1	0	0		0	0									
5	3	4	4	0		0		0																													
5	3	2	2	1	22000	1	28000	1	23000	1			1	2		0	0					0	0	0	0		0	0									
5	3	8	4	0		0		0																													
5	3	5	4	0		0		0																													
5	3	62	4	0		0		0																													
5	3	61	4	0		0		0																													
5	3	9	4	0		0		0																													
5	3	51	4	0		0		0																													
5	3	10	4	0		0		0																													
6	3	10	4	0		0		0																													
6	3	8	2	0		5	1200	5	1200	2			2			0	6	1	1	2		0	0	0	0		1	0									2
6	3	9	4	0		0		0																													
6	3	1	4	0		0		0																													
6	3	62	4	0		0		0																													
6	3	4	4	0		0		0																													
6	3	3	4	0		0		0																													
