a01	hh_type	m2_01	m2_02	m2_03	m2_04	m2_05	m2_06	m2_07	m2_08	m2_09	m2_10	m2_11	m2_12	m2_13	m2_14	m2_15	m2_16	m2_17	m2_18	m2_19	m2_20	m2_21
1	3	1	27	12	1	6	1	3	0.6	8	8	1	1		2		1	0	0	1	0.1	2
1	3	2	10	11	2	1	40	2		125	5000	1	1		1	2	3	0.1	15	3	2	2
1	3	3	11	11	2	1	15	2		700	10500	1	1		1	2	3	1	15	3	1	2
2	3	99																				
3	3	1	10	11	2	1	60	2		90	5400	1	1		2		3	1	18	3	1	2
3	3	2	27	6	1	6	700	2		0.5	350	1	1		2		1	0	0	1	1	2
3	3	3	27	12	1	6	2	3	0.65	8	16	1	1		2		1	0	0	1	0.1	2
3	3	4	11	11	2	1	50	2		900	45000	1	1		1	2	3	1	18	3	1.5	2
4	3	1	6	10	5	2	320	2		105	33600	1	1		2		1	0	0	1	1	2
4	3	2	27	11	1	1	2	2		30	60	1	1		2		1	0	0	1	0	2
4	3	3	27	7	2	2	10	2		280	2800	1	1		2		3	0.5	3	3	1	2
4	3	4	27	11	2	2	25	2		200	5000	1	1		2		3	0.5	3	3	1	2
4	3	5	27	5	2	2	25	2		250	6250	1	1		2		1	0	0	1	0	2
5	3	1	27	12	11	1	1	2		40	40	1	1		2		1	0	0	1	0.2	2
5	3	2	27	10	2	1	10	2		60	600	1	1		1	2	1	0	0	1	1	2
5	3	3	10	11	2	1	85	2		125	10625	1	1		2		3	1	18	3	1	2
5	3	4	11	11	2	1	50	2		800	40000	1	1		2		3	1	18	3	1	2
6	3	99																				
7	3	1	10	6	2	2	80	2		200	16000	1	1		2		3	0.3	3	3	1	2
7	3	2	11	6	2	2	40	2		800	32000	1	1		2		3	0.3	3	3	1	2
7	3	3	27	11	2	2	20	2		100	2000	1	1		2		3	0.5	3	3	1	2
7	3	4	27	8	2	2	40	2		200	8000	1	1		2		3	0.3	3	3	1	2
7	3	5	27	7	2	2	100	2		17	1700	1	1		2		3	0.3	3	3	1	2
7	3	6	27	10	1	1	3	2		30	90	1	1		2		1	0	0	1	0	2
8	3	1	27	6	2	1	25	2		200	5000	1	1		2		2	0.3	3	3	1	2
8	3	2	18	1	2	2	20	2		15	300	1	1		2		1	0	0	1	1	2
8	3	3	27	9	10	6	6	3	0.07	12	72	1	1		2		1	0	0	1	0.1	2
8	3	4	6	10	10	6	1	3	0.5	150	150	1	1		2		1	0	0	1	0.2	2
8	3	5	10	7	2	2	40	2		125	5000	1	1		2		3	0.6	5	3	1	2
8	3	6	11	7	2	2	20	2		800	16000	1	1		2		3	0.6	5	3	1	2
9	3	1	27	7	2	2	26	2		92	2400	1	1		2		2	0.5	3	3	1	2
10.1	3	1	6	11	10	6	2	3	1	300	600	1	1		2		1	0	0	1	0.5	2
10.1	3	2	27	11	2	2	40	2		37.5	1500	1	0.5	15	2		6	1	3	3	1	2
10.2	3	1	11	11	2	2	20	2		800	16000	1	1		2		6	1	6	12	1	2
10.2	3	2	10	11	2	2	10	2		150	1500	1	1		2		6	1	6	12	1	2
10.2	3	3	27	11	2	2	30	2		40	1200	1	1		2		6	0.5	3	3	1	2
11	3	1	27	11	2	2	20	2		75	1500	1	1		2		3	1	7	8	1	2
11	3	2	27	10	2	2	20	2		200	4000	1	1		2		3	1	7	8	1	2
11	3	3	27	11	10	1	1	2		40	40	1	1		2		1	0	0	1	0	2
11	3	4	7	7	10	1	1	3	200	40000	40000	1	1		2		2	0.5	3	1	1	2
12	3	1	27	12	2	1	55	2		854	47000	1	1		2		3	35	4	3	1	2
12	3	2	27	12	1	2	1	2		40	40	1	0	7	2		1	0	0	1	0.1	2
12	3	3	27	11	1	6	2	3	0.06	8	16	1	0	3	2		1	0	0	1	0.1	2
12	3	4	27	8	1	6	200	2		2	400	1	1		2		1	0	0	1	0.3	2
13	3	1	7	10	2	1	2	3	116	29000	58000	1	1		2		3	1	4	1	1	2
13	3	2	27	10	2	2	1	2		40	40	1	0	7	2		1	0	0	1	0.2	2
