a01	hh_type	q_01	q_02	q_03	q_04	q_05	q_06	q_07	q_08	q_09	q_10	q_11	q_12	q_13	q_14	q_15	q_16	q_17	q_18	q_19	q_19a	q_19b	q_19c	q_20	q_20a	q_20a_2	q_20b	q_20b_2	q_20c	q_20c_2	q_20d_1	q_20d_2	q_20d_3	q_21
1	3	1	500		20	0	3	5	2	4	1	2	525	1	2	175	6	0	1		3			1	1	4	2		2		6			60
2	3	1	500		15	0	4	5	2	4	1	1	400	1	2	88	9	0	1		3			1	1	3	2		2		6			300
3	3	1	300		12	0	4	3	2	4	1	1	526	1	2	200	5	0	1		3			1	2		1	2	2		6			60
4	3	1	500		17	0	3	3	2	4	1	2	220	1	2	680	5	0	1		3			3	1	1	1	2	1	2	6			400
5	3	1	1000		27	0	1	1	1	1	1	3	900	1	2	329	1		1		3			4	1	1	1	2	1	4	6			200
6	3	1	100		20	0	4	1	2	4	1	1	189	1	2	215	9	0	1		3			0	2		2		2		7			0
7	3	1	1500		3	0	1	1	1	1	1	3	1350	1	2	600	6	150	1		3			2	1	1	1	2	2		6			500
8	3	1	500		20	0	2	2	2	1	1	1	540	1	2	657	5	0	1		3			2	1	1	1	2	2		6			200
9	3	1	500		10	0	2	2	2	4	1	1	220	1	2	110	5	150	1		3			1	1	1	1	1	2		6			200
10.1	3	1	500		17	0	3	1	2	4	2	3	542	1	2	100	9	0	1		3			1	2		1	5	2		6			20
10.2	3	1	100		20	0	4	5	2	4	1	1	210	1	2	105	5	300	1		3			1	1	3	1	3	2		6			150
11	3	1	500		13	0	3	5	2	4	1	2	288	1	2	650	6	0	1		3			1	1	1	2		2		6			100
12	3	1	500		27	0	3	4	2	4	1	1	360	1	2	141	6	0	1		3			2	1	1	1	2	2		6			100
13	3	1	300		3	0	4	2	2	4	1	1	153	2			6	0	4	80	3			2	1	1	1	2	2		6			50
14	3	1	5000		50	0	3	1	2	4	4	5	1650	1	2	235	5	0	1		3			5	1	4	1	7	1	10	6			500
15	3	1	1000		15	0	3	5	2	4	1	2	496	1	2	135	6	100	1		3			1	2		1	2	2		6			600
16.1	3	1	700		25	1	3	1	2	4	1	2	540	1	2	324	5	0	1		3			2	1	1	1	2	2		6			400
16.2	3	1	500		25	1	3	1	2	4	1	2	240	1	2	324	2	0	1		3			2	1	4	1	5	2		6			1000
17	3	1	500		20	0	4	2	2	4	1	1	221	2			5	0	4	105	3			1	2		1	4	2		6			30
18.1	3	1	300		20	0	4	3	2	4	1	2	850	1	3	959	5	0	1		3			3	1	4	1	4	1	5	6			2000
18.2	3	1	1500		3	0	2	1	2	1	1	3	432	1	2	300	5	0	1		3			2	1	3	1	7	2		6			600
19	3	1	100		10	0	3	3	2	1	1	1	150	2			6	200	4	175	3			1	1	1	2		2		6			150
20	3	1	400		17	1	4	2	2	4	1	1	460	1	2	146	9	0	1		3			1	1	1	2		2		6			100
22	2	1	200		20	0	4	2	2	4	1	2	158	1	2	110	9	0	1		3			0	2		2		2		7			0
23	2	1	600		18	0	3	2	2	4	1	2	252	1	2	150	6	0	1		3			2	2		1	3	1	4	6			100
24	2	1	500		20	0	2	2	2	4	1	2	252	2			5	0	4	60	3			2	2		1	4	1	3	6			50
25	2	1	1000		25	1	3	1	2	1	1	3	661	1	2	250	5	0	1		3			1	2		1	3	2		1			150
26	2	1	500		20	2	1	1	2	1	1	2	252	1	2	341	5	0	1		3			1	1	1	2		2		6			40
27	2	1	400		10	1	3	1	2	4	1	1	120	2			6	0	4	80	3			1	1	1	2		2		6			40
28	2	1	500		14	0	4	3	9	4	1	1	288	2			5	0	3	0	3			1	1	1	2		2		6			50
29	2	1	700		12	0	3	5	2	4	1	2	197	2			5	0	4	100	3			1	1	1	2		2		6			150
30.1	2	1	100		30	2	4	4	2	4	1	1	189	1	2	140	5	0	1		3			1	1	1	1	1	2		6			500
30.2	2	1	200		40	2	4	5	2	4	2	2	531	1	2	280	5	0	1		3			0	2		2		2		7			0
31	2	1	200		25	1	3	5	2	4	1	1	384	1	2	105	9	0	1		3			2	1	1	1	3	2		6			100
32	2	1	500		25	0	3	2	2	4	1	2	288	1	2	446	5	0	1		3			3	1	1	1	3	1	4	6			150
33	2	1	500		18	1	3	1	2	1	1	2	270	1	2	105	5	0	1		3			0	2		2		2		7			0
34	2	1	3000		22	0	1	1	1	1	1	6	2112	1	2	394	5	200	1		3			6	1	1	1	1	1	2	1			500
35	2	1	300		25	0	4	5	2	4	1	2	324	1	3	350	6	330	1		3			2	2		1	2	1	3	6			200
36	2	1	1000		25	1	2	1	2	4	1	2	252	1	2	850	6	0	1		3			2	1	1	2		2		1			500
37	2	1	1500		9	0	2	1	2	1	2	2	373	1	2	260	5	200	1		3			2	1	1	2		2		6			1000
38	2	2	500		80	0	3	1	2	4	1	3	630	1	2	105	6	0	1		3			1	2		1	3	2		6			100
39	2	1	500		20	0	2	3	2	4	1	2	396	1	2	280	5	0	1		3			2	1	1	1	1	1	2	1			1500
41	2	2	100		45	3	3	3	2	4	1	1	79	2			9	0	4	140	3			1	1	2	2		2		6			100
42	2	1	800		30	0	3	2	2	4	1	3	702	2			5	0	3	0	3			2	1	1	1	5	2		6			100
43	2	1	1000		150	2	2	3	2	4	1	2	383	2			5	0	3	0	3			2	1	1	1	2	2		6			100
44	2	1	1000		17	0	2	3	2	4	1	4	660	2			5	0	3	0	3			1	1	2	2		2		6			50
45	2	1	500		12	0	3	3	2	4	1	3	576	2			5	0	3	0	3			2	1	1	1	2	2		6			200
46	2	1	500		30	0	4	3	2	4	1	4	990	2			5	0	3	600	3			1	1	3	2		2		1			1200
47	2	1	500		30	0	3	2	2	4	1	3	625	2			9	0	3	355	3			1	2		1	3	2		6			40
48	2	1	500		8	1	3	2	2	4	2	3	810	2			5	0	3	776	3			2	1	1	1	4	2		6			60
49	2	1	500		8	0	3	3	2	4	1	3	540	2			5	0	3	0	3			3	1	1	1	2	1	3	6			1000
50	2	1	200		50	3	3	2	2	4	1	2	225	2			9	0	4	80	3			0	2		2		2		7			0
51	2	1	1000		1	0	2	1	2	4	1	3	900	2			5	0	3	0	3			2	1	1	1	2	2		6			150
52	2	1	200		18	1	2	2	2	4	1	1	315	2			9	0	4	60	3			0	2		2		2		7			0
53	2	1	600		15	0	2	3	2	4	1	2	192	2			5	0	3	0	3			1	1	2	2		2		6			150
54	2	1	2000		35	0	1	1	2	4	1	4	783	2			5	0	3	670	3			3	1	1	1	4	1	3	6			300
56	2	1	500		22	0	3	2	2	4	1	5	900	2			5	0	3	40	3			1	1	3	2		2		6			50
58	2	1	500		20	0	3	2	2	4	1	3	396	1	2	200	5	0	1		3			1	1	1	2		2		6			200
59	2	1	200		5	2	3	3	2	4	1	4	405	2			5	0	3	0	3			1	1	2	2		2		6			50
60	2	1	500		30	1	3	3	2	4	1	4	384	2			9	0	3	0	3			1	1	2	2		2		6			20
61	3	1	200		6	0	4	9	9	4	1	2	270	2			5	450	3	0	3			3	1	1	1	2	1	5	6			300
62	3	1	500		35	2	3	2	2	4	1	1	360	2			8	150	4	50	3			1	2		1	3	2		6			50
63	3	1	300		7	0	3	5	2	4	1	1	130	2			5	450	3	36	3			1	1	1	2		2		6			200
66	3	1	1000		80	0	2	3	2	4	1	2	180	1	3	100	5	200	1		3			1	1	1	2		2		6			100
67	3	1	1000		9999	0	3	2	2	4	1	1	270	2			9	0	4	50	3			1	1	1	2		2		6			50
68	3	1	500		15	0	4	3	2	4	1	4	900	1	3	400	5	380	1		3			3	1	1	1	3	1	4	6			300
69	3	1	400		80	2	4	5	2	4	1	2	297	2			5	0	4	130	3			1	1	4	2		2		6			120
70	3	1	500		7	0	3	2	2	4	1	1	210	1	2	150	5	600	1		3			2	1	1	1	2	2		6			100
71	3	1	400		40	2	4	4	2	4	1	2	420	2			8	0	4	80	3			1	2		1	3	2		6			60
72	3	1	1000		26	0	2	2	2	4	1	4	475	1	3	198	5	400	1		3			4	1	1	1	3	1	2	1			600
74	3	1	300		75	0	2	2	2	4	2	2	360	2			6	0	3	0	3			2	2		1	2	2		6			100
75	3	1	800		7	0	4	5	2	4	1	1	189	2			5	400	2	40	3			1	1	1	2		2		6			200
76	3	1	800		3	0	3	2	2	1	1	1	378	1	3	200	5	500	1		3			2	1	1	1	3	2		6			500
77	3	1	500		65	0	2	4	2	4	1	1	420	1	3	250	5	200	1		3			2	1	1	1	2	2		1	4		200
78	3	1	300		30	1	4	4	2	4	1	1	96	1	3	200	8	0	1		3			1	1	1	2		2		6			120
79	3	2	400		9999	2	3	2	2	4	1	1	472	1	3	50	8	200	1		3			1	1	2	2		2		6			50
80	3	1	1000		47	0	2	2	2	4	1	2	180	1	4	250	5	380	1		3			1	1	1	2		2		6			320
81	3	1	1000		20	0	2	2	2	4	1	3	576	1	2	150	9	0	1		3			1	1	1	2		2		6			300
82	3	1	500		20	2	2	5	2	4	1	3	420	2			5	0	4	388	3			1	1	2	1	4	2		6			200
83	3	1	500		13	0	4	5	2	4	1	2	570	2			5	0	4	105	3			2	1	1	1	2	2		6			300
84	3	3		300	9999	4	4	3	2	4	1	1	270	2			5	0	4	70	3			1	1	2	2		2		6			60
85	3	1	500		35	2	3	4	2	4	1	2	59.4	1	3	200	5	0	1		3			2	1	1	1	1	2		6			1000
86	3	1	4000		28	1	2	3	2	4	1	3	726	1	3	270	5	0	1		3			1	1	2	2		2		6			200
87	3	1	500		24	4	2	4	2	4	1	1	64	1	2	140	5	500	1		3			1	1	1	2		2		6			200
89	3	1	200		11	0	5	5	10	4	1	1	121.5	2			5	0	4	140	3			0	2		2		2		7			20
90	3	1	1000		25	0	2	4	2	4	1	3	765	1	2	266	5	0	1		3			1	1	1	2		2		6			200
91	3	1	300		25	0	4	4	10	4	1	2	486	2			5	0	4	140	3			2	1	1	1	2	2		6			150
92	3	1	500		4	0	4	4	2	4	1	2	710	2			5	0	4	105	3			1	1	1	2		2		6			150
93	3	1	400		5	0	4	5	2	4	1	3	570	2			5	500	4	200	3			2	1	1	1	5	2		6			350
94	3	1	1000		30	2	2	4	2	4	1	3	528	1	2	200	1		1		3			1	1	1	1	2	2		6			150
95	3	1	4000		6	0	2	1	2	1	1	3	720	1	2	300	5	0	1		3			1	1	1	1	1	1	2	1			600
96	3	1	200		13	0	5	5	2	4	1	2	520	2			5	0	4	105	3			1	2		1	2	2		6			150
97	3	1	500		12	0	2	4	2	4	1	3	495	2			9	0	4	140	3			1	1	1	2		2		6			300
98	3	1	400		18	0	5	5	2	4	1	2	386	2			5	0	4	150	3			2	1	2	1	1	2		6			60
99	3	1	1000		15	0	2	3	2	4	1	2	810	2			5	0	4	200	3			1	1	1	1	1	2		6			200
100.1	3	1	500		13	0	3	4	2	4	2	4	1020	1	3	545	5	60	1		3			1	1	6	1	1	2		6			600
100.2	3	1	500		13	0	3	4	2	4	1	2	1020	1	3	545	5	0	1		3			2	1	3	1	4	2		6			400
101	3	1	1000		6	0	3	3	2	4	1	3	648	2			5	0	3	700	3			2	1	1	1	2	1	1	6			600
102	3	1	2000		25	1	2	2	2	4	2	2	180	1	2	400	5	0	1		3			1	1	2	2		2		6			400
103	3	1	500		15	0	3	2	2	4	1	2	409.5	1	2	110	5	0	1		3			1	1	1	2		2		6			80
104	3	1	500		30	2	2	2	2	4	1	1	220.5	1	2	350	5	0	1		3			1	1	1	1	2	2		4			600
105	3	1	1000		80	0	2	2	2	4	1	2	587.25	1	2	110	5	0	1		3			2	1	1	1	2	2		6			50
106	3	1	1000		1	0	2	2	2	4	1	2	650.25	2			5	0	4	140	3			1	1	4	2		2		6			100
107	3	1	2000		25	0	2	2	2	4	1	3	571	2			5	0	3	417	3			2	1	3	1	2	2		1			150
108	3	1	500		1	0	3	2	2	4	1	2	360	2			5	0	3	400	3			1	1	1	1	2	2		6			200
109	3	1	500		26	1	3	3	2	4	1	4	432	1	2	120	5	0	1		3			1	1	1	2		2		6			100
110	3	1	100		10	0	5	2	10	4	1	1	108	2			5	0	4	70	3			1	1	1	2		2		6			150
111	3	1	1000		9999	2	1	2	2	4	1	3	504	1	2	130	6	0	1		3			1	2		1	3	2		6			200
112	3	1	500		9999	0	3	2	2	4	1	2	264	2			5	0	3	370	3			1	1	4	2		2		6			50
113	3	1	2000		40	0	1	1	1	1	1	3	585	1	2	105	5	0	1		3			2	1	1	1	3	2		6			200
114	3	1	1000		7	0	2	2	2	4	1	2	472.5	2			5	0	3	372	3			2	1	4	1	2	2		6			300
116	3	1	500		18	0	2	2	2	4	1	2	378	2			9	0	4	140	3			1	1	4	2		2		6			150
117	3	1	1000		25	1	2	2	2	4	1	1	600	2			5	0	3	0	3			4	1	1	1	2	1	3	6			600
118	3	1	1000		100	0	2	2	2	4	1	2	441	2			5	0	3	835	3			1	1	5	2		2		1			150
119	3	1	1000		30	0	2	2	2	4	1	2	270	2			9	0	3	0	3			3	1	1	1	2	1	4	6			200
120	3	1	1500		8	0	2	2	2	4	1	3	540	2			5	0	3	400	3			1	1	1	1	2	2		6			700
121	2	1	800		25	0	2	2	2	4	3	3	231	2			5	0	3	70	3			3	1	1	1	2	1	3	1			200
122	2	1	3000		9999	0	2	2	2	4	1	4	573	2			5	0	3	0	3			2	1	1	1	2	2		6			300
123	2	1	2000		6	0	2	2	2	4	3	3	192	2			5	0	3	10	3			1	2		1	3	2		1			500
124	2	1	1000		9999	0	3	2	2	4	1	2	576	2			5	200	4	80	3			1	1	3	2		2		6			150
126	2	1	2000		6	0	3	4	2	4	1	3	375	2			5	500	3	410	3			3	1	1	1	3	1	5	6			150
127	2	1	300		30	0	3	2	2	4	2	1	81	2			5	0	4	78	3			2	1	1	1	2	2		6			150
128	2	1	1000		7	0	4	3	2	4	1	2	371	2			5	0	4	210	3			1	1	1	2		2		6			20
129	2	1	2000		15	0	2	1	2	4	1	3	841	2			5	0	3	0	3			2	1	1	1	5	2		6			200
130	2	1	500		70	0	2	2	2	1	2	2	224	2			5	0	4	10	3			0	2		2		2		7			0
131	2	1	2000		15	0	3	3	2	4	1	3	216	2			5	0	3	0	3			1	1	1	2		2		6			100
132	2	1	500		50	0	3	2	2	4	1	1	154	2			5	0	4	140	3			1	1	1	2		2		6			100
134	2	1	2000		9999	0	2	2	2	4	1	3	472.5	2			5	300	3	650	3			2	1	1	1	2	2		6			200
135	2	1	400		7	0	3	2	2	4	1	1	216	2			9	0	3	365	3			1	1	1	2		2		6			150
136	2	1	2000		15	0	2	2	2	4	1	2	272.25	2			5	0	3	650	3			2	1	1	1	3	2		6			50
137	2	1	3000		9999	0	3	3	2	4	1	4	567	2			5	0	3	0	3			2	1	4	1	3	2		6			800
139	2	1	400		65	3	3	2	2	4	1	1	108	2			5	0	4	50	3			0	2		2		2		7			0
140	2	1	2000		2	0	3	1	2	4	1	2	324	2			5	0	3	375	3			1	1	3	1	5	2		6			200
141	3	1	300		9999	0	3	5	9	4	1	1	432	2			6	0	4	280	3			0	2		2		2		6			50
142	3	1	1500		4	0	2	2	2	4	1	3	729	2			5	0	3	0	3			3	1	1	1	2	1	5	6			500
143	3	1	1000		38	0	3	3	2	4	1	2	720	2			5	370	3	300	3			1	1	1	2		2		6			300
144	3	1	200		40	0	3	2	2	4	1	1	173.25	2			5	0	4	300	3			0	2		2		2		7			0
145	3	1	400		20	0	3	2	2	4	1	2	405	2			5	0	4	160	3			1	1	1	2		2		6			200
146	3	1	100		8	0	2	2	2	4	1	3	202.5	2			5	0	3	20	3			1	1	1	2		2		6			200
147	3	1	500		45	0	2	2	2	4	1	1	765	2			6	0	3	0	3			1	2		1	3	2		6			100
148.1	3	1	400		40	0	3	2	2	4	1	1	101.25	2			5	0	4	140	3			1	1	4	2		2		6			100
148.2	3	1	300		1	0	3	2	2	4	1	1	337.5	2			5	0	4	100	3			0	2		2		2		7			0
148.3	3	1	400		1	0	3	2	2	4	1	2	222.75	2			5	0	3	380	3			0	2		2		2		6			20
149	3	1	1000		30	0	3	2	2	4	1	3	351	2			6	0	3	721	3			1	1	1	2		2		6			100
150	3	1	50		2	0	5	2	2	4	1	1	63	2			9	0	4	75	3			1	1	1	2		2		6			30
151	3	1	500		9999	0	3	2	2	4	1	3	504	2			5	0	3	0	3			1	1	1	2		2		6			100
152	3	1	2000		20	0	1	1	1	4	1	4	1134	2			5	0	3	0	3			3	1	3	1	1	1	2	6			300
153	3	1	300		45	0	3	2	3	4	1	3	765	2			5	0	3	1000	3			1	1	1	2		2		6			100
154	3	1	300		9999	0	4	5	2	4	1	3	675	2			5	0	3	0	3			1	2		1	6	2		6			200
155	3	1	200		13	0	2	2	2	4	1	3	607.5	2			9	0	3	36	3			1	1	1	2		2		6			50
156	3	1	300		9999	1	4	2	2	4	1	1	148.5	2			5	0	4	210	3			1	1	1	2		2		6			400
157	3	1	600		4	0	1	1	1	1	1	2	324	2			5	400	3	0	3			0	2		2		2		7			0
158	3	1	1500		35	0	2	2	2	4	1	3	255	2			5	0	4	100	3			2	2		1	3	1	4	6			50
160	3	1	200		9999	1	3	2	2	4	1	1	182	2			5	0	4	140	3			0	2		2		2		6			0
161	2	1	200		4	0	3	1	2	4	2	2	1400	1	2	105	5	500	1		3			1	1	1	2		2		1			60
