a01	hh_type	s_01	s_02	s_03a	s_03b	s_03c	s_04	s_05	s_06
1	3	1	1	1			0.5	0	10
1	3	2	1	2	3		13	1	0
1	3	3	1	1			0.5	0	10
1	3	5	1	1			0.5	0	10
1	3	6	1	1			0.5	0	10
1	3	7	1	2	3		12	1	0
1	3	8	1	2			4	0	20
1	3	10	1	1	2		1	0	20
1	3	20	1	1			0.5	0	10
2	3	1	1	1			0.5	0	10
2	3	2	1	2	3		4	0	30
2	3	4	1	2	3		4	0	30
2	3	5	1	2	3		4	0	30
2	3	6	1	2	3		4	0	30
2	3	7	1	2	3		12	1	0
2	3	8	1	2	8	9	15	1	0
2	3	14	1	2	3		4	0	30
2	3	19	1	1			0.5	0	10
2	3	20	1	1			0.5	0	10
2	3	23	1	1			0.5	0	10
3	3	1	1	3	8		12	1	0
3	3	2	1	3	8		12	1	0
3	3	3	1	1			0.5	0	10
3	3	5	1	1			0.5	0	10
3	3	6	1	1			0.5	0	10
3	3	7	1	3	8		12	1	0
3	3	9	1	3	8		5	0	30
3	3	10	1	3			3	0	20
3	3	12	1	3			5	0	30
3	3	13	1	3			5	0	30
3	3	20	1	1			0.5	0	10
3	3	28	1	3			5	0	20
3	3	29	1	3			5	0	20
3	3	30	1	3			5	0	20
4	3	1	1	1			0.5	0	10
4	3	2	1	3			7	1	0
4	3	3	1	1			0.2	0	5
4	3	5	1	1			0.3	0	5
4	3	6	1	1			0.5	0	10
4	3	7	1	3	2		7	0	40
4	3	20	1	1	3		1	0	20
4	3	24	1	1	3		2	0	20
4	3	28	1	3			3	0	30
4	3	29	1	3			3	0	30
4	3	30	1	3			3	0	30
5	3	1	1	7	3	8	12	1	0
5	3	2	1	7	3	8	12	1	0
5	3	4	1	7	3		4	0	20
5	3	5	1	7	3		4	0	20
5	3	6	1	7	3		4	0	20
5	3	7	1	7	3		4	0	20
5	3	8	1	3	2		2	0	30
5	3	10	1	1			0.5	0	10
5	3	11	1	7	3		4	0	20
5	3	20	1	1	3		0.5	0	15
5	3	28	1	3	7		4	0	20
5	3	29	1	3	7		4	0	20
5	3	30	1	3	7		4	0	2
6	3	1	1	8			12	1	0
6	3	2	1	3			3	0	30
6	3	3	1	3			3	0	30
6	3	5	1	1			0.5	0	15
6	3	6	1	3			3	0	30
6	3	7	1	3			3	0	30
6	3	20	1	1			0.5	0	15
6	3	21	1	1			0.5	0	15
6	3	22	1	1			0.5	0	15
7	3	1	1	3			3	0	30
7	3	2	1	3	7		7	1	0
7	3	3	1	1			0	0	1
7	3	5	1	1			0.25	0	10
7	3	6	1	1			0.25	0	10
7	3	7	1	3			3	0	30
7	3	11	1	3	7		7	0	30
7	3	20	1	1	3		0.2	0	10
7	3	28	1	3	7		3	0	20
7	3	29	1	3	7		3	0	20
7	3	30	1	3	7		3	0	20
8	3	1	1	1	3		1	0	20
8	3	2	1	3	7		7	1	0
8	3	3	1	1			0.25	0	5
8	3	4	2						
8	3	5	1	1	3		1	0	20
8	3	6	1	1	3		1	0	20
8	3	7	1	3	7		3	0	30
8	3	11	1	3	7		3	0	30
8	3	24	1	1			0.5	0	10
8	3	28	1	1	7		3	0	20
8	3	29	1	1	7		3	0	20
8	3	30	1	1	7		3	0	20
9	3	1	1	1			1.5	0	10
9	3	2	1	1	3		3	0	25
9	3	3	1	1			0.1	0	1
9	3	4	1	1	3	9	50	2	40
9	3	5	1	1			0.25	0	5
9	3	6	1	1			1.5	0	10
9	3	7	1	1	3		1.5	0	10
9	3	9	1	1	3		1.5	0	10
9	3	10	1	1	3		1.5	0	10
9	3	11	1	1	3	8	5	1	20
9	3	12	1	1	3		1.5	0	12
9	3	13	1	1	3		1.5	0	12
9	3	14	1	1	3		1.5	0	10
9	3	20	1	1			1.5	0	10
9	3	21	1	1			0.5	0	12
9	3	24	1	1			0.5	0	12
9	3	29	1	1	3		1.5	0	12
9	3	30	1	1	3		1.5	0	12
10.1	3	1	1	8			12	1	0
10.1	3	2	1	3			3	0	30
10.1	3	3	1	3			3	0	30
10.1	3	5	1	1			0.1	0	5
10.1	3	6	1	3			3	0	30
10.1	3	7	1	8			12	1	0
10.1	3	8	1	1	3		3	1	0
10.1	3	9	1	3			3	0	30
10.1	3	13	1	3			3	0	30
10.1	3	20	1	1			0.25	0	10
10.1	3	27	1	2			2	0	20
10.1	3	28	1	3			3	0	30
10.1	3	29	1	3			3	0	30
10.1	3	30	1	3			3	0	30
10.2	3	1	1	8			12	1	0
10.2	3	2	1	3			3	0	20
10.2	3	3	1	3			3	0	20
10.2	3	5	1	1			0.25	0	5
10.2	3	6	1	1			0.5	0	10
10.2	3	7	1	8			12	1	0
10.2	3	20	1	1			0.5	0	10
10.2	3	28	1	3			3	0	20
10.2	3	29	1	3			3	0	20
10.2	3	30	1	3			3	0	20
10.2	3	31	1	3			3	0	20
11	3	1	1	1	3		1	0	20
11	3	2	1	3			7	1	0
11	3	3	1	1			0.3	0	10
11	3	5	1	1			0.3	0	10
11	3	6	1	1			1	0	20
11	3	7	1	1	3		3	0	30
11	3	21	1	1			0.25	0	5
11	3	24	1	1			0.25	0	5
11	3	29	1	2	3		3	0	30
11	3	30	1	2	3		3	0	30
12	3	1	1	1			0.25	0	5
12	3	2	1	2	3		4	0	35
12	3	3	1	2	3		12	1	0
12	3	5	1	1			0.25	0	5
12	3	6	1	1			0.25	0	5
12	3	7	1	1			12	1	0
12	3	10	1	1			0.25	0	5
12	3	15	1	2	3		4	0	35
12	3	18	1	1			0.5	0	15
12	3	20	1	1			0.25	0	5
12	3	28	1	2	3		4	0	35
12	3	29	1	2	3		4	0	35
12	3	30	1	2	3		4	0	35
13	3	1	1	1			0.5	0	15
