a01	hh_type	t1_02	t1_02a	t1_03	t1_04	t1_05	t1_06	t1_07	t1_08a	t1_08b	t1_08c	t1_09	t1_10
1	3	99											
2	3	99											
3	3	21	1	1	2	2013	2	50000	1			600	1
4	3	99											
5	3	99											
6	3	99											
7	3	99											
8	3	99											
9	3	99											
10.1	3	21	1	1	8	2014	1	100000	10	9		999	1
10.2	3	21	1	1	3	2014	2	10000	24			30	1
11	3	99											
12	3	99											
13	3	99											
14	3	4	1	1	2	2014	2	100000	24			30	1
15	3	99											
16.1	3	99											
16.2	3	99											
17	3	3	1	1	1	2014	1	45000	8			999	1
17	3	34	1	1	6	2013	1	20000	10	11		90	2
18.1	3	4	1	1	12	2013	1	800000	24			60	1
18.2	3	99											
19	3	99											
20	3	21	1	1	10	2014	1	65200	8			999	1
22	2	99											
23	2	99											
24	2	4	1	1	2	2013	1	3000	1			90	1
25	2	101	1	1	4	2012	2	100000	1			30	1
26	2	4	1	1	8	2014	1	30000	8			999	1
27	2	99											
28	2	4	1	1	2	2012	1	35000	3			365	2
28	2	151	1	1	7	2013	1	50000	8			180	1
29	2	99											
30.1	2	4	1	1	3	2012	2	15000	24			240	1
30.2	2	99											
31	2	99											
32	2	99											
33	2	99											
34	2	4	1	1	1	2012	2	300000	1			30	1
35	2	99											
36	2	4	1	1	7	2012	2	22000	4			360	1
37	2	99											
38	2	99											
39	2	4	1	1	6	2012	3	400000	1			30	1
41	2	10	1	1	2	2014	2	2000	1			20	1
42	2	10	1	1	6	2014	1	12000	1			999	1
43	2	12	1	1	1	2014	2	20000	9			30	1
44	2	1	1	1	12	2012	2		1			30	1
45	2	99											
46	2	4	1	1	1	2014	1	90000	8	9		999	1
47	2	4	1	1	11	2012	1	30000	8			999	1
48	2	3	1	1	4	2013	1	4000	1			90	1
49	2	4	1	2	12	2014	1	80000	8			999	1
50	2	99											
51	2	15	1	1	5	2012	1	200000	3			60	1
52	2	4	1	1	12	2014	1	10000	1			999	1
53	2	99											
54	2	4	1	1	2	2013	1	80000	1			30	1
54	2	12	1	1	4	2014	2	7000	1			7	2
56	2	99											
58	2	4	1	1	4	2013	1	30000	8			999	1
59	2	23	1	1	12	2014	1	40000	9	6	24	999	2
59	2	27	1	1	9	2012	1	10000	3	9	11	999	1
60	2	99											
61	3	99											
62	3	99											
63	3	99											
66	3	99											
67	3	99											
68	3	34	1	4	6	2014	1	400000	9	11		999	1
69	3	27	1	1	3	2013	1	105000	25	11	10	999	1
70	3	99											
71	3	99											
72	3	4	1	2	3	2012	1	20000	25			60	1
74	3	99											
75	3	99											
76	3	18	1	1	12	2013	1	100000	9	24		999	1
77	3	99											
78	3	99											
79	3	99											
80	3	99											
81	3	3	1	1	2	2014	1	50000	9	11		999	3
81	3	4	1	1	2	2014	1	150000	9	11		999	1
81	3	27	1	1	2	2015	1	21000	9			999	2
82	3	99											
83	3	99											
84	3	34	1	1	4	2012	1	80000	6	12		999	1
85	3	99											
86	3	99											
87	3	99											
89	3	99											
90	3	3	1	1	2	2012	1	100000	24	1		999	1
91	3	99											
92	3	34	1	1	6	2012	1	15000	1			999	1
93	3	4	1	1	9	2014	2	25000	9			999	1
94	3	99											
95	3	27	1	1	9	2014	1	35000	1			100	1
96	3	99											
97	3	99											
98	3	99											
99	3	99											
100.1	3	99											
100.2	3	99											
101	3	34	1	1	5	2013	1	46000	8			999	2
101	3	151	1	1	5	2012	1	140000	1			999	1
102	3	99											
103	3	99											
104	3	5	1	2	2	2014	1	75000	8			999	1
105	3	17	1	1	2	2014	2	10000	1			30	1
106	3	99											
107	3	99											
108	3	99											
109	3	3	1	1	12	2014	1	40000	4	8	24	999	1
110	3	99											
111	3	99											
112	3	99											
113	3	25	1	1	2	2012	1	40000	8			999	1
114	3	27	1	2	4	2014	1	100000	9			365	1
116	3	99											
117	3	25	1	1	1	2014	1	300000	10	11		999	1
118	3	99											
119	3	4	1	1	2	2015	1	3000	11			999	1
120	3	34	1	1	1	2011	1	25000	9			999	1
121	2	34	1	1	8	2014	1	20000	25			120	1
122	2	99											
123	2	99											
124	2	99											
126	2	4	1	1	6	2013	1	17000	4			60	1
127	2	99											
128	2	99											
129	2	99											
130	2	99											
131	2	4	1	1	2	2014	2	10000	17			10	1
132	2	99											
134	2	27	1	1	2	2012	1	150000	9			999	1
135	2	99											
136	2	99											
137	2	3	1	1	1	2012	1	1500000	9			999	1
139	2	1	1	1	2	2014	1		24			999	1
139	2	4	1	1	6	2014	1	15000	9			999	2
140	2	3	1	1	3	2013	1	90000	8	9		90	1
