a01	hh_type	v1_01	pid	mid	v1_02	v1_03	v1_04	v1_05	v1_06	v1_07	v1_08	v1_09	v1_10	v1_11	v1_15	v1_16	v1_12	v1_13	v1_14	Flag_v1
1	3	1	81	3	3	1	2	23	1	12	21	2		30	1		8	5	1	
2	3	2																		
3	3	2																		
4	3	1	81	3	3	1	7	25	1	12	13	1	1		1		1	1	2	
5	3	2																		
6	3	2																		
7	3	2																		
8	3	2																		
9	3	2																		
10.1	3	2																		
10.2	3	2																		
11	3	2																		
12	3	2																		
13	3	2																		
14	3	2																		
15	3	2																		
16.1	3	2																		
16.2	3	2																		
17	3	1	81	3	3	1	6	20	2	12	82	1	30		1		3	5	2	
18.1	3	2																		
18.2	3	2																		
19	3	1	81	3	3	2	0	18	2	9	82	1	18		1		3	2	2	
19	3	1	82	4	3	2	0	13	1	5	13	1	18		1		1	2	2	
20	3	2																		
22	2	2																		
23	2	2																		
24	2	1	81	2	3	2	4	24	2	10	81	1	37		1		3	3	2	
25	2	2																		
26	2	2																		
27	2	2																		
28	2	2																		
29	2	2																		
30.1	2	2																		
30.2	2	2																		
31	2	2																		
32	2	1	81	5	3	1	9	17	2	5	82	1	29		1		3	2	2	
33	2	2																		
34	2	2																		
35	2	1	81	4	3	2	4	24	1	10	13	1	8		1		1	2	1	
36	2	2																		
37	2	2																		
38	2	2																		
39	2	2																		
41	2	1	81	3	3	1	1	22	1	12	12	1	12		1		1	2	1	
42	2	2																		
43	2	2																		
44	2	2																		
45	2	1	81	3	3	2	8	25	1	14	13	1	1		1		1	2	1	
46	2	2																		
47	2	1	81	2	3	0	1	15	2	8	81	1	62		1		3	4	2	
48	2	1	81	3	3	2	5	37	1	7	13	1	1		1		1	2	1	
49	2	2																		
50	2	2																		
51	2	2																		
52	2	1	81	1	2	2	1	43	1	99	22	1	26		1		8	1	1	
53	2	2																		
54	2	2																		
56	2	2																		
58	2	2																		
59	2	2																		
60	2	1	81	1	2	3	2	51	1	4	8	1	30		1		8	2	1	
60	2	1	82	2	3	1	8	25	1	12	1	1	39		1		1	2	1	
61	3	2																		
62	3	2																		
63	3	2																		
66	3	2																		
67	3	2																		
68	3	2																		
69	3	2																		
70	3	2																		
71	3	2																		
72	3	2																		
74	3	2																		
75	3	2																		
76	3	2																		
77	3	2																		
78	3	2																		
79	3	2																		
80	3	2																		
81	3	2																		
82	3	2																		
83	3	2																		
84	3	1	81	3	3	1	11	10	1	4	13	1	18		1		1	3	1	
84	3	1	82	1	2	2	4	33	1	9	36	2		20	1		1	1	2	
85	3	1	81	1	2	2	7	38	1	4	21	2		20	2	2	1	1	1	
86	3	2																		
87	3	2																		
89	3	2																		
90	3	2																		
91	3	2																		
92	3	2																		
93	3	2																		
94	3	2																		
95	3	2																		
96	3	1	81	3	3	2	6	15	1	2	13	1	20		1		1	1	1	
97	3	1	81	1	2	1	11	53	1	99	7	1	20		1		8	3	1	
97	3	1	82	3	3	1	2	17	2	8	13	1	18		1		1	3	1	
98	3	2																		
99	3	2																		
100.1	3	2																		
100.2	3	2																		
101	3	2																		
102	3	2																		
103	3	2																		
104	3	2																		
105	3	1	81	3	3	2	3	19	1	9	13	1	1		2	1	1	2	1	
106	3	2																		
107	3	1	81	1	1	1	2	53	1	10	12	1	1		4		1	1	1	
108	3	2																		
109	3	2																		
110	3	2																		
111	3	2																		
112	3	2																		
113	3	2																		
114	3	2																		
116	3	1	81	1	3	1	7	38	2	99	15	2		41	4		1	4	1	
117	3	2																		
118	3	1	81	4	3	2	2	24	1	12	13	1	1		2	1	1	2	2	
119	3	2																		
120	3	2																		
121	2	2																		
122	2	2																		
123	2	2																		
124	2	2																		
126	2	2																		
127	2	2																		
128	2	2																		
129	2	2																		
130	2	2																		
131	2	2																		
132	2	2																		
134	2	2																		
135	2	2																		
136	2	2																		
137	2	2																		
139	2	2																		
140	2	2																		
141	3	2																		
142	3	2																		
143	3	2																		
144	3	2																		
145	3	2																		
146	3	2																		
147	3	2																		
148.1	3	2																		
148.2	3	2																		
148.3	3	2																		
149	3	2																		
150	3	2																		
151	3	2																		
152	3	2																		
153	3	2																		
154	3	2																		
155	3	2																		
156	3	2																		
157	3	2																		
158	3	2																		
160	3	2																		
161	2	2																		
162	2	2																		
163	2	2																		
164	2	2																		
165	2	2																		
166	2	2																		
167	2	2																		
168	2	2																		
169	2	2																		
170	2	2																		
171	2	2																		
172	2	2																		
173	2	2																		
174	2	2																		
175	2	2																		
176	2	2																		
177	2	2																		
178	2	2																		
179	2	2																		
180	2	2																		
181	2	2																		
182	2	2																		
183	2	2																		
184	2	2																		
185	2	2																		
186	2	2																		
187	2	1	81	6	7	0	7	33	2	10	13	1	1		1		1	1	1	
188	2	2																		
189	2	2																		
190	2	2																		
191	2	1	81	3	3	0	9	38	1	7	13	1	64		1		1	1	1	
192	2	2																		
193	2	2																		
194	2	2																		
195	2	2																		
196	2	2																		
197	2	2																		
198	2	2																		
199	2	2																		
200	2	2																		
201	3	1	81	3	3	0	6	25	1	2	13	1	58		1		1	1	1	
202	3	2																		
203	3	2																		
204	3	2																		
205	3	2																		
206	3	2																		
207	3	2																		
208	3	2																		
209	3	2																		
210	3	2																		
211	3	2																		
212	3	2																		
213	3	2																		
214	3	2																		
215.1	3	2																		
215.2	3	2																		
216	3	2																		
218	3	2																		
219	3	2																		
220	3	2																		
221	2	2																		
222	2	2																		
224	2	2																		
225	2	2																		
226	2	2																		
227	2	2																		
228	2	2																		
230	2	2																		
231	2	2																		
232	2	2																		
233	2	2																		
234	2	2																		
235	2	2																		
237	2	2																		
238	2	2																		
239	2	2																		
240.1	2	2																		
240.2	2	2																		
241	2	2																		
242	2	2																		
243	2	2																		
244	2	2																		
245	2	2																		
246	2	2																		
247	2	2																		
248	2	2																		
249	2	2																		
250	2	2																		
251	2	2																		
252	2	2																		
254	2	2																		
255	2	2																		
256	2	2																		
257	2	2																		
258	2	2																		
259	2	2																		
260	2	2																		
261	2	2																		
262	2	2																		
263	2	2																		
264	2	2																		
265	2	2																		
266	2	2																		
267	2	2																		
268	2	2																		
269	2	2																		
270	2	2																		
271	2	2																		
272	2	2																		
273	2	2																		
274	2	2																		
275	2	2																		
276	2	2																		
277	2	2																		
278	2	2																		
279	2	2																		
280	2	2																		
281	2	2																		
282	2	2																		
284	2	2																		
285	2	2																		
286	2	2																		
287	2	2																		
288	2	2																		
289	2	2																		
290	2	2																		
291	2	1	81	3	3	3	4	24	1	7	13	1	60		1		1	1	1	
291	2	1	82	5	3	1	9	21	1	4	13	1	15		1		1	1	1	
292	2	2																		
293	2	2																		
294	2	2																		
295	2	2																		
296	2	2																		
297	2	2																		
298	2	2																		
299	2	2																		
301	2	1	81	1	2	2	4	31	1	99	23	1	1		1		8	1	1	
303	2	2																		
304	2	1	81	6	11	2	3	27	1	10	65	1	1		1		1	1	2	
305	2	2																		
307	2	2																		
308	2	2																		
309	2	2																		
310	2	2																		
311	2	2																		
313	2	2																		
314	2	2																		
315	2	2																		
316.1	2	2																		
316.2	2	2																		
316.3	2	2																		
317	2	2																		
318	2	2																		
319	2	2																		
320	2	2																		
321	2	2																		
322	2	2																		
323	2	2																		
324	2	2																		
325	2	2																		
326	2	1	81	2	7	0	8	21	1	12	13	1	1		1		1	2	1	
327	2	2																		
328	2	2																		
329.1	2	2																		
329.2	2	2																		
330	2	2																		
331	2	2																		
332	2	2																		
333	2	2																		
334	2	2																		
335	2	2																		
337	2	2																		
338	2	2																		
339	2	2																		
340	2	2																		
341	3	2																		
342	3	1	81	2	3	1	0	16	1	6	13	1	18		1		1	1	1	
343	3	2																		
345	3	2																		
346	3	1	81	3	3	2	9	25	1	2	28	1	1		1		1	1	1	
347	3	2																		
348	3	2																		
349	3	2																		
350	3	1	81	3	3	1	5	22	1	10	12	1	18		1		1	3	1	
351	3	2																		
352	3	1	81	3	3	0	7	17	1	10	21	1	60		1		1	1	1	
353	3	2																		
354	3	2																		
355	3	2																		
356	3	1	81	2	3	0	9	21	1	5	28	1	1		1		1	1	1	
356	3	1	82	3	3	0	6	16	1	5	28	1	1		1		1	1	2	
357	3	2																		
358	3	2																		
359	3	2																		
360	3	2																		
361	3	2																		
362	3	2																		
363	3	2																		
364	3	2																		
365	3	1	81	3	3	3	1	32	1	10	23	1	45		1		8	7	1	
366	3	2																		
367	3	1	81	3	3	1	10	17	2	33	81	1	45		1		2	3	2	
368	3	2																		
369	3	2																		
370	3	2																		
371	3	2																		
372	3	2																		
373	3	2																		
374	3	2																		
375	3	2																		
376	3	2																		
377	3	2																		
378	3	2																		
379	3	2																		
380	3	2																		
381	3	2																		
382	3	1	81	3	3	1	6	31	1	16	13	1	1		1		1	1	1	
383	3	2																		
384	3	2																		
385	3	2																		
386	3	2																		
387	3	1	81	3	3	0	3	21	1	12	13	1	1		1		1	1	2	
388	3	2																		
389	3	2																		
390	3	2																		
391	3	2																		
392	3	2																		
393	3	2																		
394	3	1	81	3	3	0	3	22	1	12	13	1	1		1		1	1	2	
395	3	2																		
