a01	hh_type	z_1	z_2	z1_01	z1_02	z1_03	z1_04	z1_05	z1_06	z1_07	z1_08	z1_09	z1_10	z1_11	z1_12	z1_13	z1_14	z1_15a	z1_15b	z1_15c	z1_15d	z1_15e	z1_16a	z1_16b	z1_16c	z1_16d	flag_z1
1	3	2	2	1				1	3	2		2	1	3	2			2	2	2	2	2	2	2	2	2	
2	3	2	2	1				2	1	2		2	1	1	1	4	4	1	4	4	4	1	1	1	1	1	
3	3	2	2	1				1	1	2		3	3	1	1	2	3	2	2	2	2	1	2	1	2	2	
4	3	5	2	1				1	1	1	3		3	1	2			2	2	2	2	2	1	1	1	1	
5	3	2	2	1				1	3	2		3	1	3	2			2	2	2	2	2	1	1	1	1	
6	3	2	2	1				1	1	2		2	1	1	1	3	3	3	3	3	3	3	2	2	2	2	
7	3	2	2	1				1	1	1	2		3	1	2			2	2	2	9	2	2	2	2	2	
8	3	2	2	1				1	1	1	3		2	1	2			2	2	2	2	2	1	1	1	1	
9	3	2	2	1				1	1	2		2	3	1	2			3	3	3	3	3	1	1	1	1	
10.1	3	4	2	1				3	1	1	1		2	1	1	3	3	3	3	3	3	3	1	1	1	1	
10.2	3	2	2	1				1	1	2		2	2	1	2			2	2	2	9	2	2	2	2	2	
11	3	2	2	1				1	1	2		2	3	3	2			3	3	3	3	3	2	2	2	2	
12	3	2	2	1				1	3	2		2	2	3	1	3	2	3	3	3	3	3	1	1	1	1	
13	3	2	2	1				1	3	2		3	2	3	2			2	2	2	2	2	1	1	1	1	
14	3	4	4	1				1	1	2		1	3	1	2			4	4	4	4	4	1	1	1	1	
15	3	2	2	1				1	1	2		2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	
16.1	3	2	2	1				1	1	1	2		3	1	2			3	3	3	3	3	1	1	1	1	
16.2	3	5	2	1				1	3	1	2		3	1	2			2	2	2	9	2	1	1	1	1	
17	3	2	2	1				1	1	2		2	3	1	1	3	3	3	3	3	3	3	1	1	1	1	
18.1	3	5	2	1				1	1	2		2	3	1	2			2	2	2	9	2	1	1	1	1	
18.2	3	7	2	1				1	1	2		2	3	1	2			3	3	3	9	3	1	1	1	1	
19	3	5	2	2	3										2			2	2	2	9	2	2	2	2	2	
20	3	2	2	1				1	3	2		2	2	3	1	3	3	2	2	2	2	2	1	1	1	1	
22	2	1	4	1				1	1	2		2	3	1	2			4	4	4	4	4	2	2	2	2	
23	2	2	2	1				1	3	2		2	3	3	1	3	3	3	3	3	9	3	1	1	1	1	
24	2	1	4	2	6										1	1	1	4	4	4	9	4	1	1	1	1	
25	2	2	2	1				1	1	2		2	3	1	2			1	1	1	9	1	1	1	1	1	
26	2	2	2	1				3	3	2		2	2	3	1	3	3	3	3	3	3	3	1	1	1	1	
27	2	2	2	1				1	3	2		2	3	3	1	3	3	3	3	3	9	3	1	1	1	1	
28	2	2	2	1				1	3	2		2	2	3	1	3	3	3	3	3	3	3	2	1	1	2	
29	2	2	2	2	8										2			3	3	3	3	3	1	1	1	1	
30.1	2	2	2	1				1	1	2		2	2	3	1	3	3	3	3	3	3	3	2	2	2	2	
30.2	2	5	2	1				1	1	2		2	1	3	1	2	2	2	2	2	9	2	2	2	2	2	
31	2	2	2	1				1	1	2		2	3	1	1	3	2	3	3	3	9	3	1	1	1	1	
32	2	2	2	1				1	1	2		2	3	1	1	3	3	3	3	3	9	3	1	1	1	1	
33	2	2	2	1				1	1	2		2	2	3	1	3	3	3	3	3	3	3	1	1	1	1	
34	2	1	2	1				1	1	1	2		3	1	1	4	4	4	4	4	4	4	1	1	1	1	
35	2	1	4	1				1	1	2		2	3	1	1	4	4	1	1	1	1	1	1	1	1	1	
36	2	2	2	1				1	1	2		2	2	3	1	3	3	3	3	3	3	3	1	1	1	1	
37	2	2	2	1				1	1	2		2	3	1	1	3	3	3	3	3	3	3	2	2	2	2	
38	2	2	2	1				1	1	2		2	2	1	2			2	2	2	2	2	1	1	1	1	
39	2	2	2	1				1	1	2		2	2	2	2			2	2	2	9	2	1	1	1	1	
41	2	2	2	1				1	1	2		2	2	1	2			3	3	3	3	3	1	1	1	1	
42	2	2	2	1				1	3	2		2	2	3	1	3	3	3	3	3	4	3	1	1	1	1	
43	2	2	2	1				1	3	2		2	2	1	1	2	2	3	3	3	3	3	1	1	1	1	
44	2	2	4	1				1	1	2		2	3	1	2			1	1	1	9	1	1	1	1	1	
45	2	2	2	1				1	1	2		2	3	1	2			3	3	3	3	3	1	1	1	1	
46	2	2	2	1				1	3	2		2	2	3	1	3	3	3	3	3	3	3	1	1	1	1	
47	2	1	2	1				1	3	2		2	2	3	1	3	3	3	3	3	3	3	1	1	1	1	
48	2	2	2	1				1	3	2		2	2	3	2			3	3	3	3	3	1	1	1	1	
49	2	2	2	1				1	1	2		2	3	3	1	3	3	3	3	3	3	3	1	1	1	1	
