a01	stime_h_b	stime_m_b	res_id_b	consent_b	mid	mem_stat	b1_01	b1_02	b1_15a	b1_15b	b1_15c	b1_16	b1_16oth	b1_03	b1_04	b1_04a	b1_04b	b1_14	b1_05	b1_06	b1_06oth	b1_07	b1_08	b1_08oth	b1_08a	b1_09	b1_10	b1_11	b1_12	b1_13a	b1_13aoth	b1_13b	b1_13both	b1_10_r3	b1_11_r3	b1_12_r3	b1_13a_r3	b1_13b_r3	etime_h_b	etime_m_b	hhid2	flag_b1	hh_type	round
1.0	9	12	1	1	1	0	1	60				2	" "	1	2	20	25	1	2		" "	1	99	" "			64	1	1	10	" "	5	" "	64	1	1	10	5	9	22	"1"	1	3	3.0
1.0			1	1	2	0	2	53				2	" "	2	2	13	18	1	2		" "	2	99	" "			82			7	" "		" "	69	1	1	7				"1"	1	3	3.0
1.0			1	1	3	11							" "								" "			" "							" "		" "								"1"	3	3	3.0
1.0			1	1	4	0	1	21				2	" "	3	1			1	2		" "	4	12	" "	1	1	81			18	" "		" "	81			18				"1"	1	3	3.0
2.0	13	49	1	1	1	0	1	54				2	" "	1	2	20	24	1	2		" "	1	99	" "			65	1	1	5	" "	4	" "	65	1	1	5	4	13	54	"2"	1	3	3.0
2.0			1	1	2	0	2	49				2	" "	2	2	14	18	1	2		" "	4	5	" "	1	2	82			18	" "		" "	82			18				"2"	1	3	3.0
2.0			1	1	3	0	1	25				1	" "	3	1			1	2		" "	4	14	" "	5	1	81			18	" "		" "	81			18				"2"	1	3	3.0
2.0			1	1	4	5	1	12				1	" "	5	1			1	2		" "	4	5	" "	1	1	81			17	"GRIHO TEACHER"		" "	81			17				"2"	1	3	3.0
3.1	8	55	1	1	1	0	1	52				6	" "	1	2	21	23	1	2		" "	4	8	" "	1	2	52	1	3	12	" "		" "	52	1	3	12		8	58	"3.1"	1	3	3.0
3.1			1	1	2	0	2	45				6	" "	2	2	14	16	1	2		" "	4	3	" "	1	2	82			7	" "		" "	69	1	1	7				"3.1"	1	3	3.0
3.1			1	1	3	10							" "								" "			" "							" "		" "								"3.1"	3	3	3.0
3.1			1	1	4	10							" "								" "			" "							" "		" "								"3.1"	3	3	3.0
3.2	9	33	3	1	1	10							" "								" "			" "							" "		" "						9	37	"3.2"	3	3	3.0
3.2			3	1	2	10							" "								" "			" "							" "		" "								"3.2"	3	3	3.0
3.2			3	1	3	0	1	27				2	" "	1	2	20	22	1	2		" "	4	4	" "	1	2	1	1	1	1	" "	7	" "	1	1	1	1	7			"3.2"	1	3	3.0
3.2			3	1	4	0	2	25				1	" "	2	2	18	20	1	2		" "	4	9	" "	1	2	82			7	" "		" "	82			7				"3.2"	1	3	3.0
3.2			3	1	5	1	2	4				3	" "	3	1			1	2		" "	1	99	" "			84			18	" "		" "	84			18				"3.2"	1	3	3.0
4.0	9	15	2	1	1	0	1	37				2	" "	7	1			1	2		" "	1	99	" "			64	1	1	5	" "	4	" "	64	1	1	5	4	9	20	"4"	1	3	3.0
4.0			2	1	2	0	1	35				2	" "	1	2	30	31	1	2		" "	1	99	" "			64	1	1	5	" "	4	" "	64	1	1	5	4			"4"	1	3	3.0
4.0			2	1	3	5	1	29				2	" "	7	1			1	2		" "	4	12	" "	1	2	86			18	" "		" "	86			18				"4"	1	3	3.0
4.0			2	1	4	7							" "								" "			" "							" "		" "								"4"	3	3	3.0
4.0			2	1	5	0	2	24				2	" "	2	2	19	20	1	2		" "	4	7	" "	8	2	82			7	" "		" "	69	1	1	7				"4"	1	3	3.0
