a01	stime_h_b2	stime_m_b2	res_id_b2	consent_b2	mid_b2	b2_01	b2_02	b2_02oth	b2_03	b2_04	b2_05	b2_05oth	b2_06a	b2_06b	b2_07	b2_08	b2_08a	b2_08b	b2_08c	b2_08d	b2_09	b2_10	b2_11	b2_12a	b2_12b	b2_13	b2_14	b2_14oth	etime_h_b2	etime_m_b2	hhid2	flag_b2	hh_type	round
1.0	9	22	1	1	4	1		" "	2006	1	9	" "	1.0	12.0	1	1	1	30	2		1	13	2	1		9999		" "	9	27	"1"		3	3.0
2.0	13	54	1	1	3	1		" "	2004	1	1	" "	14.0	40.0	1	1	1	0	2		1	15	2	5		9999		" "	13	59	"2"		3	3.0
2.0			1	1	4	1		" "	2013	1	1	" "	2.0	10.0	1	1	1	0	2		1	6	2	1		9999		" "			"2"		3	3.0
3.1	8	58	1	1	99			" "				" "																" "	8	58	"3.1"		3	3.0
3.2	9	37	3	1	4	1		" "	2003	1	1	" "	1.0	10.0	2	2								1		2012	21	" "	9	39	"3.2"		3	3.0
4.0	9	20	2	1	5	1		" "	2006	1	1	" "	1.0	10.0	2	2								8		2013	21	" "	9	22	"4"		3	3.0
5.0	8	59	1	1	3	1		" "	2002	1	1	" "	40.0	120.0	1	1	1	0	2		1	16	2	8		9999		" "	9	2	"5"		3	3.0
5.0			1	1	4	1		" "	2002	1	1	" "	40.0	120.0	1	1	1	0	2		1	16	2	1		9999		" "			"5"		3	3.0
6.0	9	20	1	1	3	1		" "	2010	1	1	" "	1.0	10.0	1	1	1	0	2		1	8	2	8		9999		" "	9	25	"6"		3	3.0
6.0			1	1	4	1		" "	2011	1	1	" "	1.0	10.0	2	2								1		2017	9	" "			"6"		3	3.0
6.0			1	1	5	1		" "	2018	1	1	" "	1.0	10.0	2	1	1	0	2		5	1	9					" "			"6"		3	3.0
6.0			1	1	6	1		" "	2012	1	1	" "	1.0	10.0	1	1	1	0	2		1	6	2	5		9999		" "			"6"		3	3.0
7.0	9	43	1	1	3	1		" "	2017	66	12	" "	2.0	15.0	1	1	2	200	1	600	1	1	2	1		9999		" "	9	48	"7"		3	3.0
8.0	9	38	1	1	3	1		" "	2008	66	2	" "	0.5	10.0	1	1	2	0	1	6000	1	10	2	1		9999		" "	9	41	"8"		3	3.0
9.0	16	11	1	1	3	1		" "	2007	66	9	" "	4.0	30.0	1	1	2	0	2		1	11	2	5		9999		" "	16	17	"9"		3	3.0
9.0			1	1	4	1		" "	2012	66	2	" "	0.5	8.0	1	1	2	0	1	300	1	6	2	5		9999		" "			"9"		3	3.0
10.1	14	46	3	1	6	1		" "	2009	1	1	" "	1.0	10.0	1	1	1	0	1	1000	1	9	2	1		9999		" "	14	50	"10.1"		3	3.0
10.1			3	1	7	1		" "	2015	1	1	" "	1.0	10.0	1	1	1	0	1	400	5	3	2	5		9999		" "			"10.1"		3	3.0
10.2	13	25	3	1	99			" "				" "																" "	13	25	"10.2"		3	3.0
11.1	8	59	1	1	99			" "				" "																" "	8	59	"11.1"		3	3.0
11.2	14	6	4	1	4	1		" "	2001	66	1	" "	0.5	10.0	2	2								1		2005	3	" "	14	12	"11.2"		3	3.0
11.2			4	1	7	1		" "	2004	66	2	" "	1.0	15.0	2	2								8	5	2015	3	" "			"11.2"		3	3.0
11.3	9	28	3	1	6	1		" "	2006	1	2	" "	2.0	30.0	2	2								8	5	2014	21	" "	9	35	"11.3"		3	3.0
12.0	9	58	1	1	3	1		" "	2014	1	1	" "	0.5	10.0	1	1	1	0	1	300	5	5	2	5		9999		" "	10	4	"12"		3	3.0
13.0	9	42	1	1	3	1		" "	2010	66	2	" "	1.0	15.0	1	1	2	40	1	600	1	8	2	1		9999		" "	9	50	"13"		3	3.0
13.0			1	1	4	1		" "	2016	66	1	" "	1.0	15.0	1	1	1	0	1	200	5	2	2	5		9999		" "			"13"		3	3.0
14.0	10	10	1	1	5	1		" "	2005	66	9	" "	1.5	15.0	1	1	2	0	1	300	1	12	2	1		9999		" "	10	22	"14"		3	3.0
14.0			1	1	6	1		" "	2011	66	2	" "	0.5	8.0	1	1	2	35	1	4400	1	7	2	5		9999		" "			"14"		3	3.0
14.0			1	1	9	1		" "	2016	66	12	" "	2.0	15.0	1	1	2	300	2		1	2	2	1		9999		" "			"14"		3	3.0
14.0			1	1	11	1		" "	1999	66	2	" "	8.0	45.0	2	2								9		2016	7	" "			"14"		3	3.0
15.0	9	33	1	1	3	1		" "	2006	1	9	" "	1.0	12.0	1	1	1	30	2		1	13	2	1		9999		" "	9	38	"15"		3	3.0
16.1	9	39	1	1	3	1		" "	2007	66	9	" "	4.0	25.0	1	1	2	150	1	500	1	11	2	1		9999		" "	9	44	"16.1"		3	3.0
16.1			1	1	10	1		" "	2018	66	12	" "	2.0	15.0	2	1	2	200	1	300	1	66	9					" "			"16.1"		3	3.0
16.2	9	31	4	1	10	1		" "	2018	66	1	" "	0.5	10.0	2	1	1	0	1	200	1	66	9					" "	9	35	"16.2"		3	3.0
17.0	9	17	1	1	4	1		" "	2006	1	2	" "	1.0	10.0	2	2								5	8	2014	3	" "	9	23	"17"		3	3.0
17.0			1	1	5	1		" "	2008	1	2	" "	1.0	10.0	2	2								5	8	2017	21	" "			"17"		3	3.0
18.1	10	28	4	1	6	1		" "	2017	1	1	" "	1.0	20.0	1	1	1	0	2		1	1	1	1		9999		" "	10	32	"18.1"		3	3.0
18.2	9	52	3	1	7			" "				" "																" "	9	55	"18.2"	1	3	3.0
19.0	9	42	1	1	99			" "				" "																" "	9	42	"19"		3	3.0
21.0	8	42	1	1	3	1		" "	2009	1	10	" "	1.0	10.0	2	2								1		2010	3	" "	8	45	"21"		2	3.0
22.0	9	10	1	1	99			" "				" "																" "	9	11	"22"		2	3.0
23.0	9	1	4	1	3	1		" "	2001	1	1	" "	0.25	5.0	2	2								1		2005	3	" "	9	9	"23"		2	3.0
23.0			4	1	4	1		" "	2005	1	1	" "	0.25	5.0	2	2								5		2011	3	" "			"23"		2	3.0
23.0			4	1	6	1		" "	2004	1	2	" "	0.5	10.0	2	2								5	8	2017	21	" "			"23"		2	3.0
24.0	8	25	1	1	3	1		" "	2000	1	1	" "	0.5	5.0	2	2								1		2005	2	" "	8	25	"24"		2	3.0
24.0			1	1	4	1		" "	2006	1	1	" "	0.5	5.0	2	2								5		2011	2	" "			"24"		2	3.0
26.0	9	4	1	1	3	1		" "	2010	1	2	" "	0.5	10.0	1	1	2	32	2		1	6	2	5		9999		" "	9	8	"26"		2	3.0
26.0			1	1	6	1		" "	2015	1	1	" "	0.25	5.0	1	1	1	0	1	300	5	4	2	5		9999		" "			"26"		2	3.0
27.0	8	41	1	1	3	1		" "	2016	66	1	" "	1.0	10.0	1	1	1	0	1	600	5	2	2	5		9999		" "	8	45	"27"		2	3.0
28.0	8	54	1	1	5	1		" "	2011	66	7	" "	1.5	30.0	1	1	2	50	2		1	6	2	5		9999		" "	8	58	"28"		2	3.0
29.0	8	26	1	1	3	1		" "	2015	66	1	" "	0.5	10.0	1	1	1	0	1	200	5	3	2	5	6	9999		" "	8	35	"29"		2	3.0
29.0			1	1	4	1		" "	2017	66	8	" "	1.5	25.0	1	1	2	200	2		1	1	2	1		9999		" "			"29"		2	3.0
29.0			1	1	6	1		" "	2014	66	1	" "	0.5	10.0	1	1	1	0	1	250	5	4	2	5	6	9999		" "			"29"		2	3.0
30.1	8	52	1	1	3	1		" "	2008	66	2	" "	0.5	10.0	1	1	2	100	1	300	1	10	2	5		9999		" "	8	56	"30.1"		2	3.0
30.1			1	1	6	1		" "	2017	66	12	" "	1.0	20.0	1	1	2	200	2		1	66	1	1		9999		" "			"30.1"		2	3.0
30.2	15	24	4	1	99			" "				" "																" "	15	24	"30.2"		2	3.0
31.0	9	0	1	1	3	1		" "	2006	1	2	" "	1.0	10.0	2	2								5		2013	22	" "	9	10	"31"		2	3.0
31.0			1	1	4	1		" "	2008	1	2	" "	1.0	15.0	2	2								8		2014	9	" "			"31"		2	3.0
32.0	8	30	1	1	4	1		" "	1999	1	2	" "	0.5	10.0	2	2								1		2006	9	" "	8	35	"32"		2	3.0
32.0			1	1	6	1		" "	2017	66	1	" "	0.5	10.0	2	1	1	0	1	200	5	1	1	6	5	9999		" "			"32"		2	3.0
33.0	8	58	1	1	3	1		" "	2008	1	2	" "	1.0	16.0	1	1	2	0	1	500	1	22	1	5		9999		" "	9	3	"33"		2	3.0
34.0	10	15	2	1	3	1		" "	2013	1	2	" "	1.0	10.0	1	1	2	30	1	2000	1	7	2	1		9999		" "	10	20	"34"		2	3.0
35.0	13	40	3	1	99			" "				" "																" "	13	40	"35"		2	3.0
36.0	16	5	1	1	3	1		" "	2002	1	1	" "	2.0	10.0	2	2								1		2007	3	" "	16	20	"36"		2	3.0
36.0			1	1	4	1		" "	2004	1	2	" "	2.0	10.0	2	2								5		2015	3	" "			"36"		2	3.0
36.0			1	1	5	1		" "	2010	66	2	" "	2.0	10.0	1	1	2	0	1	600	1	8	2	5		9999		" "			"36"		2	3.0
36.0			1	1	6	1		" "	2006	1	2	" "	1.0	8.0	2	2								5		2013	9	" "			"36"		2	3.0
37.0	8	46	1	1	3	1		" "	2008	1	1	" "	1.0	10.0	2	2								5		2010	2	" "	8	55	"37"		2	3.0
37.0			1	1	4	1		" "	2013	66	12	" "	1.0	10.0	1	1	2	200	1	1300	1	5	2	1		9999		" "			"37"		2	3.0
38.1	8	45	1	1	4	1		" "	2008	66	2	" "	0.5	6.0	2	2								5		2017	21	" "	8	50	"38.1"		2	3.0
38.2	18	6	3	1	6	1		" "	2004	66	2	" "	1.0	15.0	2	2								5		2011	21	" "	18	10	"38.2"		2	3.0
39.0	8	31	1	1	3	1		" "	2017	66	1	" "	0.1	4.0	1	1	1	0	2		5	1	2	1		9999		" "	8	40	"39"		2	3.0
39.0			1	1	7	1		" "	2007	66	9	" "	1.0	10.0	1	1	2	90	1	2000	1	11	2	5		9999		" "			"39"		2	3.0
40.0	16	0	1	1	3	1		" "	2012	1	2	" "	1.0	10.0	1	1	2	0	1	350	1	7	2	1		9999		" "	16	10	"40"		2	3.0
40.0			1	1	4	1		" "	2017	66	2	" "	0.25	5.0	1	1	2	0	2		1	1	2	1		9999		" "			"40"		2	3.0
40.0			1	1	5	1		" "	2018	66	2	" "	0.25	5.0	2	1	2	0	2		1	66	9					" "			"40"		2	3.0
41.0	9	15	1	1	4	1		" "	2007	1	1	" "	2.0	20.0	1	1	1	0	2		1	9	2	1		9999		" "	9	20	"41"		2	3.0
