a01	stime_h_c	stime_m_c	res_id_c	consent_c	mid_c	c01	c02	c02oth	c03	c04	c05	c05oth	c06	c07	c08	c09	c10	c11	c12	c13	c14	hhid2	hh_type	round
1.0	9	27	1	1	1	1		" "			64	" "	1	7	6.0	3					10157.0	"1"	3	3.0
1.0			1	1	1	1		" "			68	" "	2	6	2.0	3					11567.0	"1"	3	3.0
1.0			1	1	1	1		" "			70	" "	3	7	1.0	3					0.0	"1"	3	3.0
1.0			1	1	2	1		" "			69	" "	4	7	1.0	3					120.0	"1"	3	3.0
1.0			1	1	4	2		" "			64	" "	5	6	4.0	4						"1"	3	3.0
1.0			1	1	4	2		" "			70	" "	6	7	1.0	4						"1"	3	3.0
2.0	13	59	1	1	1	1		" "			68	" "	1	7	1.0	3					14250.0	"2"	3	3.0
2.0			1	1	1	1		" "			65	" "	2	7	2.0	3					3500.0	"2"	3	3.0
2.0			1	1	2	8		" "				" "										"2"	3	3.0
2.0			1	1	3	1		" "			46	" "	3	6	4.0	3					8000.0	"2"	3	3.0
2.0			1	1	4	5		" "				" "										"2"	3	3.0
3.1	8	58	1	1	1	1		" "			52	" "	1	7	3.0	3					5000.0	"3.1"	3	3.0
3.1			1	1	2	1		" "			69	" "	2	7	1.0	3					50.0	"3.1"	3	3.0
3.2	9	39	3	1	3	1		" "			1	" "	1	6	8.0	1	400	0	2		10000.0	"3.2"	3	3.0
3.2			3	1	3	1		" "			70	" "	2	7	1.0	3					1500.0	"3.2"	3	3.0
3.2			3	1	4	2		" "			70	" "	3	7	1.0	4						"3.2"	3	3.0
4.0	9	22	2	1	1	2		" "			64	" "	1	7	2.0	4						"4"	3	3.0
4.0			2	1	1	2		" "			68	" "	2	7	3.0	4						"4"	3	3.0
4.0			2	1	2	1		" "			64	" "	3	7	2.0	3					1250.0	"4"	3	3.0
4.0			2	1	2	1		" "			68	" "	4	7	3.0	3					10000.0	"4"	3	3.0
4.0			2	1	3	4		" "		3		" "										"4"	3	3.0
4.0			2	1	5	1		" "			69	" "	5	7	1.0	3					100.0	"4"	3	3.0
5.0	9	2	1	1	1	1		" "			68	" "	1	7	4.0	3					30000.0	"5"	3	3.0
5.0			1	1	1	1		" "			64	" "	2	7	1.0	3					3850.0	"5"	3	3.0
5.0			1	1	1	1		" "			70	" "	3	7	1.0	3					5000.0	"5"	3	3.0
5.0			1	1	2	8		" "				" "										"5"	3	3.0
5.0			1	1	3	5		" "				" "										"5"	3	3.0
5.0			1	1	4	5		" "				" "										"5"	3	3.0
6.0	9	25	1	1	1	1		" "			22	" "	1	7	1.0	3					6000.0	"6"	3	3.0
6.0			1	1	1	1		" "			1	" "	2	7	4.0	1	350	50	2		8000.0	"6"	3	3.0
6.0			1	1	1	2		" "			69	" "	3	2	1.0	4						"6"	3	3.0
6.0			1	1	2	1		" "			69	" "	4	7	1.0	3					0.0	"6"	3	3.0
6.0			1	1	2	1		" "			21	"FRAM A KAJ KORE"	5	7	1.0	2					2000.0	"6"	3	3.0
6.0			1	1	3	5		" "				" "										"6"	3	3.0
6.0			1	1	4	2		" "			69	" "	6	7	1.0	4						"6"	3	3.0
6.0			1	1	5	5		" "				" "										"6"	3	3.0
6.0			1	1	6	5		" "				" "										"6"	3	3.0
