a01	stime_h_g	stime_m_g	res_id_g	consent_g	plotid	g01	g02_1	g02	g20	g03	g04	g05	g06	g21	g22	g23	g07	g08a	g08b	g08c	g09a	g09b	g09c	g10	g11	g12	g13a	g13b	g13c	g14	g15a	g15b	g15c	g16a	g16b	g16c	g17a	g17b	g17c	g18a	g18b	g18c	g19a	g19b	g19c	etime_h_g	etime_m_g	hhid2	flag_g	flag_1	hh_type	round
1.0	10	10	1	1	1	1	10.0	10.0	0	0	0.0	4	1					1			1			700000	3	2000	1			4																10	25	"1"		0	3	3.0
1.0			1	1	2	2	0.0	0.0	10																																							"1"		0	3	3.0
1.0			1	1	3	2	52.0	0.0	3																																							"1"		0	3	3.0
1.0			1	1	4	12	7.0	0.0	3																																							"1"		0	3	3.0
1.0			1	1	5	2	0.0	75.0	7	500	2.0	4	3	1	2	1	2500.0	72			72			800000	6	2018	1			1	1	4	72	1			1			1			1					"1"		1	3	3.0
1.0			1	1	6	2	0.0	17.0	7	500	0.0	3	3	1	2	1	450.0	72			72			300000	6	2015	1			1	1	4	72	1	4		1			1	4		1					"1"		1	3	3.0
2.0	14	48	1	1	1	1	10.0	10.0	0	0	0.0	4	1					1			1			100000	3	1982	98			4																14	54	"2"		0	3	3.0
2.0			1	1	2	2	0.0	116.0	7	1500	3.0	1	3	1	2	1	4333.0	72			72			1344000	6	2015	1			1	1	72	3	1			1			1			1					"2"		1	3	3.0
3.1	9	55	1	1	1	1	3.0	3.0	0	0	0.0	4	1					1			1			50000	3	2008	1			4																10	1	"3.1"		0	3	3.0
3.1			1	1	2	2	78.0	78.0	0	1000	0.0	4	6				2500.0	1			1			450000	3	2008	72			9																		"3.1"		0	3	3.0
3.1			1	1	3	2	0.0	0.0	10																																							"3.1"		0	3	3.0
3.1			1	1	4	4	2.0	2.0	0	10	0.0	4	1					1			1			25000	3	2008	1			5																		"3.1"		0	3	3.0
3.1			1	1	5	12	5.0	0.0	3																																							"3.1"		0	3	3.0
3.2	10	9	3	1	1	1	3.0	3.0	0	0	0.0	4	1					72			72			50000	3	2008	98			4																10	13	"3.2"		0	3	3.0
4.0	10	1	2	1	1	1	7.0	7.0	0	0	0.0	4	1					1	2		1	2		100000	3	1997	98			4																10	6	"4"		0	3	3.0
4.0			2	1	2	2	32.0	32.0	0	0	0.0	4	2					1	2		1	2		400000	3	1998	1	2		1	1	2		2			2			2			2					"4"		1	3	3.0
4.0			2	1	3	4	13.0	13.0	0	0	0.0	4	1					1	2		1	2		200000	3	1997	98			5																		"4"		0	3	3.0
4.0			2	1	4	2	0.0	0.0	10																																							"4"		0	3	3.0
4.0			2	1	5	2	0.0	0.0	10																																							"4"		0	3	3.0
4.0			2	1	6	4	10.0	10.0	0	200	0.0	4	1					1	2		1	2		150000	3	1997	98			5																		"4"		0	3	3.0
4.0			2	1	7	2	0.0	78.0	7	150	3.0	1	3	3	1	1	2500.0	72			72			750000	6	2017	1	2		1	1	2		2			2			2			2					"4"		1	3	3.0
5.0	9	41	1	1	1	1	15.0	15.0	0	0	0.0	4	1					1			1			180000	3	1980	98			4																9	50	"5"		0	3	3.0
5.0			1	1	2	2	208.0	208.0	0	200	2.0	4	2					1			1			2000000	3	1980	1			1	1	72		1			1			1			1					"5"		1	3	3.0
5.0			1	1	3	2	20.0	20.0	0	200	0.0	4	6				220.0	1			1			160000	3	1980	72			9																		"5"		0	3	3.0
5.0			1	1	4	2	188.0	188.0	0	1200	2.0	4	6				2900.0	1			1			1520000	3	1980	72			9																		"5"		0	3	3.0
5.0			1	1	5	2	75.0	75.0	0	1000	0.0	4	6				666.0	1			1			500000	3	1980	72			9																		"5"		0	3	3.0
5.0			1	1	6	2	140.0	140.0	0	800	1.0	4	6				2500.0	1			1			800000	3	1980	72			9																		"5"		0	3	3.0
5.0			1	1	7	2	35.0	35.0	0	600	2.0	4	6				250.0	1			1			190000	3	1980	72			9																		"5"		0	3	3.0
5.0			1	1	8	2	18.0	18.0	0	900	2.0	4	6				200.0	1			1			110000	3	1980	72			9																		"5"		0	3	3.0
5.0			1	1	9	8	18.0	18.0	0	20	2.0	4	2					1			1			128000	3	1980	1			2	1	72		1			1			1			1					"5"		0	3	3.0
6.0	9	57	1	1	1	1	13.0	13.0	0	0	0.0	4	1					1			1			150000	3	2000	98			4																10	2	"6"		0	3	3.0
6.0			1	1	2	2	52.0	52.0	0	500	2.0	4	6				1300.0	1			1			500000	3	2000	98			9																		"6"		0	3	3.0
6.0			1	1	3	2	13.0	13.0	0	700	2.0	4	6				200.0	1			1			100000	3	2000	98			9																		"6"		0	3	3.0
6.0			1	1	4	8	8.0	8.0	0	100	3.0	4	1					1	72		1	72		80000	3	2000	98			7																		"6"		0	3	3.0
7.0	10	41	1	1	1	1	13.0	13.0	0	0	0.0	4	1					1			1			800000	3	2008	98			4																10	57	"7"		0	3	3.0
7.0			1	1	2	2	25.0	25.0	0	500	0.0	4	6				1083.0	1			1			1000000	1	2006	98			9																		"7"		0	3	3.0
7.0			1	1	3	2	418.0	418.0	0	1500	4.0	1	3	1	1	2	6667.0	1	72		1	72		3500000	3	2008	1			2	1	6	72	1			1			1			1					"7"		0	3	3.0
7.0			1	1	4	2	63.0	63.0	0	500	4.0	1	6				1667.0	1			1			1100000	3	2008	1			9																		"7"		0	3	3.0
7.0			1	1	5	8	25.0	25.0	0	100	5.0	1	1					1	72		1	72		350000	3	2008	98			7																		"7"		0	3	3.0
8.0	10	50	1	1	1	1	10.0	10.0	0	0	0.0	4	1					1			1			300000	3	1980	1			4																11	3	"8"		0	3	3.0
8.0			1	1	2	1	346.0	346.0	0	2000	3.0	4	6				11100.0	1			1			5323076	1	1991	98			9																		"8"		0	3	3.0
8.0			1	1	3	2	52.0	52.0	0	200	3.0	5	6				1668.0	1			1			800000	1	1988	98			9																		"8"		0	3	3.0
8.0			1	1	4	2	52.0	52.0	0	200	4.0	5	6				1668.0	1			1			800000	1	1991	98			9																		"8"		0	3	3.0
8.0			1	1	5	2	88.0	88.0	0	100	4.0	5	2					1			1			1353846	1	2010	1			2	1	72		1			1			1			1					"8"		0	3	3.0
8.0			1	1	6	10	80.0	80.0	0	500	0.0	4	1					1			1			1150000	1	1981	98			8																		"8"		0	3	3.0
9.0	17	16	1	1	1	1	13.0	13.0	0	0	0.0	4	1					1			1			200000	3	2011	98			4																17	25	"9"		0	3	3.0
9.0			1	1	2	2	0.0	0.0	10																																							"9"		0	3	3.0
9.0			1	1	3	2	24.0	0.0	3																																							"9"		0	3	3.0
9.0			1	1	4	2	0.0	28.0	7	600	0.0	4	3	3	2	1	1000.0	72			72			400000	6	2016	1			1	1	2	72	1	2		1	2		1			1	2				"9"		1	3	3.0
10.1	15	31	3	1	1	1	22.0	22.0	0	0	0.0	4	1					3			1			450000	3	2014	98			4																15	37	"10.1"		0	3	3.0
10.1			3	1	2	2	104.0	104.0	0	300	4.0	4	6				3500.0	1			1			1000000	3	2014	72			9																		"10.1"		0	3	3.0
10.1			3	1	3	2	0.0	0.0	10																																							"10.1"		0	3	3.0
10.1			3	1	4	8	0.0	0.0	10																																							"10.1"		0	3	3.0
10.1			3	1	5	8	0.0	0.0	10																																							"10.1"		0	3	3.0
10.1			3	1	6	8	3.0	3.0	0	100	3.0	1	1					1			1			50000	3	2014	98			7																		"10.1"		0	3	3.0
10.1			3	1	7	2	0.0	0.0	10																																							"10.1"		0	3	3.0
10.1			3	1	8	2	32.0	32.0	0	1000	0.0	4	2					3			1			480000	3	2007	1			1	1	72		1			1			1			1					"10.1"		1	3	3.0
10.1			3	1	9	2	32.0	0.0	3																																							"10.1"		0	3	3.0
10.2	14	9	3	1	1	1	0.0	0.0	10																																					14	18	"10.2"		0	3	3.0
10.2			3	1	2	2	0.0	0.0	10																																							"10.2"		0	3	3.0
10.2			3	1	3	2	0.0	0.0	10																																							"10.2"		0	3	3.0
10.2			3	1	4	8	0.0	0.0	10																																							"10.2"		0	3	3.0
10.2			3	1	5	8	0.0	0.0	10																																							"10.2"		0	3	3.0
10.2			3	1	6	9	0.0	0.0	10																																							"10.2"		0	3	3.0
10.2			3	1	7	2	57.0	57.0	0	1000	3.0	4	6				1250.0	3			72			600000	3	2012	3			9																		"10.2"		0	3	3.0
10.2			3	1	8	1	20.0	20.0	0	0	0.0	4	1					3			72			270000	3	2000	3			4																		"10.2"		0	3	3.0
10.2			3	1	9	2	26.0	26.0	0	1000	0.0	4	2					3			72			250000	3	2001	3			1	3	72		3			3			3			3					"10.2"		1	3	3.0
10.2			3	1	10	2	45.0	0.0	3																																							"10.2"		0	3	3.0
11.1	9	45	1	1	1	1	16.0	8.0	2	0	0.5	4	1					1			1			250000	3	1991	98			4																9	57	"11.1"		0	3	3.0
11.1			1	1	2	4	6.0	6.0	0	100	1.0	4	1					1			1			150000	3	1991	98			5																		"11.1"		0	3	3.0
11.1			1	1	3	2	5.0	5.0	0	100	1.0	4	2					1			1			120000	3	1991	1			1	1	2		1			1			1			1					"11.1"		1	3	3.0
11.1			1	1	4	9	6.0	6.0	0	60	4.0	1	1					1	72		1	72		70000	3	1991	98			7																		"11.1"		0	3	3.0
11.2	14	53	4	1	1	1	16.0	4.0	2	0	0.5	4	1					4			72			100000	3	2018	1			4																14	59	"11.2"		0	3	3.0
11.2			4	1	2	4	6.0	0.0	2																																							"11.2"		0	3	3.0
11.2			4	1	3	2	5.0	0.0	2																																							"11.2"		0	3	3.0
11.2			4	1	4	9	6.0	0.0	2																																							"11.2"		0	3	3.0
11.3	10	55	3	1	1	1	16.0	0.0	2																																					11	10	"11.3"		0	3	3.0
11.3			3	1	2	2	6.0	0.0	2																																							"11.3"		0	3	3.0
11.3			3	1	3	2	5.0	0.0	2																																							"11.3"		0	3	3.0
11.3			3	1	4	8	6.0	0.0	2																																							"11.3"		0	3	3.0
11.3			3	1	5	1	0.0	2.0	7	0	2.0	4	3	3	2	1	500.0	72			72			200000	6	2017	98			4																		"11.3"		0	3	3.0
12.0	10	48	1	1	1	1	8.0	8.0	0	0	0.0	4	1					1			1			100000	3	1988	1			4																11	2	"12"		0	3	3.0
12.0			1	1	2	4	3.0	3.0	0	50	0.0	4	1					1			1			35000	3	1988	98			5																		"12"		0	3	3.0
12.0			1	1	3	9	4.0	4.0	0	30	3.0	4	1					1			1			50000	3	1988	1			7																		"12"		0	3	3.0
12.0			1	1	4	2	12.5	0.0	3																																							"12"		0	3	3.0
12.0			1	1	5	2	0.0	17.0	7	500	2.0	4	5	2	2	1		72			72			300000	6	2018	1			1	1	72		1			1			1			1					"12"		1	3	3.0
13.0	10	33	1	1	1	1	2.0	2.0	0	100	0.0	4	1					1			1			60000	3	2001	98			4																10	40	"13"		0	3	3.0
13.0			1	1	2	2	0.0	0.0	10																																							"13"		0	3	3.0
13.0			1	1	3	2	0.0	0.0	10																																							"13"		0	3	3.0
13.0			1	1	4	1	10.0	10.0	0	0	0.0	2	1					1			1			260000	1	2012	1			4																		"13"		0	3	3.0
14.0	12	2	1	1	1	1	15.0	15.0	0	0	0.0	4	1					1			1			200000	1	2011	98			4																12	40	"14"		0	3	3.0
14.0			1	1	2	10	10.0	10.0	0	300	0.0	4	1					1			1			150000	1	1981	98			8																		"14"		0	3	3.0
14.0			1	1	3	10	5.0	5.0	0	400	0.0	4	1					1			1			80000	1	1985	98			8																		"14"		0	3	3.0
14.0			1	1	4	4	10.0	10.0	0	0	0.0	4	1					1			1			130000	3	1987	98			5																		"14"		0	3	3.0
14.0			1	1	5	4	52.0	52.0	0	400	0.0	4	1					1			1			700000	3	1987	98			5																		"14"		0	3	3.0
14.0			1	1	6	4	12.0	12.0	0	500	1.0	4	1					1			1			140000	3	1987	98			5																		"14"		0	3	3.0
14.0			1	1	7	2	52.0	52.0	0	500	3.0	4	2					1			1			500000	3	1987	1			1	7	72		1	7		1	7		1	7		1	7				"14"		1	3	3.0
14.0			1	1	8	2	104.0	104.0	0	560	3.0	4	2					1			1			1000000	1	1995	1			1	7	72		1	7		1	7		1	7		1	7				"14"		1	3	3.0
14.0			1	1	9	2	55.0	55.0	0	600	3.0	4	6				1417.0	1			1			550000	1	2002	98			9																		"14"		0	3	3.0
14.0			1	1	10	2	20.0	20.0	0	700	3.0	4	2					1			1			210000	3	1987	1			2	7	72		1	7		1	7		7			1	7				"14"		0	3	3.0
14.0			1	1	11	2	104.0	0.0	3																																							"14"		0	3	3.0
14.0			1	1	12	2	26.0	0.0	3																																							"14"		0	3	3.0
14.0			1	1	13	10	5.0	5.0	0	700	0.0	4	1					1			1			70000	3	1987	98			8																		"14"		0	3	3.0
14.0			1	1	14	10	10.0	10.0	0	800	0.0	4	1					1			1			130000	3	1987	98			8																		"14"		0	3	3.0
14.0			1	1	15	9	6.0	6.0	0	0	3.0	1	1					1			1			60000	3	1987	98			7																		"14"		0	3	3.0
14.0			1	1	16	9	7.0	7.0	0	10	4.0	1	1					1			1			70000	3	1987	98			7																		"14"		0	3	3.0
14.0			1	1	17	2	104.0	0.0	3																																							"14"		0	3	3.0
15.0	10	34	1	1	1	1	5.0	5.0	0	0	0.0	4	1					1			1			100000	3	1990	1			4																10	46	"15"		0	3	3.0
15.0			1	1	2	4	32.0	32.0	0	500	0.0	2	1					1			1			500000	3	1998	98			5																		"15"		0	3	3.0
15.0			1	1	3	2	65.0	65.0	0	1000	3.0	4	2					1			1			750000	3	1990	1			1	1	72		1	2		1	2		1	2		1	2				"15"		1	3	3.0
15.0			1	1	4	2	90.0	0.0	3																																							"15"		0	3	3.0
15.0			1	1	5	2	78.0	0.0	3																																							"15"		0	3	3.0
16.1	10	45	1	1	1	1	12.5	12.5	0	0	0.0	4	1					1			1			3500000	3	2014	98			4																11	3	"16.1"		0	3	3.0
16.1			1	1	2	2	26.0	26.0	0	10	0.0	4	2					1			1			340000	3	2014	1			1	1	72		1			1			1			1					"16.1"		1	3	3.0
16.1			1	1	3	2	0.0	0.0	10																																							"16.1"		0	3	3.0
16.1			1	1	4	2	78.0	78.0	0	2000	3.0	4	6				2500.0	1			1			1000000	3	2014	98			9																		"16.1"		0	3	3.0
16.1			1	1	5	2	52.0	52.0	0	1500	3.0	4	6				1667.0	1			1			700000	3	2014	98			9																		"16.1"		0	3	3.0
16.1			1	1	6	2	26.0	26.0	0	3000	4.0	4	6				833.0	1			1			340000	3	2014	98			9																		"16.1"		0	3	3.0
16.1			1	1	7	5	6.5	6.5	0	0	0.0	4	1					1			1			180000	3	2014	98			7																		"16.1"		0	3	3.0
16.1			1	1	8	7	1.5	1.5	0	3000	0.0	4	6				2000.0	1			1			1700000	3	2014	98			9																		"16.1"		0	3	3.0
16.1			1	1	9	2	15.0	15.0	0	300	2.0	4	6				480.0	1			1			130000	3	2014	98			9																		"16.1"		0	3	3.0
16.1			1	1	10	2	52.0	52.0	0	300	3.0	4	2					1			1			700000	3	2014	1			1	1	72		1			1			1			1					"16.1"		1	3	3.0
16.1			1	1	11	12	12.0	0.0	3																																							"16.1"		0	3	3.0
16.2	10	41	4	1	1	1	12.5	12.5	0	0	0.0	4	1					4			4			700000	3	2014	4			4																11	2	"16.2"		0	3	3.0
16.2			4	1	2	2	26.0	26.0	0	0	0.0	4	2					4			4			100000	3	2014	4			1	4	5	72	4	5		4	5		4			4	5				"16.2"		1	3	3.0
16.2			4	1	3	2	312.0	312.0	0	1500	3.0	4	2					4			4			3600000	3	2014	4			2	4	72		4	5		4	5		4			4	5				"16.2"		0	3	3.0
16.2			4	1	4	2	78.0	78.0	0	2000	4.0	4	6				2500.0	4			4			1200000	3	2014	98			9																		"16.2"		0	3	3.0
16.2			4	1	5	2	52.0	52.0	0	1600	4.0	4	6				1667.0	4			4			800000	3	2014	98			9																		"16.2"		0	3	3.0
16.2			4	1	6	2	26.0	26.0	0	3000	3.0	4	6				833.0	4			4			400000	3	2014	98			9																		"16.2"		0	3	3.0
16.2			4	1	7	5	6.5	6.5	0	0	0.0	4	1					4			4			250000	3	2014	98			9																		"16.2"		0	3	3.0
16.2			4	1	8	7	1.5	1.5	0	3000	0.0	4	6				2000.0	4			4			2500000	3	2014	98			7																		"16.2"		0	3	3.0
16.2			4	1	9	2	15.0	15.0	0	3000	2.0	4	6				480.0	4			4			320000	3	2014	98			9																		"16.2"		0	3	3.0
16.2			4	1	10	2	0.0	0.0	10																																							"16.2"		0	3	3.0
16.2			4	1	11	12	0.0	0.0	10																																							"16.2"		0	3	3.0
17.0	10	17	1	1	1	1	15.0	15.0	0	0	0.0	4	1					1			1			250000	1	1998	1			4																10	27	"17"		0	3	3.0
17.0			1	1	2	2	0.0	156.0	7	500	2.0	5	4	1	2	1		72			72			180000	1	2018	1			1	1	4	72	1	2		1	2		1	2		1	2				"17"		1	3	3.0
18.1	11	37	4	1	1	1	30.0	30.0	0	0	0.0	4	1					4			72			500000	3	2017	4			4																11	52	"18.1"		0	3	3.0
18.1			4	1	2	2	0.0	0.0	10																																							"18.1"		0	3	3.0
18.1			4	1	3	4	126.0	0.0	2																																							"18.1"		0	3	3.0
18.1			4	1	4	2	150.0	150.0	0	400	3.0	4	3	1	1	2	800.0	4	72		72			1000000	3	2017	4			1	4	72		4			4			4			4					"18.1"		1	3	3.0
18.1			4	1	5	2	0.0	0.0	10																																							"18.1"		0	3	3.0
18.1			4	1	6	2	13.0	13.0	0	800	3.0	4	6				500.0	4			72			100000	3	2017	72			9																		"18.1"		0	3	3.0
18.1			4	1	7	2	0.0	0.0	10																																							"18.1"		0	3	3.0
18.1			4	1	8	8	20.0	20.0	0	10	3.0	4	1					4			72			200000	3	2017	98			7																		"18.1"		0	3	3.0
18.2	11	35	3	1	1	1	0.0	0.0	10																																					11	58	"18.2"		0	3	3.0
