a01	stime_h_j	stime_m_j	res_id_j	consent_j	j1	j1_01	j1_01b	j1_02a	j1_02b2	j1_02b1	j1_02b1_ngo	j1_02b1_ngo2	j1_02c	j1_02coth	j1_03a	j1_03b	j1_03c	j1_03d	j1_03e	j1_03f	j1_03g	j1_03h	j1_03i	j1_03j	j1_03k	j1_03l	j1_03m	j1_03n	j1_03o	j1_03ooth	j1_03p	j1_04	j1_4a1_1	j1_4a1_2	j1_4a1_3	j1_5a	j1_05b	j1_5b	j1_5b_ngo	j1_5b_ngo2	j1_5c	j1_5coth	j1_06a	j1_06b	j1_06c	j1_06d	j1_06e	j1_06f	j1_06g	j1_06h	j1_06i	j1_06j	j1_06k	j1_06l	j1_06m	j1_06n	j1_06o	j1_06ooth	j1_06p	j1_07	j1_07oth	j1_08	j1_09	j1_09a	j1_09b	j1_09c	j1_09d	j1_09e	j1_09f	j1_09g	j1_09h	j1_09i	j1_09j	j1_09k	j1_09l	j1_09m	j1_09n	j1_09o	j1_09ooth	j1_09p	j1_10	j1_10oth	j1_11	j1_12	hhid2	hh_type	round
1.0	12	1	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"1"	3	3.0
2.0	15	58	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2"	3	3.0
3.1	10	33	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"3.1"	3	3.0
3.2	10	41	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"3.2"	3	3.0
4.0	10	58	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"4"	3	3.0
5.0	11	18	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"5"	3	3.0
6.0	10	32	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"6"	3	3.0
7.0	11	31	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"7"	3	3.0
8.0	11	39	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"8"	3	3.0
9.0	14	20	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"9"	3	3.0
10.1	16	38	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"10.1"	3	3.0
10.2	15	28	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"10.2"	3	3.0
11.1	10	51	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"11.1"	3	3.0
11.2	15	31	4	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"11.2"	3	3.0
11.3	12	2	3	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"11.3"	3	3.0
12.0	12	11	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"12"	3	3.0
13.0	11	9	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"13"	3	3.0
14.0	13	57	1	1	1	1	1	4	1	0		" "	0	" "	1	2	1	2	1	2	1	2	1	2	2		2		2	" "		1	1			1	1	0		" "	0	" "	2		2		2		1	1	1	1	2		2		2	" "			" "	2																	" "		1	" "	1	1	"14"	3	3.0
15.0	11	56	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"15"	3	3.0
16.1	12	25	1	1	1	1	1	6	1	0		" "	0	" "	1	1	1	1	2		1	2	1	2	1	2	2		2	" "		1	1			1	1	0		" "	0	" "	2		2		2		1	1	1	1	2		2		2	" "			" "	2																	" "		1	" "	1	1	"16.1"	3	3.0
16.2	12	3	4	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"16.2"	3	3.0
17.0	12	48	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"17"	3	3.0
18.1	14	20	4	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"18.1"	3	3.0
18.2	14	36	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"18.2"	3	3.0
19.0	11	32	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"19"	3	3.0
21.0	10	10	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"21"	2	3.0
22.0	10	10	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"22"	2	3.0
23.0	15	4	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"23"	2	3.0
24.0	12	0	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"24"	2	3.0
26.0	11	2	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"26"	2	3.0
27.0	12	1	1	1	1	2						" "		" "																" "		1	1			1	1	0		" "	0	" "	1	1	1	1	1	1	1	1	1	1	2		2		2	" "			" "	2																	" "		2	" "	1	1	"27"	2	3.0
28.0	12	46	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"28"	2	3.0
29.0	10	4	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"29"	2	3.0
30.1	9	44	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"30.1"	2	3.0
30.2	16	33	4	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"30.2"	2	3.0
31.0	12	0	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"31"	2	3.0
32.0	11	40	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"32"	2	3.0
33.0	15	41	1	1	1	2						" "		" "																" "		1	1			0		0		" "	3	" "	1	2	1	2	2		1	2	1	2	1	2	2		2	" "			" "	2																	" "		1	" "	1	1	"33"	2	3.0
34.0	12	0	5	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"34"	2	3.0
35.0	14	30	3	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"35"	2	3.0
36.0	11	30	1	1	1	1	3	2	3	0		" "	0	" "	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	" "		2								" "		" "																" "			" "	1	1	2		1	1	1	1	1	1	1	1	1	1	1	1	2	" "			" "	1	3	"36"	2	3.0
37.0	12	10	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"37"	2	3.0
38.1	12	41	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"38.1"	2	3.0
38.2	14	20	3	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"38.2"	2	3.0
