a01	j2a_01	j2a_02	j2a_03y	j2a_03m	j2a_04	j2a_04oth	j2a_05	j2a_06	j2a_09	j2a_09oth	j2a_10	j2a_10oth	etime_h_j	etime_m_j	hhid2	hh_type	round
1.0	1	2				" "				" "		" "	12	9	"1"	3	3.0
2.0	1	2				" "				" "		" "	16	4	"2"	3	3.0
3.1	1	2				" "				" "		" "	10	38	"3.1"	3	3.0
3.2	1	2				" "				" "		" "	10	44	"3.2"	3	3.0
4.0	1	2				" "				" "		" "	11	5	"4"	3	3.0
5.0	1	2				" "				" "		" "	11	25	"5"	3	3.0
6.0	1	2				" "				" "		" "	10	37	"6"	3	3.0
7.0	1	2				" "				" "		" "	11	36	"7"	3	3.0
8.0	1	2				" "				" "		" "	11	43	"8"	3	3.0
9.0	1	2				" "				" "		" "	14	25	"9"	3	3.0
10.1	1	2				" "				" "		" "	16	43	"10.1"	3	3.0
10.2	1	2				" "				" "		" "	15	33	"10.2"	3	3.0
11.1	1	2				" "				" "		" "	10	55	"11.1"	3	3.0
11.2	1	2				" "				" "		" "	15	35	"11.2"	3	3.0
11.3	1	2				" "				" "		" "	0		"11.3"	3	3.0
12.0	1	2				" "				" "		" "	12	17	"12"	3	3.0
13.0	1	2				" "				" "		" "	11	13	"13"	3	3.0
14.0	1	2				" "				" "		" "	14	6	"14"	3	3.0
15.0	1	2				" "				" "		" "	12	3	"15"	3	3.0
16.1	1	2				" "				" "		" "	12	32	"16.1"	3	3.0
16.2	1	2				" "				" "		" "	12	9	"16.2"	3	3.0
17.0	1	2				" "				" "		" "	12	53	"17"	3	3.0
18.1	1	2				" "				" "		" "	14	30	"18.1"	3	3.0
18.2	1	2				" "				" "		" "	14	52	"18.2"	3	3.0
19.0	2					" "				" "		" "	11	38	"19"	3	3.0
21.0	1	2				" "				" "		" "	10	16	"21"	2	3.0
22.0	2					" "				" "		" "	10	12	"22"	2	3.0
23.0	1	2				" "				" "		" "	15	9	"23"	2	3.0
24.0	2					" "				" "		" "	12	2	"24"	2	3.0
26.0	1	2				" "				" "		" "	11	7	"26"	2	3.0
27.0	1	1	2006	6	1	" "	2	2	4	" "		" "	12	10	"27"	2	3.0
28.0	1	1	1993	3	2	" "	2	2	3	" "		" "	12	52	"28"	2	3.0
29.0	1	2				" "				" "		" "	10	10	"29"	2	3.0
30.1	1	2				" "				" "		" "	9	47	"30.1"	2	3.0
30.2	1	2				" "				" "		" "	16	34	"30.2"	2	3.0
31.0	2					" "				" "		" "	12	10	"31"	2	3.0
32.0	1	2				" "				" "		" "	11	40	"32"	2	3.0
33.0	1	2				" "				" "		" "	15	54	"33"	2	3.0
34.0	1	2				" "				" "		" "	0		"34"	2	3.0
35.0	1	2				" "				" "		" "	14	32	"35"	2	3.0
36.0	1	2				" "				" "		" "	11	40	"36"	2	3.0
37.0	1	1	2015	4	1	" "	2	2	4	" "		" "	12	20	"37"	2	3.0
38.1	1	2				" "				" "		" "	12	55	"38.1"	2	3.0
38.2	1	2				" "				" "		" "	14	30	"38.2"	2	3.0
39.0	1	1	2012	2	1	" "	2	2	4	" "		" "	12	10	"39"	2	3.0
40.0	1	2				" "				" "		" "	9	40	"40"	2	3.0
41.0	1	1	2016	3	12	" "	1	2	3	" "		" "	12	45	"41"	2	3.0
42.0	1	2				" "				" "		" "	11	45	"42"	2	3.0
43.0	1	2				" "				" "		" "	14	10	"43"	2	3.0
44.0	2					" "				" "		" "	11	45	"44"	2	3.0
45.0	1	2				" "				" "		" "	13	25	"45"	2	3.0
46.0	1	1	2014	12	12	" "	1	3		" "	5	" "	13	2	"46"	2	3.0
47.0	1	2				" "				" "		" "	12	55	"47"	2	3.0
48.0	1	2				" "				" "		" "	12	28	"48"	2	3.0
49.0	1	2				" "				" "		" "	13	15	"49"	2	3.0
50.0	2					" "				" "		" "	11	50	"50"	2	3.0
51.0	1	2				" "				" "		" "	12	55	"51"	2	3.0
52.0	1	2				" "				" "		" "	11	33	"52"	2	3.0
53.0	1	2				" "				" "		" "	11	40	"53"	2	3.0
54.0	1	2				" "				" "		" "	12	25	"54"	2	3.0
56.0	1	2				" "				" "		" "	12	55	"56"	2	3.0
58.0	1	2				" "				" "		" "	11	35	"58"	2	3.0
60.0	1	2				" "				" "		" "	11	15	"60"	2	3.0
61.0	1	2				" "				" "		" "	11	15	"61"	3	3.0
63.0	1	2				" "				" "		" "	15	45	"63"	3	3.0
66.0	1	1	2012	2	10	" "	1	2	3	" "		" "	11	37	"66"	3	3.0
67.0	1	2				" "				" "		" "	9	55	"67"	3	3.0
68.0	1	2				" "				" "		" "	10	40	"68"	3	3.0
69.1	1	2				" "				" "		" "	13	0	"69.1"	3	3.0
69.2	1	2				" "				" "		" "	12	0	"69.2"	3	3.0
70.0	1	2				" "				" "		" "	11	25	"70"	3	3.0
71.0	1	2				" "				" "		" "	14	25	"71"	3	3.0
72.0	1	2				" "				" "		" "	11	0	"72"	3	3.0
73.0	1	2				" "				" "		" "	12	45	"73"	3	3.0
74.0	2					" "				" "		" "	12	35	"74"	3	3.0
75.0	2					" "				" "		" "	11	5	"75"	3	3.0
76.0	1	2				" "				" "		" "	11	43	"76"	3	3.0
78.0	1	2				" "				" "		" "	11	25	"78"	3	3.0
79.0	1	2				" "				" "		" "	10	35	"79"	3	3.0
80.0	1	2				" "				" "		" "	14	20	"80"	3	3.0
81.0	1	2				" "				" "		" "	8	52	"81"	3	3.0
82.0	1	2				" "				" "		" "	16	10	"82"	3	3.0
83.0	1	2				" "				" "		" "	11	40	"83"	3	3.0
84.0	2					" "				" "		" "	14	49	"84"	3	3.0
85.0	1	2				" "				" "		" "	14	57	"85"	3	3.0
86.0	2					" "				" "		" "	9	50	"86"	3	3.0
87.0	2					" "				" "		" "	14	20	"87"	3	3.0
90.0	1	2				" "				" "		" "	11	21	"90"	3	3.0
91.0	2					" "				" "		" "	16	59	"91"	3	3.0
92.0	2					" "				" "		" "	10	56	"92"	3	3.0
93.1	1	2				" "				" "		" "	10	37	"93.1"	3	3.0
93.2	1	2				" "				" "		" "	10	5	"93.2"	3	3.0
94.0	1	2				" "				" "		" "	12	44	"94"	3	3.0
95.0	1	2				" "				" "		" "	10	3	"95"	3	3.0
96.0	2					" "				" "		" "	14	38	"96"	3	3.0
97.0	1	2				" "				" "		" "	12	3	"97"	3	3.0
99.0	1	2				" "				" "		" "	12	4	"99"	3	3.0
100.1	1	2				" "				" "		" "	10	32	"100.1"	3	3.0
101.0	2					" "				" "		" "	9	24	"101"	3	3.0
102.0	1	2				" "				" "		" "	10	0	"102"	3	3.0
103.0	1	2				" "				" "		" "	12	17	"103"	3	3.0
104.0	1	2				" "				" "		" "	10	23	"104"	3	3.0
105.0	1	2				" "				" "		" "	15	15	"105"	3	3.0
106.0	1	2				" "				" "		" "	12	7	"106"	3	3.0
