a01	stime_h_n	stime_m_n	res_id_n	consent_n	n01	bid	n02	n03a	n03b	n03c	n04a	n04b	n04c	n05	n06a	n06b	n07	n08a	n08b	n08c	n09a	n09b	n09c	n10a	n10b	n10c	n11a	n11b	n11c	n12a	n12b	n12c	n13	n14	n15	n16	n17a	n17b	n18	n19	n20a	n20b	n21	n22a	n22b	etime_h_n	etime_m_n	bid_2	n02_2	hhid2	hh_type	round
1.0	13	40	1	1	2																																									13	43			"1"	3	3.0
2.0	17	17	1	1	2																																									0				"2"	3	3.0
3.1	10	47	1	1	1	1	29	1			1			60000	30	0	1							1			1			1			3	12	100.0	100.0	1	3	4	2	2		0	1		10	52	1	29	"3.1"	3	3.0
3.2	11	10	3	1	2																																									0				"3.2"	3	3.0
4.0	11	53	2	1	2																																									0				"4"	3	3.0
5.0	12	35	1	1	2																																									0				"5"	3	3.0
6.0	10	54	1	1	2																																									0				"6"	3	3.0
7.0	13	33	1	1	2																																									0				"7"	3	3.0
8.0	13	9	1	1	2																																									0	0			"8"	3	3.0
9.0	14	59	1	1	2																																									0				"9"	3	3.0
10.1	16	53	3	1	2																																									16	55			"10.1"	3	3.0
10.2	15	44	3	1	2																																									0				"10.2"	3	3.0
11.1	11	29	1	1	2																																									0				"11.1"	3	3.0
11.2	15	55	4	1	2																																									0				"11.2"	3	3.0
11.3	12	52	3	1	2																																									13	0			"11.3"	3	3.0
12.0	12	48	1	1	2																																									12	51			"12"	3	3.0
13.0	11	57	1	1	2																																									0				"13"	3	3.0
14.0	15	59	1	1	2																																									0				"14"	3	3.0
15.0	13	30	1	1	2																																									13	33			"15"	3	3.0
16.1	14	4	1	1	1	1	30	1	2		1			180000	2	6	1							1			1	3		1			2	12	100.0	100.0	1		3	1	2	5	0	1		14	9	1	30	"16.1"	3	3.0
16.2	13	55	4	1	2																																									0				"16.2"	3	3.0
17.0	13	32	1	1	2																																									13	33			"17"	3	3.0
18.1	17	40	4	1	1	1	30	4			4			200000	1	0	1							4			4			4			3	12	100.0	100.0	1	3	4	1	3	2	0	1		17	45	1	30	"18.1"	3	3.0
18.2	14	40	3	1	2																																									14	43			"18.2"	3	3.0
19.0	12	13	1	1	2																																									12	15			"19"	3	3.0
21.0	10	45	1	1	1	1	29	1			1			120000	1	6	1							1	2		1	2		1			2	12	100.0	100.0	4		2	2	8		0	1		10	50	1	29	"21"	2	3.0
22.0	10	21	1	1	2																																									10	22			"22"	2	3.0
23.0	11	41	2	1	2																																									11	42			"23"	2	3.0
24.0	12	25	3	1	1	1	29	1	3		3			120000	16	1	1							3			3			3	1		2	12	100.0	100.0	1		3	2	8		0	1		12	25	1	29	"24"	2	3.0
26.0	11	38	1	1	2																																									11	39			"26"	2	3.0
27.0	13	55	1	1	1	1	30	1			1			120000	20	0	1							1			1			1			2	12	100.0	100.0	4		2	2	2		0	1		14	0	1	30	"27"	2	3.0
28.0	16	41	1	1	2																																									16	42			"28"	2	3.0
29.0	11	15	1	1	1	1	29	1			1			180000	1	0	1							1			1			1			2	2	50.0	50.0	1		2	2	2		1	1		11	23	1	29	"29"	2	3.0
30.1	11	42	2	1	2																																									11	43			"30.1"	2	3.0
