a01	stime_h_q	stime_m_q	res_id_q	consent_q	q_01	q_02	q_03	q_04	q_05	q_06	q_07	q_08	q_09	q_10	q_11	q_11b	q_11c	q_12	q_13	q_14	q_15	q_16	q_17	q_18	q_19	q_19a	q_19b	q_19c	q_20	q_20a	q_20a_2	q_20a_3	q_20b	q_20b_2	q_20b_3	q_20c	q_20c_2	q_20c_3	q_20d_1	q_20d_2	q_20d_3	q_21	etime_h_q	etime_m_q	flag_q_20b_3	flag_q_20c_3	hhid2	hh_type	round
1.0	14	7	1	1	1	800		35.0	0	3	3	2	4	1	2	2	1	324.0	1	2	250.0	5	250.0	1		3			2	1	2	" "	1	4	" "	2		" "	1			80	14	17			"1"	3	3.0
2.0	14	18	1	1	1	300		9.0	0	3	5	2	4	1	1	2	1	162.0	1	4	175.0	5	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	1			200	14	22			"2"	3	3.0
3.1	11	17	1	1	1	200		10.0	0	3	3	2	4	1	1	2	1	364.0	1	2	380.0	5	0.0	1		3			1	2		" "	1	2	" "	2		" "	6			50	11	24			"3.1"	3	3.0
3.2	11	29	3	1	1	300		3.0	0	2	5	2	4	1	1	1		243.0	1	4	156.0	6	0.0	1		3			1	1	3	" "	1	4	" "	2		" "	1			200	11	34			"3.2"	3	3.0
4.0	12	17	2	1	1	500		10.0	0	3	2	2	4	1	2	3	2	324.0	1	2	360.0	5	0.0	1		3			3	1	2	" "	1	1	" "	1	3	" "	6			300	12	20			"4"	3	3.0
5.0	12	52	1	1	1	2000		32.0	0	2	1	1	1	1	4	1		459.0	1	2	500.0	5	0.0	1		3			4	1	1	" "	1	2	" "	1	4	" "	1			1000	12	56			"5"	3	3.0
6.0	11	18	1	1	1	400		20.0	0	3	1	2	4	1	1	2	2	432.0	1	2	700.0	5	150.0	1		3			2	1	1	" "	1	3	" "	2		" "	6			200	11	22			"6"	3	3.0
7.0	13	56	1	1	1	3000		10.0	2	1	1	1	1	1	4	2	1	968.0	1	2	894.0	5	200.0	1		3			2	1	1	" "	1	2	" "	2		" "	1			500	14	5			"7"	3	3.0
8.0	13	39	1	1	1	3000		2.0	0	1	1	1	1	1	5	2	1	2016.0	1	2	609.0	5	250.0	1		3			3	1	1	" "	1	2	" "	1	3	" "	6			500	13	47			"8"	3	3.0
9.0	15	26	1	1	1	500		16.0	1	3	2	2	4	2	2	2	1	500.0	1	2	142.0	5	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	6			300	15	33			"9"	3	3.0
10.1	10	3	3	1	1	1500		6.0	0	2	1	2	4	1	3	1		720.0	1	2	300.0	5	208.0	1		3			1	2		" "	1	4	" "	2		" "	6			100	10	7			"10.1"	3	3.0
10.2	15	44	3	1	1	300		25.0	0	3	4	2	4	1	1	2	1	148.0	1	3	117.0	5	0.0	1		3			1	1	3	" "	2		" "	2		" "	6			100	15	47			"10.2"	3	3.0
11.1	11	58	1	1	1	700		16.0	1	3	5	2	4	1	2	2	1	338.0	1	2	298.0	5	0.0	1		3			1	1	1	" "	2		" "	2		" "	6			400	12	6			"11.1"	3	3.0
11.2	16	21	4	1	1	300		2.0	2	4	4	2	4	1	1	2	1	108.0	1	2	82.0	6	200.0	1		3			0	2		" "	2		" "	2		" "	7				16	28			"11.2"	3	3.0
11.3	13	45	3	1	3		500	10.0	3	3	1	2	4	1	1	2	1	108.0	1	2	50.0	5	300.0	1		3			2	1	3	" "	1	6	" "	2		" "	6			100	14	0			"11.3"	3	3.0
12.0	13	17	1	1	1	500		30.0	0	4	4	2	4	1	2	2	1	216.0	1	2	57.0	5	0.0	1		3			1	1	1	" "	1	2	" "	2		" "	1			100	13	25			"12"	3	3.0
13.0	12	19	1	1	1	1500		6.0	0	2	1	2	4	1	3	2	1	851.0	1	2	175.0	5	100.0	1		3			1	1	1	" "	2		" "	2		" "	1			250	12	26			"13"	3	3.0
14.0	16	26	1	1	1	2000		40.0	1	2	3	2	4	3	5	2	1	1253.0	1	2	136.0	5	0.0	1		3			5	1	1	" "	1	7	" "	1	4	" "	1	4		550	16	33			"14"	3	3.0
15.0	13	55	1	1	1	500		25.0	0	4	3	1	4	1	2	2	1	204.8	1	2	289.0	6	0.0	1		3			1	1	1	" "	1	2	" "	1	3	" "	1			120	14	5			"15"	3	3.0
16.1	14	39	1	1	1	1200		25.0	1	2	1	2	4	1	3	2	1	630.0	1	2	250.0	5	150.0	1		3			3	1	1	" "	1	2	" "	1	3	" "	6			600	14	48			"16.1"	3	3.0
16.2	14	24	4	1	1	2000		4.0	1	2	1	1	4	1	4	2	1	1688.0	1	2	261.0	5	0.0	1		3			3	1	4	" "	1	5	" "	1	7	" "	6			500	14	32			"16.2"	3	3.0
17.0	13	58	1	1	1	1000		25.0	0	3	2	2	4	1	2	2	1	360.0	1	2	268.0	6	0.0	1		3			2	1	1	" "	1	4	" "	2		" "	1			80	14	6			"17"	3	3.0
18.1	18	11	4	1	1	1500		2.0	2	1	1	2	1	1	2	1		486.0	1	2	485.0	5	200.0	1		3			2	1	4	" "	1	5	" "	2		" "	1			180	18	17			"18.1"	3	3.0
18.2	15	32	3	1	1	2000		7.0	0	2	1	2	1	1	2	2	1	540.0	1	2	235.0	5	100.0	1		3			2	1	3	" "	1	7	" "	2		" "	6			150	15	52			"18.2"	3	3.0
19.0	12	35	1	1	1	1200		12.0	0	3	2	2	1	1	2	2	1	371.25	1	2	125.0	5	420.0	1		3			1	1	1	" "	2		" "	2		" "	1			200	12	40			"19"	3	3.0
21.0	11	20	1	1	2	1000		25.0	1	4	2	2	1	1	1	2	1	135.0	2			9	0.0	4	70	3			1	1	1	" "	2		" "	2		" "	7			10	11	30			"21"	2	3.0
22.0	10	40	1	1	1	300		28.0	0	4	2	2	4	1	1	2	1	378.0	1	2	105.0	5	0.0	1		3			0	2		" "	2		" "	2		" "	7			0	10	45			"22"	2	3.0
23.0	12	28	2	1	1	1200		30.0	0	3	2	2	4	1	3	2	1	331.0	1	2	444.0	6	0.0	1		3			2	2		" "	1	4	" "	1	3	" "	6			300	12	35			"23"	2	3.0
24.0	13	0	3	1	1	800		8.0	0	3	2	2	1	1	3	2	1	486.0	1	2	117.0	5	300.0	1		3			2	2		" "	1	1	" "	1	4	" "	6			200	13	20			"24"	2	3.0
26.0	15	21	4	1	1	2000		42.0	1	1	1	2	4	2	4	3	2	598.0	1	2	790.0	5	50.0	1		3			4	1	1	" "	1	4	" "	1	5	" "	1			200	15	29			"26"	2	3.0
