a01	stime_h_vx4	stime_m_vx4	res_id_vx4	consent_vx4	v1_01	pid_v1	mid_v1	v1_02	v1_03	v1_04	v1_05	v1_06	v1_07	v1_08	v1_09	v1_10	v1_11	v1_15	v1_16	v1_12	v1_13	v1_14	hhid2	del	hh_type	round
1.0	15	3	1	1	2																		"1"		3	3.0
2.0	14	45	1	1	2																		"2"		3	3.0
3.1	12	9	1	1	2																		"3.1"		3	3.0
3.2	11	57	3	1	2																		"3.2"		3	3.0
4.0	12	42	2	1	2																		"4"		3	3.0
5.0	13	19	1	1	2																		"5"		3	3.0
6.0	11	55	1	1	2																		"6"		3	3.0
7.0	14	41	1	1	1	81	4	15	3	1	30	1	99	13	1	34		1		1	1	2	"7"		3	3.0
8.0	14	25	1	1	2																		"8"		3	3.0
9.0	16	13	1	1	2																		"9"		3	3.0
10.1	10	37	3	1	1	81	5	3	0	1	20	2	12	82	1	34		1		3	3	2	"10.1"		3	3.0
10.2	16	5	3	1	2																		"10.2"		3	3.0
11.1	12	45	1	1	2																		"11.1"		3	3.0
11.2	16	59	4	1	2																		"11.2"		3	3.0
11.3	15	45	3	1	2																		"11.3"		3	3.0
12.0	14	22	1	1	2																		"12"		3	3.0
13.0	13	6	1	1	2																		"13"		3	3.0
14.0	17	7	1	1	1	81	10	3	3	2	37	1	9	13	2		16	2	1	1	2	1	"14"		3	3.0
15.0	14	52	1	1	2																		"15"		3	3.0
16.1	15	24	1	1	2																		"16.1"		3	3.0
16.2	15	7	4	1	2																		"16.2"		3	3.0
17.0	14	50	1	1	2																		"17"		3	3.0
18.1	19	4	4	1	2																		"18.1"		3	3.0
18.2	17	45	3	1	2																		"18.2"		3	3.0
19.0	13	30	1	1	2																		"19"		3	3.0
21.0	12	15	1	1	2																		"21"		2	3.0
22.0	11	15	1	1	2																		"22"		2	3.0
23.0	13	3	2	1	2																		"23"		2	3.0
24.0	15	30	3	1	2																		"24"		2	3.0
26.0	16	17	4	1	2																		"26"		2	3.0
27.0	15	23	1	1	2																		"27"		2	3.0
28.0	16	14	2	1	2																		"28"		2	3.0
29.0	13	44	2	1	2																		"29"		2	3.0
30.1	13	31	2	1	2																		"30.1"		2	3.0
30.2	15	53	4	1	2																		"30.2"		2	3.0
31.0	15	40	1	1	2																		"31"		2	3.0
32.0	15	30	1	1	2																		"32"		2	3.0
33.0	17	24	1	1	2																		"33"		2	3.0
34.0	14	42	2	1	2																		"34"		2	3.0
35.0	16	42	2	1	1	81	4	7	4	9	34	1	16	2	1	8		4		1	1	1	"35"	1	2	3.0
36.0	14	50	1	1	2																		"36"		2	3.0
37.0	15	47	1	1	2																		"37"		2	3.0
38.1	16	22	1	1	2																		"38.1"		2	3.0
38.2	16	52	3	1	2																		"38.2"		2	3.0
39.0	14	50	1	1	2																		"39"		2	3.0
40.0	12	17	1	1	2																		"40"		2	3.0
41.0	16	25	1	1	2																		"41"		2	3.0
42.0	14	30	2	1	1	81	1	2	2	3	51	1	99	21	1	26		1		1	1	1	"42"		2	3.0
43.0	16	56	2	1	1	81	1	2	1	2	47	1	2	13	1	26		1		1	1	1	"43"		2	3.0
43.0			2	1	1	82	3	3	0	10	20	1	9	13	1	1		1		1	1	1	"43"		2	3.0
44.0	14	10	2	1	2																		"44"		2	3.0
45.0	16	13	1	1	2																		"45"		2	3.0
46.0	16	32	1	1	1	81	4	3	1	6	17	2	9	82	1	34		1		3	4	2	"46"		2	3.0
47.0	15	8	1	1	1	81	4	3	2	1	18	2	7	82	1	62		1		3	5	2	"47"		2	3.0
