a01	stime_h_z12	stime_m_z12	res_id_z12	consent_z12	z_1	z_2	z1_01	z1_02	z1_02oth	z1_03	z1_03oth	z1_04	z1_05	z1_06	z1_06oth	z1_07	z1_08	z1_08oth	z1_09	z1_09oth	z1_10	z1_11	z1_11oth	z1_12	z1_13	z1_13oth	z1_14	z1_14oth	z1_15a	z1_15aoth	z1_15b	z1_15both	z1_15c	z1_15coth	z1_15d	z1_15doth	z1_15e	z1_15eoth	z1_16a	z1_16b	z1_16c	z1_16d	flag	hhid2	hh_type	round
1.0	12.0	36.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1"	3.0	3.0
2.0	16.0	53.0	2.0	1.0	2.0	2.0	2.0	5.0	" "		" "				" "			" "		" "			" "	1.0	3.0	" "	3.0	" "	4.0	"CHHELE"	4.0	"CHHELE"	4.0	"CHHELE"	4.0	"CHHELE"	4.0	"CHHELE"	1.0	1.0	1.0	1.0		"2"	3.0	3.0
3.1	12.0	18.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	3.0	" "	3.0	" "	2.0	" "	2.0	" "	2.0	" "	9.0	" "	2.0	" "	1.0	1.0	1.0	1.0		"3.1"	3.0	3.0
3.2	12.0	10.0	4.0	1.0	4.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	2.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	9.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"3.2"	3.0	3.0
4.0	12.0	39.0	5.0	1.0	5.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	2.0	" "	2.0	" "	2.0	" "	9.0	" "	2.0	" "	1.0	1.0	1.0	1.0		"4"	3.0	3.0
5.0	12.0	49.0	2.0	1.0	2.0	2.0	2.0	5.0	" "		" "				" "			" "		" "			" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"5"	3.0	3.0
6.0	12.0	21.0	2.0	1.0	2.0	2.0	1.0		" "		" "		3.0	3.0	" "	2.0		" "	2.0	" "	2.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"6"	3.0	3.0
7.0	11.0	32.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	1.0	2.0	" "		" "	3.0	1.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"7"	3.0	3.0
8.0	11.0	46.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	1.0	2.0	" "		" "	3.0	1.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"8"	3.0	3.0
9.0	14.0	57.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	1.0	2.0	" "		" "	3.0	1.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"9"	3.0	3.0
10.1	10.0	13.0	4.0	1.0	4.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	3.0	" "	3.0	" "	2.0	" "	2.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"10.1"	3.0	3.0
10.2	16.0	12.0	4.0	1.0	4.0	2.0	1.0		" "		" "		3.0	3.0	" "	1.0	2.0	" "		" "	2.0	1.0	" "	1.0	3.0	" "	3.0	" "	2.0	" "	2.0	" "	2.0	" "	9.0	" "	2.0	" "	1.0	1.0	1.0	1.0		"10.2"	3.0	3.0
11.1	12.0	23.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	1.0	2.0	" "		" "	3.0	1.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	9.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"11.1"	3.0	3.0
11.2	17.0	21.0	7.0	1.0	7.0	2.0	2.0	5.0	" "		" "				" "			" "		" "			" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	9.0	" "	3.0	" "	2.0	2.0	2.0	2.0		"11.2"	3.0	3.0
11.3	12.0	1.0	6.0	1.0	6.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	2.0	1.0	" "	1.0	2.0	" "	2.0	" "	2.0	" "	3.0	" "	3.0	" "	9.0	" "	2.0	" "	1.0	1.0	1.0	1.0		"11.3"	3.0	3.0
12.0	13.0	15.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	2.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"12"	3.0	3.0
13.0	11.0	45.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	2.0	3.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	2.0	2.0	2.0		"13"	3.0	3.0
14.0	13.0	42.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	1.0	2.0	" "		" "	3.0	1.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"14"	3.0	3.0
15.0	12.0	44.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	2.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"15"	3.0	3.0
16.1	11.0	28.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	1.0	2.0	" "		" "	3.0	3.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	2.0	2.0	2.0		"16.1"	3.0	3.0
16.2	11.0	24.0	5.0	1.0	5.0	2.0	1.0		" "		" "		1.0	1.0	" "	1.0	2.0	" "		" "	3.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"16.2"	3.0	3.0
17.0	13.0	31.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	2.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"17"	3.0	3.0
18.1	13.0	27.0	5.0	1.0	5.0	2.0	1.0		" "		" "		1.0	1.0	" "	1.0	2.0	" "		" "	2.0	3.0	" "	1.0	2.0	" "	2.0	" "	2.0	" "	2.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"18.1"	3.0	3.0
18.2	13.0	1.0	7.0	1.0	7.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	2.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"18.2"	3.0	3.0
19.0	12.0	44.0	5.0	1.0	5.0	2.0	2.0	5.0	" "		" "				" "			" "		" "			" "	1.0	2.0	" "	2.0	" "	2.0	" "	2.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	2.0	2.0	1.0		"19"	3.0	3.0
21.0	13.0	41.0	2.0	1.0	2.0	2.0	1.0		" "		" "		3.0	3.0	" "	2.0		" "	1.0	" "	3.0	3.0	" "	1.0	3.0	" "	3.0	" "	1.0	" "	3.0	" "	1.0	" "	9.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"21"	2.0	3.0
22.0	17.0	25.0	1.0	1.0	1.0	4.0	1.0		" "		" "		3.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	1.0	" "	1.0	" "	1.0	" "	9.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"22"	2.0	3.0
23.0	14.0	6.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	1.0	3.0	" "	3.0	" "	1.0	" "	3.0	" "	3.0	" "	9.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"23"	2.0	3.0
24.0	13.0	14.0	1.0	1.0	1.0	4.0	1.0		" "		" "		3.0	1.0	" "	2.0		" "	2.0	" "	2.0	1.0	" "	1.0	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	9.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"24"	2.0	3.0
26.0	14.0	48.0	5.0	1.0	5.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"26"	2.0	3.0
27.0	13.0	32.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	2.0	" "	2.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"27"	2.0	3.0
28.0	14.0	36.0	2.0	1.0	2.0	2.0	1.0		" "		" "		3.0	3.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"28"	2.0	3.0
29.0	13.0	19.0	2.0	1.0	2.0	2.0	2.0	1.0	" "	3.0	" "	2.0			" "			" "		" "			" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"29"	2.0	3.0
30.1	16.0	29.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"30.1"	2.0	3.0
30.2	13.0	31.0	5.0	1.0	5.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	9.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"30.2"	2.0	3.0
31.0	15.0	3.0	4.0	1.0	4.0	2.0	2.0	3.0	" "		" "				" "			" "		" "			" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	9.0	" "	3.0	" "	2.0	1.0	1.0	1.0		"31"	2.0	3.0
32.0	15.0	6.0	2.0	1.0	2.0	2.0	2.0	3.0	" "		" "				" "			" "		" "			" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	2.0	1.0	1.0		"32"	2.0	3.0
33.0	14.0	37.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	9.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"33"	2.0	3.0
34.0	15.0	16.0	2.0	1.0	2.0	3.0	1.0		" "		" "		3.0	3.0	" "	2.0		" "	2.0	" "	2.0	1.0	" "	1.0	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"34"	2.0	3.0
35.0	16.0	17.0	2.0	1.0	2.0	1.0	1.0		" "		" "		3.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	1.0	" "	1.0	" "	1.0	" "	9.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"35"	2.0	3.0
36.0	10.0	26.0	2.0	1.0	2.0	2.0	1.0		" "		" "		3.0	3.0	" "	2.0		" "	2.0	" "	2.0	1.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	1.0	1.0	1.0		"36"	2.0	3.0
37.0	13.0	32.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	3.0	" "	3.0	" "	1.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"37"	2.0	3.0
38.1	13.0	47.0	2.0	1.0	2.0	2.0	1.0		" "		" "		3.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	9.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"38.1"	2.0	3.0
38.2	16.0	54.0	6.0	1.0	6.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	3.0	" "	2.0	" "	3.0	" "	9.0	" "	3.0	" "	2.0	2.0	2.0	1.0		"38.2"	2.0	3.0
39.0	11.0	34.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	2.0	" "	2.0	" "	3.0	" "	3.0	" "	2.0	" "	2.0	" "	3.0	" "	2.0	2.0	1.0	2.0		"39"	2.0	3.0
40.0	10.0	12.0	2.0	1.0	2.0	2.0	1.0		" "		" "		3.0	3.0	" "	2.0		" "	2.0	" "	2.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"40"	2.0	3.0
41.0	13.0	3.0	2.0	1.0	2.0	2.0	1.0		" "		" "		3.0	3.0	" "	2.0		" "	2.0	" "	2.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"41"	2.0	3.0
42.0	12.0	50.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	2.0	1.0	" "	1.0	2.0	" "	2.0	" "	1.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"42"	2.0	3.0
43.0	12.0	38.0	2.0	1.0	2.0	3.0	1.0		" "		" "		1.0	1.0	" "	1.0	2.0	" "		" "	2.0	1.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	2.0	2.0	2.0		"43"	2.0	3.0
44.0	12.0	17.0	2.0	1.0	2.0	4.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	3.0	" "	3.0	" "	4.0	"CHELE"	4.0	"CHELE"	4.0	"CHELE"	4.0	"CHELE"	4.0	"CHELE"	1.0	1.0	1.0	1.0		"44"	2.0	3.0
45.0	12.0	17.0	2.0	1.0	2.0	2.0	2.0	6.0	" "		" "				" "			" "		" "			" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	9.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"45"	2.0	3.0
46.0	13.0	11.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	2.0	3.0	" "	1.0	3.0	" "	3.0	" "	2.0	" "	2.0	" "	2.0	" "	9.0	" "	2.0	" "	1.0	1.0	1.0	1.0		"46"	2.0	3.0
47.0	11.0	45.0	1.0	1.0	1.0	3.0	2.0	1.0	" "	1.0	" "	2.0			" "			" "		" "			" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	2.0	2.0	2.0		"47"	2.0	3.0
48.0	12.0	50.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	1.0	2.0	" "		" "	3.0	1.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"48"	2.0	3.0
49.0	11.0	48.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	1.0	1.0	1.0	1.0		"49"	2.0	3.0
50.0	12.0	17.0	1.0	1.0	1.0	4.0	1.0		" "		" "		3.0	3.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	1.0	" "	4.0	" "	4.0	" "	4.0	" "	4.0	" "	1.0	1.0	1.0	1.0		"50"	2.0	3.0
51.0	12.0	50.0	1.0	1.0	1.0	3.0	1.0		" "		" "		1.0	1.0	" "	1.0	2.0	" "		" "	3.0	1.0	" "	2.0		" "		" "	1.0	" "	1.0	" "	2.0	" "	1.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"51"	2.0	3.0
52.0	12.0	40.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	2.0	2.0	2.0		"52"	2.0	3.0
